state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
148122,-20,-2060,370,-82,34,118,14001,-4,-7,-237,-56,35809,8,31,127,0,0,3748,-71,0,12799,2518,39,9702,-4,0,17,0,161699,0
148132,-15,-2054,367,-82,33,111,14003,9,-1,-270,-80,35807,7,31,127,0,0,3749,-82,0,12799,2518,39,9712,-4,0,17,0,148122,0
148142,-6,-2056,376,-85,35,115,14004,12,4,-261,-56,35805,1,31,127,0,0,3755,32,0,12799,2518,39,9722,-4,0,17,0,148138,0
148152,-8,-2060,372,-87,31,109,14003,-4,2,-208,-80,35803,-3,31,127,0,0,3752,-38,0,12799,2518,39,9732,-4,0,17,0,148185,0
148162,-29,-2063,372,-88,36,113,14003,6,1,-282,-56,35801,17,30,127,0,0,3751,-27,0,12799,2518,39,9742,-4,0,17,0,148185,0
148172,-44,-2058,367,-86,36,123,14001,-4,-2,-299,-56,35805,26,30,127,0,0,3748,-10,0,12799,2518,39,9752,-4,0,17,0,148185,0
148182,3,-2059,372,-89,25,100,14001,-6,-4,-320,-80,35806,21,31,127,0,0,3749,-21,0,12799,2518,39,9762,-4,0,17,0,148201,0
148192,2,-2058,372,-91,24,107,14002,-2,-2,-320,-56,35808,26,31,127,0,0,3748,-5,0,12799,2518,39,9772,-4,0,17,0,148201,0
148202,-1,-2057,366,-92,40,104,14002,0,-1,-334,-80,35810,28,31,127,0,0,3749,5,0,12799,2518,39,9782,-4,0,17,0,148201,0
148212,6,-2059,370,-86,29,108,14001,0,3,-349,-96,35812,41,31,127,0,0,3754,32,0,12799,2518,39,9792,-4,0,17,0,148201,0
148222,6,-2058,366,-84,32,111,14001,-9,6,-332,-120,35810,36,31,127,0,0,3751,5,0,12799,2518,39,9802,-4,0,17,0,148216,0
148232,-13,-2058,371,-84,37,108,13999,-6,-1,-367,-120,35811,25,30,127,0,0,3748,16,0,12799,2518,39,9812,-4,0,17,0,148232,0
148242,-11,-2056,371,-85,32,106,14001,7,2,-334,-120,35815,39,30,127,0,0,3748,-49,0,12799,2518,39,9822,-4,0,17,0,148232,0
148252,-11,-2061,364,-86,36,100,13998,-4,-4,-409,-96,35805,17,31,127,0,0,3747,5,0,12799,2518,39,9832,-4,0,17,0,148247,0
148262,-1,-2058,366,-89,27,107,13998,-1,-3,-389,-144,35801,25,31,127,0,0,3746,-38,0,12799,2518,39,9842,-4,0,17,0,148247,0
148272,-4,-2057,372,-85,36,101,13997,-6,0,-423,-136,35799,8,31,127,0,0,3752,32,0,12799,2518,39,9852,-4,0,17,0,148263,0
148282,-3,-2061,368,-87,33,112,13998,1,3,-391,-144,35795,3,31,127,0,0,3749,10,0,12799,2518,39,9862,-4,0,17,0,148294,0
148292,-16,-2062,368,-87,32,103,13997,12,6,-367,-112,35801,-8,31,127,0,0,3748,-16,0,12799,2518,39,9872,-4,0,17,0,148294,0
148302,-23,-2062,358,-76,31,105,13995,-6,-1,-394,-112,35801,12,31,127,0,0,3748,16,0,12799,2518,39,9882,-4,0,17,0,148294,0
148312,3,-2051,365,-80,34,107,13996,6,0,-407,-136,35803,17,31,127,0,0,3749,0,0,12799,2518,39,9892,-4,0,17,0,148294,0
148322,10,-2052,364,-78,32,107,13994,-3,0,-442,-136,35799,27,31,127,0,0,3749,71,0,12799,2518,39,9902,-4,0,17,0,148310,0
148332,-1,-2057,365,-81,32,109,13995,1,1,-435,-184,35795,12,31,127,0,0,3748,-10,0,12799,2518,39,9912,-4,0,17,0,148310,0
148342,-13,-2057,369,-82,34,114,13990,-7,-7,-467,-128,35799,10,31,127,0,0,3746,49,0,12799,2518,39,9922,-4,0,17,0,148341,0
148352,-4,-2055,369,-86,28,119,13991,0,2,-430,-152,35800,23,31,127,0,0,3747,-32,0,12799,2518,39,9932,-4,0,17,0,148341,0
148362,2,-2057,367,-85,28,114,13991,1,4,-485,-152,35795,26,31,127,0,0,3744,10,0,12799,2518,39,9942,-4,0,17,0,148357,0
148373,6,-2056,367,-84,23,118,13988,-4,-4,-480,-96,35798,33,31,127,0,0,3744,21,0,12799,2518,39,9953,-4,0,17,0,148357,0
148383,10,-2058,371,-86,35,113,13989,1,6,-463,-112,35804,18,31,127,0,0,3748,21,0,12799,2518,39,9963,-4,0,17,0,148372,0
148393,15,-2051,369,-87,26,113,13988,-5,-1,-458,-144,35814,21,31,127,0,0,3744,10,0,12799,2518,39,9973,-4,0,17,0,148388,0
148403,-8,-2056,372,-87,30,114,13988,0,-5,-499,-144,35804,10,30,127,0,0,3744,10,0,12799,2518,39,9983,-4,0,17,0,148388,0
148413,6,-2060,363,-84,31,111,13986,-9,2,-509,-128,35793,5,31,127,0,0,3744,10,0,12799,2518,39,9993,-4,0,17,0,148404,0
148423,-5,-2061,369,-82,28,109,13987,11,1,-460,-136,35792,-10,31,127,0,0,3744,-10,0,12799,2518,39,10003,-4,0,17,0,148404,0
148433,-16,-2065,367,-85,30,116,13984,1,2,-439,-104,35801,-15,31,127,0,0,3744,0,0,12799,2518,39,10013,-4,0,17,0,148435,0
148443,0,-2060,369,-83,32,113,13985,0,4,-449,-168,35801,-17,31,127,0,0,3741,-21,0,12799,2518,39,10023,-4,0,17,0,148435,0
148453,-8,-2061,372,-82,36,118,13984,-2,0,-479,-136,35799,-4,31,127,0,0,3746,43,0,12799,2518,39,10033,-4,0,17,0,148435,0
148463,-8,-2056,368,-84,22,125,13983,-3,1,-422,-136,35792,0,31,127,0,0,3744,10,0,12799,2518,39,10043,-4,0,17,0,148466,0
148473,-4,-2059,365,-84,39,116,13983,-2,-1,-443,-136,35797,-7,31,127,0,0,3744,0,0,12799,2518,39,10053,-4,0,17,0,148466,0
148483,-9,-2056,372,-87,32,119,13983,1,-2,-437,-136,35797,2,31,127,0,0,3744,0,0,12799,2518,39,10063,-4,0,17,0,148466,0
148493,-8,-2063,370,-90,36,122,13983,-5,-1,-480,-192,35797,18,31,127,0,0,3744,10,0,12799,2518,39,10073,-4,0,17,0,148482,0
148503,-25,-2057,374,-85,30,125,13982,7,-1,-437,-136,35802,23,30,127,0,0,3744,0,0,12799,2518,39,10083,-4,0,17,0,148544,0
148513,5,-2066,372,-83,31,114,13980,-5,3,-451,-168,35811,32,30,127,0,0,3744,-10,0,12799,2518,39,10093,-4,0,17,0,148544,0
148523,-10,-2065,368,-89,36,122,13978,-7,-3,-454,-112,35814,18,31,127,0,0,3744,43,0,12799,2518,39,10103,-4,0,17,0,148544,0
148533,2,-2062,371,-85,25,112,13975,-7,-3,-464,-144,35805,25,31,127,0,0,3741,-10,0,12799,2518,39,10113,-4,0,17,0,148544,0
148543,-4,-2065,369,-84,29,112,13965,-30,-14,-411,-128,35793,27,31,127,0,0,3741,10,0,12799,2518,39,10123,-4,0,17,0,148560,0
148553,-7,-2055,365,-88,36,100,13945,-50,-36,-268,-136,35792,27,31,127,0,0,3744,10,0,12799,2518,39,10133,-4,0,17,0,148560,0
148563,-31,-2062,363,-81,39,104,13937,6,7,-192,-80,35794,27,31,127,0,0,3741,0,0,12799,2518,39,10143,-4,0,17,0,148560,0
148573,3,-2060,366,-85,27,101,13938,-3,46,-223,-64,35802,31,31,127,0,0,3744,21,0,12799,2518,39,10153,-4,0,17,0,148560,0
148583,-5,-2059,369,-84,37,106,13937,-2,3,-210,-64,35808,31,31,127,0,0,3744,21,0,12799,2518,39,10163,-4,0,17,0,148591,0
148593,15,-2060,374,-84,32,111,13937,-7,-1,-202,-32,35819,41,30,127,0,0,3741,-10,0,12799,2518,39,10173,-4,0,17,0,148591,0
148603,8,-2063,368,-88,31,111,13937,1,-7,-226,-64,35816,40,31,127,0,0,3741,0,0,12799,2518,39,10183,-4,0,17,0,148591,0
148614,4,-2052,375,-90,33,123,13937,-1,0,-254,-64,35810,38,31,127,0,0,3741,5,0,12799,2518,39,10194,-4,0,17,0,148607,0
148624,-6,-2053,370,-95,35,131,13936,-9,0,-262,-88,35796,28,31,127,0,0,3743,10,0,12799,2518,39,10204,-4,0,17,0,148638,0
148634,23,-2053,364,-96,32,130,13936,-12,-3,-303,-88,35802,25,31,127,0,0,3743,43,0,12799,2518,39,10214,-4,0,17,0,148638,0
148644,-5,-2056,364,-91,33,129,13935,0,-5,-275,-64,35810,22,30,127,0,0,3741,21,0,12799,2518,39,10224,-4,0,17,0,148638,0
148654,11,-2053,374,-94,27,130,13935,-6,1,-252,-64,35814,22,30,127,0,0,3741,5,0,12799,2518,39,10234,-4,0,17,0,148638,0
148664,-8,-2061,380,-97,39,135,13935,-11,-7,-294,-64,35805,31,30,127,0,0,3741,49,0,12799,2518,39,10244,-4,0,17,0,148669,0
148674,3,-2057,373,-94,31,126,13936,-4,-5,-227,-64,35808,35,31,127,0,0,3741,0,0,12799,2518,39,10254,-4,0,17,0,148669,0
148684,-5,-2064,366,-95,36,119,13935,-3,-4,-247,-64,35807,34,31,127,0,0,3741,5,0,12799,2518,39,10264,-4,0,17,0,148669,0
148694,-4,-2060,375,-92,31,118,13936,0,-1,-271,-64,35812,28,31,127,0,0,3741,21,0,12799,2518,39,10274,-4,0,17,0,148700,0
148704,1,-2057,373,-98,27,119,13936,1,3,-252,-64,35819,24,30,127,0,0,3741,5,0,12799,2518,39,10284,-4,0,17,0,148700,0
148714,4,-2067,370,-102,32,106,13934,-4,-4,-254,-88,35823,28,30,127,0,0,3743,0,0,12799,2518,39,10294,-4,0,17,0,148700,0
148724,-22,-2058,366,-91,29,110,13937,10,5,-257,-64,35817,35,31,127,0,0,3741,5,0,12799,2518,39,10304,-4,0,17,0,148716,0
148734,0,-2061,371,-102,32,112,13937,0,6,-229,-80,35813,49,30,127,0,0,3743,-5,0,12799,2518,39,10314,-4,0,17,0,148732,0
148744,-17,-2061,372,-103,24,104,13935,0,-2,-271,-64,35819,31,30,127,0,0,3741,21,0,12799,2518,39,10324,-4,0,17,0,148732,0
148754,10,-2053,374,-104,24,99,13935,0,2,-278,-88,35820,44,30,127,0,0,3739,-5,0,12799,2518,39,10334,-4,0,17,0,148763,0
148764,-7,-2060,373,-108,35,90,13936,2,2,-265,-88,35811,31,30,127,0,0,3739,-43,0,12799,2518,39,10344,-4,0,17,0,148763,0
148774,-32,-2049,360,-111,41,86,13935,3,1,-263,-80,35802,11,31,127,0,0,3739,-43,0,12799,2518,39,10354,-4,0,17,0,148763,0
148784,-18,-2058,358,-101,41,78,13931,-10,-5,-318,-80,35802,-3,30,127,0,0,3736,10,0,12799,2518,39,10364,-4,0,17,0,148779,0
148794,6,-2058,369,-109,38,79,13930,-6,-5,-332,-96,35807,6,30,127,0,0,3737,-5,0,12799,2518,39,10374,-4,0,17,0,148794,0
148804,0,-2059,371,-111,44,84,13930,-1,4,-336,-120,35810,27,31,127,0,0,3738,-5,0,12799,2518,39,10384,-4,0,17,0,148810,0
148814,1,-2061,362,-104,36,76,13925,-16,-4,-393,-136,35817,31,30,127,0,0,3733,-21,0,12799,2518,39,10394,-4,0,17,0,148810,0
148824,-1,-2057,364,-112,36,76,13914,-32,-17,-367,-120,35819,30,31,127,0,0,3733,0,0,12799,2518,39,10404,-4,0,17,0,148810,0
148834,14,-2061,358,-113,39,79,13887,-75,-44,-238,-72,35810,40,31,127,0,0,3733,16,0,12799,2518,39,10414,-4,0,17,0,148841,0
148844,-24,-2062,362,-107,42,72,13870,1,-7,-132,-24,35813,44,31,127,0,0,3726,-54,0,12799,2518,39,10424,-4,0,17,0,148841,0
148854,34,-2063,367,-101,46,78,13868,-12,60,-290,-72,35811,49,31,127,0,0,3728,5,0,12799,2518,39,10434,-4,0,17,0,148841,0
148865,23,-2062,366,-112,34,85,13866,-13,12,-264,-64,35808,63,31,127,0,0,3726,-10,0,12799,2518,39,10445,-4,0,17,0,148857,0
148875,7,-2058,361,-113,34,93,13865,-1,0,-295,-96,35803,66,31,127,0,0,3726,-10,0,12799,2518,39,10455,-4,0,17,0,148935,0
148885,11,-2066,361,-114,42,95,13864,-2,0,-285,-96,35814,69,31,127,0,0,3726,-10,0,12799,2518,39,10465,-4,0,17,0,148935,0
148895,17,-2057,362,-110,33,96,13861,-9,-1,-335,-72,35811,57,30,127,0,0,3726,32,0,12799,2518,39,10475,-4,0,17,0,148935,0
148905,16,-2059,365,-110,35,104,13860,-2,1,-333,-136,35809,59,31,127,0,0,3724,-21,0,12799,2518,39,10485,-4,0,17,0,148950,0
148915,-2,-2062,363,-114,33,110,13854,-11,-5,-337,-80,35812,46,31,127,0,0,3724,10,0,12799,2518,39,10495,-4,0,17,0,148950,0
148925,4,-2058,362,-110,41,112,13851,-4,-2,-331,-80,35819,43,31,127,0,0,3724,10,0,12799,2518,39,10505,-4,0,17,0,148950,0
148935,18,-2059,366,-115,35,117,13851,-11,7,-315,-80,35817,36,31,127,0,0,3724,32,0,12799,2518,39,10515,-4,0,17,0,148950,0
148945,15,-2059,362,-108,37,110,13850,-2,0,-297,-40,35811,43,31,127,0,0,3724,10,0,12799,2518,39,10525,-4,0,17,0,148950,0
148955,22,-2059,364,-109,38,117,13846,-19,-11,-346,-96,35811,47,31,127,0,0,3722,0,0,12799,2518,39,10535,-4,0,17,0,148950,0
148965,13,-2061,358,-107,40,120,13835,-29,-24,-267,-72,35813,60,31,127,0,0,3724,21,0,12799,2518,39,10545,-4,0,17,0,148950,0
148975,-15,-2060,354,-109,43,121,13818,-18,-21,-83,-40,35822,64,31,127,0,0,3722,-21,0,12799,2518,39,10555,-4,0,17,0,148966,0
148985,7,-2061,357,-108,42,128,13815,0,26,-74,-8,35832,53,31,127,0,0,3722,0,0,12799,2518,39,10565,-4,0,17,0,148982,0
148995,24,-2057,359,-108,37,123,13815,-3,31,-55,-8,35842,42,31,127,0,0,3722,-21,0,12799,2518,39,10575,-4,0,17,0,148997,0
149005,-19,-2060,358,-105,39,138,13815,1,3,-58,-8,35839,40,31,127,0,0,3724,0,0,12799,2518,39,10585,-4,0,17,0,148997,0
149015,-7,-2063,363,-105,38,136,13814,-5,0,-97,-32,35829,53,31,127,0,0,3724,32,0,12799,2518,39,10595,-4,0,17,0,149013,0
149025,18,-2070,364,-104,37,134,13815,-2,4,-50,-48,35818,61,31,127,0,0,3722,-21,0,12799,2518,39,10605,-4,0,17,0,149013,0
149035,12,-2059,363,-101,37,136,13815,-1,3,-93,-32,35818,61,31,127,0,0,3724,0,0,12799,2518,39,10615,-4,0,17,0,149044,0
149045,15,-2059,361,-104,29,136,13815,3,1,-37,-16,35820,59,31,127,0,0,3722,-32,0,12799,2518,39,10625,-4,0,17,0,149044,0
149055,-16,-2056,361,-112,44,129,13814,9,5,-59,0,35822,69,30,127,0,0,3722,-43,0,12799,2518,39,10635,-4,0,17,0,149044,0
149065,-4,-2066,354,-107,34,133,13814,0,-2,-79,0,35815,46,31,127,0,0,3722,-21,0,12799,2518,39,10645,-4,0,17,0,149075,0
149075,-10,-2062,358,-106,35,124,13815,4,4,-54,-8,35817,71,31,127,0,0,3724,0,0,12799,2518,39,10655,-4,0,17,0,149075,0
149085,5,-2058,360,-103,36,125,13816,1,3,8,8,35812,65,31,127,0,0,3726,10,0,12799,2518,39,10665,-4,0,17,0,149075,0
149095,-15,-2057,366,-104,36,125,13816,0,0,25,24,35818,61,30,127,0,0,3726,10,0,12799,2518,39,10675,-4,0,17,0,149091,0
149105,12,-2054,364,-107,37,120,13817,2,3,44,8,35813,69,30,127,0,0,3724,-21,0,12799,2518,39,10685,-4,0,17,0,149091,0
149116,18,-2062,355,-108,29,121,13816,1,-3,-13,16,35831,53,31,127,0,0,3726,10,0,12799,2518,39,10696,-4,0,17,0,149107,0
149126,29,-2055,358,-106,35,125,13814,-9,-5,-23,-8,35840,63,31,127,0,0,3724,10,0,12799,2518,39,10706,-4,0,17,0,149122,0
149136,20,-2060,358,-111,33,126,13814,-5,-4,-38,-32,35834,59,31,127,0,0,3722,-38,0,12799,2518,39,10716,-4,0,17,0,149138,0
149146,-22,-2060,353,-106,37,133,13815,3,0,-43,-32,35822,54,31,127,0,0,3728,16,0,12799,2518,39,10726,-4,0,17,0,149138,0
149156,-36,-2067,360,-108,27,131,13815,-3,1,-24,-8,35823,47,31,127,0,0,3724,27,0,12799,2518,39,10736,-4,0,17,0,149138,0
149166,15,-2068,360,-107,29,124,13814,-7,-2,-57,-8,35833,61,31,127,0,0,3724,16,0,12799,2518,39,10746,-4,0,17,0,149169,0
149176,25,-2064,354,-110,32,126,13814,-3,-6,-51,-8,35832,64,31,127,0,0,3724,27,0,12799,2518,39,10756,-4,0,17,0,149169,0
149186,-33,-2064,353,-104,28,125,13816,6,0,-9,-16,35824,76,31,127,0,0,3721,-60,0,12799,2518,39,10766,-4,0,17,0,149169,0
149196,-13,-2057,346,-102,30,118,13815,5,2,-40,16,35810,69,31,127,0,0,3726,27,0,12799,2518,39,10776,-4,0,17,0,149200,0
149206,27,-2051,357,-105,25,104,13814,-14,3,-29,-32,35814,93,31,127,0,0,3728,49,0,12799,2518,39,10786,-4,0,17,0,149200,0
149216,-22,-2060,360,-102,35,106,13815,-2,-1,28,16,35817,80,31,127,0,0,3723,-16,0,12799,2518,39,10796,-4,0,17,0,149200,0
149226,-12,-2058,372,-107,31,101,13816,4,-1,-2,-16,35828,72,31,127,0,0,3724,-43,0,12799,2518,39,10806,-4,0,17,0,149216,0
149236,-23,-2058,370,-107,20,101,13816,5,-1,10,-16,35832,68,31,127,0,0,3724,-21,0,12799,2518,39,10816,-4,0,17,0,149294,0
149246,-24,-2059,353,-110,25,101,13815,4,-1,32,16,35833,74,31,127,0,0,3726,5,0,12799,2518,39,10826,-4,0,17,0,149310,0
149256,15,-2061,347,-110,27,106,13815,-9,0,22,-8,35829,77,31,127,0,0,3724,-21,0,12799,2518,39,10836,-4,0,17,0,149310,0
149266,10,-2060,341,-111,20,116,13816,-1,1,-4,8,35823,71,31,127,0,0,3726,10,0,12799,2518,39,10846,-4,0,17,0,149310,0
149276,28,-2060,340,-97,22,129,13815,-6,-1,-9,16,35812,73,31,127,0,0,3726,32,0,12799,2518,39,10856,-4,0,17,0,149325,0
149286,35,-2055,342,-96,27,125,13815,-17,-2,-14,16,35807,45,31,127,0,0,3726,60,0,12799,2518,39,10866,-4,0,17,0,149325,0
149296,58,-2064,347,-87,29,133,13817,1,-1,14,-16,35813,34,31,127,0,0,3724,-10,0,12799,2518,39,10876,-4,0,17,0,149325,0
149306,5,-2062,351,-84,38,142,13815,-3,-4,-43,-8,35819,43,31,127,0,0,3727,60,0,12799,2518,39,10886,-4,0,17,0,149325,0
149316,5,-2065,352,-82,35,150,13815,-11,-3,-38,-8,35818,40,31,127,0,0,3724,38,0,12799,2518,39,10896,-4,0,17,0,149325,0
149326,24,-2065,356,-87,30,158,13814,-14,-1,-6,-8,35811,54,31,127,0,0,3727,27,0,12799,2518,39,10906,-4,0,17,0,149325,0
149336,16,-2058,354,-85,31,159,13817,-1,-1,51,8,35824,61,31,127,0,0,3726,0,0,12799,2518,39,10916,-4,0,17,0,149325,0
149346,12,-2059,353,-88,28,176,13817,0,-2,44,8,35839,54,31,127,0,0,3729,32,0,12799,2518,39,10926,-4,0,17,0,149325,0
