state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
59477,148,-2084,156,-28,28,217,11750,23,8,445,136,35308,25,34,127,0,0,3342,32,0,14260,3467,28,5669,-4,0,8,0,1548487,0
59487,150,-2083,154,-29,32,223,11763,41,23,433,168,35298,29,34,127,0,0,3346,32,0,14260,3467,28,5679,-4,0,8,0,59477,0
59497,124,-2088,151,-27,36,226,11800,113,52,319,112,35294,25,34,127,0,0,3348,21,0,14260,3467,28,5689,-4,0,8,0,59477,0
59507,176,-2074,170,-23,23,241,11832,51,45,250,72,35292,18,34,127,0,0,3353,76,0,14260,3467,28,5699,-4,0,8,0,59493,0
59517,120,-2092,153,-17,33,242,11858,67,-30,268,48,35287,15,34,127,0,0,3355,21,0,14260,3467,28,5709,-4,0,8,0,59493,0
59527,139,-2070,160,-14,30,237,11869,1,-36,247,128,35289,19,34,127,0,0,3359,54,0,14260,3467,28,5719,-4,0,8,0,59509,0
59537,112,-2079,161,-15,32,241,11871,11,-54,392,168,35296,24,34,127,0,0,3361,10,0,14260,3467,28,5729,-4,0,8,0,59509,0
59547,133,-2076,170,-13,41,231,11877,14,0,469,120,35305,29,34,127,0,0,3368,43,0,14260,3467,28,5739,-4,0,8,0,59524,0
59557,117,-2079,167,-15,35,225,11887,28,14,537,152,35307,38,34,127,0,0,3370,32,0,14260,3467,28,5749,-4,0,8,0,59555,0
59567,112,-2082,161,-19,38,226,11916,90,50,403,152,35296,41,34,127,0,0,3375,43,0,14260,3467,28,5759,-4,0,8,0,59555,0
59577,140,-2078,178,-21,30,225,11949,44,40,352,128,35292,30,34,127,0,0,3377,21,0,14260,3467,28,5769,-4,0,8,0,59555,0
59587,100,-2081,161,-21,31,213,11956,14,-59,469,168,35291,32,34,127,0,0,3381,10,0,14260,3467,28,5779,-4,0,8,0,59555,0
59597,105,-2081,172,-19,43,203,11970,33,-25,406,128,35308,48,34,127,0,0,3383,32,0,14260,3467,28,5789,-4,0,8,0,59571,0
59607,102,-2082,180,-29,32,204,11994,52,38,370,112,35313,46,34,127,0,0,3388,43,0,14260,3467,28,5799,-4,0,8,0,59602,0
59617,97,-2084,182,-30,31,188,12003,10,-15,390,144,35313,34,34,127,0,0,3385,10,0,14260,3467,28,5809,-4,0,8,0,59602,0
59627,79,-2088,172,-29,37,174,12003,-2,-43,462,112,35308,16,34,127,0,0,3392,21,0,14260,3467,28,5819,-4,0,8,0,59602,0
59637,83,-2089,183,-38,45,157,12008,17,-3,481,152,35302,18,34,127,0,0,3392,21,0,14260,3467,28,5829,-4,0,8,0,59618,0
59647,90,-2087,181,-47,39,144,12014,25,13,487,160,35303,24,34,127,0,0,3394,32,0,14260,3467,28,5839,-4,0,8,0,59618,0
59658,84,-2084,184,-54,35,131,12034,62,33,405,112,35298,35,34,127,0,0,3392,-16,0,14260,3467,28,5850,-4,0,8,0,59649,0
59668,102,-2078,187,-57,34,126,12062,54,44,221,56,35306,31,34,127,0,0,3395,5,0,14260,3467,28,5860,-4,0,8,0,59649,0
59678,77,-2083,179,-58,33,116,12062,-5,-45,237,80,35312,21,34,127,0,0,3394,65,0,14260,3467,28,5870,-4,0,8,0,59649,0
59688,110,-2083,177,-64,35,110,12064,8,-45,302,72,35297,15,34,127,0,0,3394,0,0,14260,3467,28,5880,-4,0,8,0,59680,0
59698,126,-2086,182,-71,39,108,12062,-5,1,264,80,35294,-1,34,127,0,0,3394,43,0,14260,3467,28,5890,-4,0,8,0,59680,0
59708,133,-2086,180,-75,33,106,12062,-4,-6,317,80,35293,2,34,127,0,0,3391,-38,0,14260,3467,28,5900,-4,0,8,0,59680,0
59718,107,-2088,176,-69,39,106,12062,2,0,246,56,35307,-1,34,127,0,0,3389,-49,0,14260,3467,28,5910,-4,0,8,0,59696,0
59728,114,-2078,169,-69,33,106,12061,0,0,204,40,35318,-6,34,127,0,0,3396,16,0,14260,3467,28,5920,-4,0,8,0,59712,0
59738,141,-2079,175,-74,32,116,12062,-1,3,244,56,35305,-7,34,127,0,0,3395,43,0,14260,3467,28,5930,-4,0,8,0,59727,0
