state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
515290,56,-2049,204,-52,-5,-48,15172,6,-3,-64,-24,35260,-62,36,127,0,0,3980,10,0,17806,8131,237,25594,-4,0,20,0,515264,0
515300,62,-2055,207,-46,-11,-45,15174,5,10,-30,-24,35269,-65,36,127,0,0,3977,-32,0,17806,8131,237,25604,-4,0,20,0,515280,0
515310,46,-2049,208,-53,-10,-38,15171,-3,-10,-66,8,35274,-75,35,127,0,0,3979,5,0,17806,8131,237,25614,-4,0,20,0,515295,0
515320,74,-2047,207,-52,-6,-45,15171,-9,2,-54,-24,35271,-74,36,127,0,0,3977,-21,0,17806,8131,237,25624,-4,0,20,0,515295,0
515330,53,-2046,194,-48,-7,-44,15168,-11,-7,-90,-16,35254,-70,36,127,0,0,3977,-5,0,17806,8131,237,25634,-4,0,20,0,515295,0
515340,71,-2049,195,-45,-6,-48,15169,-4,2,-116,-24,35256,-84,36,127,0,0,3980,32,0,17806,8131,237,25644,-4,0,20,0,515342,0
515350,84,-2044,205,-52,-12,-41,15169,-2,6,-102,8,35263,-86,36,127,0,0,3979,49,0,17806,8131,237,25654,-4,0,20,0,515342,0
515360,72,-2038,203,-45,-10,-43,15170,4,6,-70,-24,35265,-80,35,127,0,0,3980,27,0,17806,8131,237,25664,-4,0,20,0,515342,0
515370,57,-2039,204,-50,-11,-39,15171,9,3,-13,-24,35251,-69,36,127,0,0,3977,-38,0,17806,8131,237,25674,-4,0,20,0,515358,0
515380,42,-2042,208,-59,-10,-46,15169,0,-6,-67,-16,35247,-66,36,127,0,0,3980,5,0,17806,8131,237,25684,-4,0,20,0,515358,0
515390,86,-2043,209,-61,-7,-46,15168,-12,2,-99,-24,35263,-74,35,127,0,0,3977,10,0,17806,8131,237,25694,-4,0,20,0,515358,0
515400,70,-2043,202,-60,-6,-47,15168,1,6,-124,-16,35283,-72,36,127,0,0,3980,49,0,17806,8131,237,25704,-4,0,20,0,515405,0
515410,75,-2037,202,-58,-12,-55,15170,-1,2,-59,-16,35283,-65,36,127,0,0,3977,-5,0,17806,8131,237,25714,-4,0,20,0,515405,0
515420,47,-2042,199,-60,-11,-48,15169,0,-6,-78,16,35264,-56,36,127,0,0,3975,0,0,17806,8131,237,25724,-4,0,20,0,515405,0
515430,55,-2050,194,-56,-3,-57,15169,-5,-3,-97,-24,35254,-83,36,127,0,0,3977,-27,0,17806,8131,237,25734,-4,0,20,0,515420,0
515440,46,-2047,201,-56,-4,-58,15171,20,3,-42,-24,35253,-95,35,127,0,0,3977,-27,0,17806,8131,237,25744,-4,0,20,0,515420,0
515450,47,-2043,204,-59,-7,-59,15165,-15,-8,-110,-8,35261,-77,36,127,0,0,3977,16,0,17806,8131,237,25754,-4,0,20,0,515420,0
515460,58,-2052,204,-56,-5,-55,15167,-13,-3,-111,-32,35266,-40,36,127,0,0,3978,10,0,17806,8131,237,25764,-4,0,20,0,515452,0
515470,54,-2038,204,-65,-16,-53,15165,0,0,-146,-8,35270,-40,36,127,0,0,3973,16,0,17806,8131,237,25774,-4,0,20,0,515452,0
515480,64,-2040,204,-63,-8,-65,15166,2,-4,-139,-56,35271,-60,36,127,0,0,3972,-54,0,17806,8131,237,25784,-4,0,20,0,515467,0
515490,60,-2043,197,-58,-10,-62,15163,-11,-1,-173,-32,35266,-78,36,127,0,0,3968,-43,0,17806,8131,237,25794,-4,0,20,0,515467,0
515500,71,-2038,186,-61,-11,-59,15162,2,0,-189,-48,35252,-81,36,127,0,0,3972,-32,0,17806,8131,237,25804,-4,0,20,0,515467,0
515510,58,-2050,198,-63,-3,-63,15162,-3,3,-183,-48,35258,-85,36,127,0,0,3969,-60,0,17806,8131,237,25814,-4,0,20,0,515498,0
515520,65,-2042,199,-52,-7,-65,15161,0,-1,-217,-48,35262,-82,36,127,0,0,3972,-10,0,17806,8131,237,25824,-4,0,20,0,515498,0
515530,58,-2049,201,-58,-12,-56,15158,-14,4,-278,-96,35262,-83,35,127,0,0,3974,32,0,17806,8131,237,25834,-4,0,20,0,515498,0
515540,30,-2050,197,-57,-8,-70,15157,18,-6,-189,-40,35251,-79,35,127,0,0,3966,-32,0,17806,8131,237,25844,-4,0,20,0,515514,0
515550,74,-2045,202,-55,-7,-68,15152,-13,0,-272,-32,35253,-80,36,127,0,0,3969,21,0,17806,8131,237,25854,-4,0,20,0,515530,0
515560,79,-2042,199,-55,-7,-62,15153,-13,3,-293,-40,35254,-90,35,127,0,0,3969,27,0,17806,8131,237,25864,-4,0,20,0,515530,0
515570,83,-2035,200,-54,-11,-54,15154,-3,2,-282,-56,35253,-97,36,127,0,0,3967,-10,0,17806,8131,237,25874,-4,0,20,0,515546,0
515580,73,-2041,191,-55,-11,-53,15152,-4,-3,-319,-72,35249,-99,36,127,0,0,3964,-32,0,17806,8131,237,25884,-4,0,20,0,515554,0
515590,62,-2045,187,-50,-6,-47,15151,0,3,-343,-72,35243,-79,36,127,0,0,3968,-5,0,17806,8131,237,25894,-4,0,20,0,515554,0
