state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
254167,78,-2040,204,-57,-14,24,13955,5,19,130,8,35398,-83,35,127,0,0,3755,32,0,1784,449,111,8559,-4,0,-20,0,254224,0
254177,70,-2043,211,-57,-11,16,13960,12,6,180,104,35392,-82,34,127,0,0,3757,21,0,1784,449,111,8569,-4,0,-20,0,254224,0
254187,82,-2040,197,-59,-9,14,13979,46,16,135,64,35389,-67,34,127,0,0,3761,32,0,1784,449,111,8579,-4,0,-20,0,254224,0
254197,71,-2041,210,-59,-17,20,14003,52,41,78,72,35386,-74,35,127,0,0,3763,10,0,1784,449,111,8589,-4,0,-20,0,254224,0
254207,80,-2046,216,-55,-16,-3,14004,-14,-36,134,56,35378,-85,35,127,0,0,3766,43,0,1784,449,111,8599,-4,0,-20,0,254240,0
254217,91,-2043,211,-57,-11,-9,14007,6,-41,207,24,35378,-85,35,127,0,0,3766,21,0,1784,449,111,8609,-4,0,-20,0,254240,0
254227,72,-2042,218,-53,-8,-14,14007,2,2,201,40,35381,-72,35,127,0,0,3766,10,0,1784,449,111,8619,-4,0,-20,0,254240,0
254237,76,-2042,212,-58,-16,-18,14009,13,-3,243,56,35384,-87,35,127,0,0,3766,-10,0,1784,449,111,8629,-4,0,-20,0,254240,0
254247,89,-2046,213,-59,-9,-19,14010,0,6,239,88,35390,-96,35,127,0,0,3768,21,0,1784,449,111,8639,-4,0,-20,0,254240,0
254257,79,-2042,203,-59,-14,-26,14011,8,-1,244,88,35393,-99,35,127,0,0,3766,-21,0,1784,449,111,8649,-4,0,-20,0,254240,0
254267,83,-2041,190,-51,-16,-31,14011,3,0,243,88,35400,-94,34,127,0,0,3768,0,0,1784,449,111,8659,-4,0,-20,0,254255,0
254277,75,-2038,197,-53,-17,-34,14012,9,0,276,104,35417,-111,35,127,0,0,3770,0,0,1784,449,111,8669,-4,0,-20,0,254255,0
254287,80,-2042,198,-50,-19,-37,14017,9,7,268,96,35426,-119,35,127,0,0,3768,0,0,1784,449,111,8679,-4,0,-20,0,254287,0
254297,77,-2037,208,-42,-10,-46,14016,-5,-7,244,96,35414,-119,35,127,0,0,3768,10,0,1784,449,111,8689,-4,0,-20,0,254287,0
254307,101,-2037,209,-40,-7,-50,14019,0,0,258,96,35393,-105,34,127,0,0,3770,10,0,1784,449,111,8699,-4,0,-20,0,254287,0
254317,86,-2043,210,-47,-9,-47,14023,6,7,301,72,35384,-91,35,127,0,0,3768,-10,0,1784,449,111,8709,-4,0,-20,0,254287,0
254327,104,-2040,213,-49,-17,-51,14027,8,3,266,104,35390,-104,34,127,0,0,3770,10,0,1784,449,111,8719,-4,0,-20,0,254302,0
254337,107,-2039,213,-49,-17,-62,14032,7,3,185,56,35399,-104,35,127,0,0,3770,21,0,1784,449,111,8729,-4,0,-20,0,254318,0
254347,90,-2048,218,-45,-13,-58,14035,-1,-6,192,48,35387,-110,34,127,0,0,3770,0,0,1784,449,111,8739,-4,0,-20,0,254334,0
254357,90,-2051,223,-49,-10,-53,14035,-2,-15,187,48,35374,-104,34,127,0,0,3770,-10,0,1784,449,111,8749,-4,0,-20,0,254334,0
254367,81,-2045,212,-49,-8,-56,14036,5,-3,194,48,35372,-90,34,127,0,0,3770,-10,0,1784,449,111,8759,-4,0,-20,0,254334,0
254377,85,-2038,199,-47,-14,-49,14038,5,-2,155,8,35384,-104,35,127,0,0,3770,0,0,1784,449,111,8769,-4,0,-20,0,254365,0
254387,87,-2042,194,-48,-18,-48,14038,6,0,181,40,35381,-104,35,127,0,0,3770,0,0,1784,449,111,8779,-4,0,-20,0,254365,0
254397,88,-2043,200,-45,-13,-53,14040,2,3,166,40,35379,-102,35,127,0,0,3768,-32,0,1784,449,111,8789,-4,0,-20,0,254412,0
254407,86,-2048,204,-40,-12,-54,14039,0,-3,129,40,35367,-93,35,127,0,0,3768,-21,0,1784,449,111,8799,-4,0,-20,0,254412,0
254417,86,-2041,203,-36,-15,-46,14042,-5,0,129,32,35374,-90,35,127,0,0,3768,-21,0,1784,449,111,8809,-4,0,-20,0,254427,0
254427,105,-2034,206,-39,-13,-49,14042,-11,-3,89,0,35380,-95,35,127,0,0,3770,21,0,1784,449,111,8819,-4,0,-20,0,254427,0
254437,105,-2042,209,-37,-14,-38,14043,5,1,108,8,35370,-86,35,127,0,0,3770,10,0,1784,449,111,8829,-4,0,-20,0,254427,0
