state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
61111,83,-2040,191,-47,-8,-58,14432,-2,-14,-11,8,35477,-69,34,127,0,0,3840,-21,0,4497,-253,28,5371,-4,0,52,-6,1549081,0
61121,60,-2039,202,-50,-16,-57,14435,-2,-7,-3,-32,35472,-65,34,127,0,0,3836,-43,0,4497,-253,28,5381,-4,0,52,-6,61111,0
61131,83,-2039,198,-54,-13,-61,14433,5,-6,-45,0,35468,-70,34,127,0,0,3840,-10,0,4497,-253,28,5391,-4,0,52,-6,61127,0
61141,33,-2048,197,-53,-21,-54,14436,9,6,-3,0,35462,-84,34,127,0,0,3840,-21,0,4497,-253,28,5401,-4,0,52,-6,61127,0
61151,54,-2042,197,-55,-14,-59,14434,4,6,6,0,35464,-89,34,127,0,0,3840,0,0,4497,-253,28,5411,-4,0,52,-6,61142,0
61161,61,-2047,192,-53,-15,-73,14434,0,-1,2,0,35467,-75,34,127,0,0,3840,0,0,4497,-253,28,5421,-4,0,52,-6,61158,0
61171,68,-2050,195,-51,-14,-83,14432,-11,-5,-53,16,35470,-70,34,127,0,0,3840,21,0,4497,-253,28,5431,-4,0,52,-6,61158,0
61181,77,-2043,189,-55,-6,-83,14433,-4,-1,-108,-88,35471,-70,34,127,0,0,3838,10,0,4497,-253,28,5441,-4,0,52,-6,61158,0
61191,49,-2053,193,-51,-8,-87,14429,1,0,-122,-32,35469,-87,34,127,0,0,3836,-10,0,4497,-253,28,5451,-4,0,52,-6,61189,0
61201,78,-2046,192,-56,-16,-74,14425,-15,-2,-252,-72,35457,-75,34,127,0,0,3834,0,0,4497,-253,28,5461,-4,0,52,-6,61189,0
61211,67,-2049,189,-51,-6,-82,14415,-6,-13,-161,-64,35448,-61,34,127,0,0,3832,-32,0,4497,-253,28,5471,-4,0,52,-6,61189,0
61221,80,-2051,189,-53,-9,-79,14409,-12,-3,-210,-40,35451,-69,34,127,0,0,3832,0,0,4497,-253,28,5481,-4,0,52,-6,61205,0
61231,92,-2044,190,-48,-12,-71,14405,1,5,-148,-32,35460,-57,34,127,0,0,3832,0,0,4497,-253,28,5491,-4,0,52,-6,61236,0
61241,82,-2054,190,-49,-15,-66,14400,-7,11,-185,-48,35454,-59,34,127,0,0,3829,-21,0,4497,-253,28,5501,-4,0,52,-6,61236,0
61251,73,-2042,188,-49,-6,-60,14393,-17,-11,-153,-32,35448,-57,34,127,0,0,3825,-43,0,4497,-253,28,5511,-4,0,52,-6,61251,0
61261,78,-2045,183,-38,-6,-59,14389,-7,1,-191,-24,35459,-71,34,127,0,0,3829,0,0,4497,-253,28,5521,-4,0,52,-6,61283,0
61271,97,-2040,191,-38,-7,-46,14392,0,22,-179,-24,35471,-86,34,127,0,0,3829,21,0,4497,-253,28,5531,-4,0,52,-6,61283,0
61281,102,-2036,182,-41,-2,-40,14392,3,13,-139,-32,35469,-86,34,127,0,0,3829,-10,0,4497,-253,28,5541,-4,0,52,-6,61283,0
61291,74,-2018,205,-43,6,-30,14389,1,-5,-163,-16,35460,-91,34,127,0,0,3829,10,0,4497,-253,28,5551,-4,0,52,-6,61283,0
61301,122,-2067,259,-65,2,-24,14390,0,-8,-165,-24,35457,-75,34,127,0,0,3829,21,0,4497,-253,28,5561,-4,0,52,-6,61283,0
61311,91,-2083,248,-85,-8,-9,14391,-2,4,-145,-32,35449,-85,34,127,0,0,3829,-10,0,4497,-253,28,5571,-4,0,52,-6,61298,0
61321,46,-2032,174,-81,-5,-11,14390,4,-4,-135,-24,35456,-74,34,127,0,0,3829,10,0,4497,-253,28,5581,-4,0,52,-6,61330,0
61331,87,-2028,172,-78,3,-16,14389,-14,1,-135,-24,35453,-58,34,127,0,0,3832,32,0,4497,-253,28,5591,-4,0,52,-6,61330,0
61341,102,-2041,188,-79,-15,-18,14392,7,5,-81,-8,35454,-57,34,127,0,0,3832,10,0,4497,-253,28,5601,-4,0,52,-6,61330,0
61351,57,-2040,181,-80,-7,-18,14392,6,1,-67,-40,35456,-58,34,127,0,0,3829,-43,0,4497,-253,28,5611,-4,0,52,-6,61330,0
61361,34,-2043,183,-75,5,-19,14391,9,-12,-74,-8,35459,-85,34,127,0,0,3832,0,0,4497,-253,28,5621,-4,0,52,-6,61345,0
61371,68,-2048,192,-74,2,-24,14391,-21,2,-74,-8,35459,-77,34,127,0,0,3832,10,0,4497,-253,28,5631,-4,0,52,-6,61361,0
61381,87,-2053,173,-63,1,-10,14392,4,2,-66,-8,35461,-77,34,127,0,0,3832,0,0,4497,-253,28,5641,-4,0,52,-6,61376,0
61391,77,-2049,164,-56,-14,-4,14390,-21,-8,-107,8,35465,-80,34,127,0,0,3829,10,0,4497,-253,28,5651,-4,0,52,-6,61376,0
61401,62,-2042,184,-52,-24,-11,14392,2,0,-82,-8,35457,-75,34,127,0,0,3832,0,0,4497,-253,28,5661,-4,0,52,-6,61376,0
61411,31,-2045,195,-50,-10,-20,14392,5,6,-42,-8,35457,-77,34,127,0,0,3832,0,0,4497,-253,28,5671,-4,0,52,-6,61408,0
61421,40,-2049,215,-65,-11,-43,14394,4,-10,-9,8,35451,-75,34,127,0,0,3832,0,0,4497,-253,28,5681,-4,0,52,-6,61408,0
