state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
95650,101,-2080,209,-72,36,118,12249,-4,-1,358,104,35249,40,34,127,0,0,3431,-38,0,8929,1068,46,5210,-4,0,98,21,95623,0
95660,109,-2077,213,-74,43,119,12250,3,3,339,80,35272,24,34,127,0,0,3432,-16,0,8929,1068,46,5220,-4,0,98,21,95670,0
95670,103,-2082,214,-70,29,120,12250,2,0,332,104,35284,18,34,127,0,0,3431,0,0,8929,1068,46,5230,-4,0,98,21,95686,0
95680,106,-2077,210,-77,39,114,12248,-1,-6,347,88,35278,10,34,127,0,0,3432,-21,0,8929,1068,46,5240,-4,0,98,21,95686,0
95690,95,-2077,210,-69,37,119,12248,-2,-3,343,88,35260,8,34,127,0,0,3432,-38,0,8929,1068,46,5250,-4,0,98,21,95686,0
95700,107,-2076,214,-70,37,123,12248,-1,1,353,104,35264,14,35,127,0,0,3431,-16,0,8929,1068,46,5260,-4,0,98,21,95686,0
95710,84,-2080,210,-66,41,119,12249,5,-2,353,104,35279,13,34,127,0,0,3431,-38,0,8929,1068,46,5270,-4,0,98,21,95701,0
95720,109,-2078,220,-68,37,117,12248,-3,3,346,104,35279,0,34,127,0,0,3434,16,0,8929,1068,46,5280,-4,0,98,21,95701,0
95730,94,-2084,215,-67,32,111,12249,-2,2,348,80,35274,13,34,127,0,0,3432,-16,0,8929,1068,46,5290,-4,0,98,21,95701,0
95740,97,-2079,214,-64,31,114,12249,0,-4,323,104,35279,11,34,127,0,0,3431,5,0,8929,1068,46,5300,-4,0,98,21,95717,0
95750,95,-2075,217,-66,35,111,12250,9,-1,337,104,35290,8,34,127,0,0,3431,-10,0,8929,1068,46,5310,-4,0,98,21,95717,0
95760,99,-2079,214,-65,33,112,12248,-2,-3,339,88,35282,16,34,127,0,0,3435,16,0,8929,1068,46,5320,-4,0,98,21,95733,0
95770,120,-2076,216,-66,40,112,12250,0,3,384,80,35270,17,34,127,0,0,3435,-5,0,8929,1068,46,5330,-4,0,98,21,95748,0
95780,103,-2082,223,-62,31,117,12249,-7,-4,353,80,35265,25,34,127,0,0,3432,-5,0,8929,1068,46,5340,-4,0,98,21,95748,0
95790,107,-2083,208,-68,35,117,12248,-4,-2,334,104,35268,15,34,127,0,0,3434,32,0,8929,1068,46,5350,-4,0,98,21,95780,0
95800,92,-2083,216,-62,39,114,12249,-1,0,335,80,35283,9,34,127,0,0,3432,10,0,8929,1068,46,5360,-4,0,98,21,95780,0
95810,104,-2068,223,-63,40,113,12250,1,-3,342,104,35272,18,34,127,0,0,3431,-10,0,8929,1068,46,5370,-4,0,98,21,95780,0
95820,117,-2076,223,-69,26,121,12249,-3,0,318,104,35272,25,34,127,0,0,3431,5,0,8929,1068,46,5380,-4,0,98,21,95795,0
95830,84,-2076,231,-64,34,123,12250,2,1,339,104,35275,28,34,127,0,0,3431,-21,0,8929,1068,46,5390,-4,0,98,21,95795,0
95840,103,-2072,224,-65,37,114,12249,-1,-2,331,104,35281,14,34,127,0,0,3434,32,0,8929,1068,46,5400,-4,0,98,21,95826,0
95850,93,-2081,223,-71,33,122,12249,2,-4,379,104,35281,16,34,127,0,0,3431,-32,0,8929,1068,46,5410,-4,0,98,21,95826,0
95860,100,-2074,227,-69,34,117,12250,7,-2,349,104,35273,22,34,127,0,0,3434,16,0,8929,1068,46,5420,-4,0,98,21,95858,0
95870,106,-2071,222,-73,31,113,12249,-1,0,351,80,35274,26,34,127,0,0,3432,-5,0,8929,1068,46,5430,-4,0,98,21,95858,0
95880,96,-2073,225,-75,31,121,12248,-2,4,368,88,35273,20,34,127,0,0,3435,-16,0,8929,1068,46,5440,-4,0,98,21,95858,0
95890,113,-2079,223,-72,37,118,12249,2,1,384,104,35268,20,34,127,0,0,3434,0,0,8929,1068,46,5450,-4,0,98,21,95889,0
95901,96,-2076,226,-75,39,118,12250,0,-2,379,104,35273,22,34,127,0,0,3432,-32,0,8929,1068,46,5461,-4,0,98,21,95889,0
95911,92,-2075,224,-81,38,116,12250,0,-5,355,104,35282,14,34,127,0,0,3432,-32,0,8929,1068,46,5471,-4,0,98,21,95889,0
95921,105,-2081,228,-77,39,114,12250,5,-2,342,104,35289,-9,34,127,0,0,3434,10,0,8929,1068,46,5481,-4,0,98,21,95904,0
95931,80,-2082,229,-81,35,117,12250,7,0,352,72,35286,0,34,127,0,0,3434,21,0,8929,1068,46,5491,-4,0,98,21,95904,0
95941,109,-2077,229,-80,35,116,12249,-7,2,374,104,35286,5,35,127,0,0,3432,-10,0,8929,1068,46,5501,-4,0,98,21,95920,0
95951,84,-2078,231,-84,38,123,12250,0,0,340,72,35282,24,34,127,0,0,3432,-10,0,8929,1068,46,5511,-4,0,98,21,95920,0
95961,102,-2076,222,-90,34,120,12250,5,6,320,80,35275,27,34,127,0,0,3432,0,0,8929,1068,46,5521,-4,0,98,21,95951,0
95971,102,-2076,222,-88,38,118,12249,3,2,346,72,35267,32,34,127,0,0,3432,0,0,8929,1068,46,5531,-4,0,98,21,95951,0
95981,99,-2074,228,-88,39,116,12249,-3,0,332,80,35268,32,34,127,0,0,3429,-21,0,8929,1068,46,5541,-4,0,98,21,95951,0
95991,108,-2074,223,-92,35,114,12250,2,-2,317,80,35267,15,34,127,0,0,3432,-21,0,8929,1068,46,5551,-4,0,98,21,95967,0
96001,96,-2072,227,-91,32,120,12248,-3,4,340,88,35269,16,34,127,0,0,3432,-21,0,8929,1068,46,5561,-4,0,98,21,95967,0
96011,107,-2077,217,-96,35,117,12250,9,1,333,48,35272,21,34,127,0,0,3429,-43,0,8929,1068,46,5571,-4,0,98,21,95983,0
96021,90,-2077,223,-101,37,114,12249,6,-2,295,96,35272,25,34,127,0,0,3429,-10,0,8929,1068,46,5581,-4,0,98,21,95998,0
