state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
224275,-59,-2072,211,-102,40,124,14263,11,-8,317,80,35435,3,34,127,0,0,3818,21,0,1146,41,87,11271,-4,0,42,0,224258,0
224285,-47,-2071,222,-101,32,123,14265,9,8,352,80,35431,-6,34,127,0,0,3816,-21,0,1146,41,87,11281,-4,0,42,0,224274,0
224295,-51,-2075,223,-96,41,117,14264,2,0,327,120,35423,-30,34,127,0,0,3816,0,0,1146,41,87,11291,-4,0,42,0,224274,0
224305,-48,-2077,217,-99,35,109,14263,-4,0,305,80,35440,-21,34,127,0,0,3816,0,0,1146,41,87,11301,-4,0,42,0,224289,0
224315,-45,-2082,222,-102,38,110,14264,1,3,320,80,35451,-5,34,127,0,0,3816,0,0,1146,41,87,11311,-4,0,42,0,224289,0
224325,-55,-2083,217,-99,34,109,14265,5,4,349,64,35450,14,34,127,0,0,3816,-32,0,1146,41,87,11321,-4,0,42,0,224305,0
224335,-56,-2081,217,-103,43,105,14264,-2,-4,304,88,35442,9,34,127,0,0,3816,-10,0,1146,41,87,11331,-4,0,42,0,224305,0
224345,-29,-2080,218,-99,29,101,14265,0,-1,319,72,35446,-2,34,127,0,0,3816,0,0,1146,41,87,11341,-4,0,42,0,224336,0
224355,-41,-2079,215,-102,26,105,14264,1,5,306,72,35450,-9,34,127,0,0,3816,10,0,1146,41,87,11351,-4,0,42,0,224336,0
224365,-53,-2082,210,-97,29,97,14264,-5,2,322,72,35449,-12,34,127,0,0,3816,-21,0,1146,41,87,11361,-4,0,42,0,224336,0
224375,-61,-2082,209,-97,34,98,14264,5,8,311,72,35448,-12,34,127,0,0,3816,0,0,1146,41,87,11371,-4,0,42,0,224352,0
224385,-49,-2080,217,-101,38,85,14264,0,-4,319,80,35448,-15,34,127,0,0,3816,0,0,1146,41,87,11381,-4,0,42,0,224367,0
224395,-36,-2077,212,-102,28,85,14265,6,5,305,72,35452,-16,34,127,0,0,3814,-32,0,1146,41,87,11391,-4,0,42,0,224367,0
224406,-67,-2070,215,-102,34,88,14263,-2,-2,267,56,35449,-12,34,127,0,0,3814,-21,0,1146,41,87,11402,-4,0,42,0,224383,0
224416,-34,-2081,220,-105,33,82,14263,0,3,250,80,35448,3,34,127,0,0,3813,-10,0,1146,41,87,11412,-4,0,42,0,224399,0
224426,-49,-2086,215,-106,31,83,14265,8,3,275,80,35453,-14,34,127,0,0,3816,-5,0,1146,41,87,11422,-4,0,42,0,224399,0
224436,-49,-2083,219,-107,39,81,14264,-4,0,274,56,35453,-26,34,127,0,0,3817,27,0,1146,41,87,11432,-4,0,42,0,224430,0
224446,-33,-2084,220,-110,34,81,14264,0,4,249,56,35456,-32,34,127,0,0,3814,10,0,1146,41,87,11442,-4,0,42,0,224430,0
224456,-42,-2078,214,-112,36,76,14263,6,0,212,56,35451,-20,34,127,0,0,3814,5,0,1146,41,87,11452,-4,0,42,0,224445,0
224466,-36,-2079,223,-115,34,76,14262,-8,-2,164,40,35441,-4,34,127,0,0,3812,21,0,1146,41,87,11462,-4,0,42,0,224445,0
224476,-54,-2073,233,-116,30,70,14261,0,2,148,32,35448,1,34,127,0,0,3812,16,0,1146,41,87,11472,-4,0,42,0,224461,0
224486,-49,-2076,221,-122,28,53,14260,-9,-1,155,40,35449,1,34,127,0,0,3808,-5,0,1146,41,87,11482,-4,0,42,0,224477,0
224496,-57,-2076,221,-120,35,45,14258,-12,-11,65,16,35450,1,34,127,0,0,3810,0,0,1146,41,87,11492,-4,0,42,0,224477,0
224506,-40,-2080,212,-124,39,26,14258,-1,-2,63,0,35442,-1,34,127,0,0,3807,-10,0,1146,41,87,11502,-4,0,42,0,224477,0
224516,-32,-2086,213,-120,32,19,14252,-9,-2,-4,-16,35436,-12,34,127,0,0,3805,-10,0,1146,41,87,11512,-4,0,42,0,224508,0
224526,-31,-2088,229,-127,31,16,14247,-30,-14,-86,-56,35448,-6,34,127,0,0,3804,0,0,1146,41,87,11522,-4,0,42,0,224508,0
224536,-50,-2086,232,-131,34,3,14239,-28,-16,-93,-56,35446,-5,34,127,0,0,3799,-54,0,1146,41,87,11532,-4,0,42,0,224508,0
224546,-29,-2091,210,-133,34,2,14212,-69,-35,-61,-32,35448,-15,34,127,0,0,3800,10,0,1146,41,87,11542,-4,0,42,0,224539,0
224556,-61,-2079,189,-132,34,3,14206,3,3,-52,-40,35453,-18,34,127,0,0,3794,0,0,1146,41,87,11552,-4,0,42,0,224539,0
224566,-14,-2073,184,-121,34,0,14205,-4,48,-167,-88,35455,-28,34,127,0,0,3790,-65,0,1146,41,87,11562,-4,0,42,0,224539,0
224576,-25,-2072,194,-118,34,-1,14197,-12,-6,-289,-72,35462,-27,34,127,0,0,3783,-43,0,1146,41,87,11572,-4,0,42,0,224555,0
224586,-16,-2081,199,-113,36,2,14196,-4,6,-346,-112,35453,-29,34,127,0,0,3782,-76,0,1146,41,87,11582,-4,0,42,0,224555,0
224596,-14,-2076,211,-116,29,9,14192,-12,7,-392,-128,35456,-39,34,127,0,0,3780,-76,0,1146,41,87,11592,-4,0,42,0,224648,0
224606,-10,-2076,202,-110,37,16,14186,-18,-10,-451,-168,35452,-45,34,127,0,0,3779,-65,0,1146,41,87,11602,-4,0,42,0,224648,0
224616,-6,-2078,199,-108,33,11,14176,-27,-15,-481,-168,35449,-45,34,127,0,0,3780,0,0,1146,41,87,11612,-4,0,42,0,224648,0
224626,-10,-2081,210,-102,31,18,14150,-79,-33,-387,-144,35445,-38,34,127,0,0,3774,-27,0,1146,41,87,11622,-4,0,42,0,224648,0
224636,-5,-2085,215,-102,44,15,14110,-78,-59,-222,-88,35438,-47,34,127,0,0,3769,-71,0,1146,41,87,11632,-4,0,42,0,224648,0
224646,16,-2084,215,-98,40,29,14080,-68,-3,-176,-72,35443,-36,34,127,0,0,3771,-32,0,1146,41,87,11642,-4,0,42,0,224664,0
224656,-13,-2077,210,-108,45,27,14064,5,42,-71,-40,35444,-29,34,127,0,0,3771,16,0,1146,41,87,11652,-4,0,42,0,224664,0
224666,27,-2074,211,-110,26,56,14063,-16,69,-182,-64,35446,-36,34,127,0,0,3769,54,0,1146,41,87,11662,-4,0,42,0,224664,0
224676,-24,-2078,198,-108,32,57,14064,0,17,-203,-64,35448,-18,34,127,0,0,3766,-10,0,1146,41,87,11672,-4,0,42,0,224664,0
224687,-14,-2074,197,-108,44,68,14061,-5,1,-253,-80,35450,-8,34,127,0,0,3763,-21,0,1146,41,87,11683,-4,0,42,0,224664,0
224697,14,-2086,203,-98,47,86,14060,5,-2,-273,-112,35460,4,34,127,0,0,3761,-32,0,1146,41,87,11693,-4,0,42,0,224664,0
