state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
113887,44,-2035,285,-58,-15,-40,14247,-2,-10,107,56,35631,-92,34,127,0,0,3807,10,0,9660,-1069,47,5575,-4,0,79,12,113929,0
113897,48,-2040,291,-57,-6,-48,14248,-3,1,100,56,35637,-90,33,127,0,0,3807,10,0,9660,-1069,47,5585,-4,0,79,12,113929,0
113907,66,-2034,281,-56,-7,-48,14249,5,-1,114,56,35635,-82,33,127,0,0,3807,-10,0,9660,-1069,47,5595,-4,0,79,12,113929,0
113917,71,-2034,284,-56,0,-45,14247,-10,-3,76,64,35635,-88,33,127,0,0,3807,0,0,9660,-1069,47,5605,-4,0,79,12,113929,0
113927,78,-2035,281,-57,-1,-44,14248,-4,-2,95,8,35633,-87,33,127,0,0,3810,21,0,9660,-1069,47,5615,-4,0,79,12,113929,0
113937,80,-2037,283,-58,-4,-32,14249,2,3,159,40,35635,-87,34,127,0,0,3812,10,0,9660,-1069,47,5625,-4,0,79,12,113929,0
113947,33,-2033,281,-53,-2,-28,14247,-1,-7,154,56,35632,-95,33,127,0,0,3810,10,0,9660,-1069,47,5635,-4,0,79,12,113929,0
113957,69,-2040,274,-52,-2,-28,14249,-4,-3,144,8,35636,-97,33,127,0,0,3807,-32,0,9660,-1069,47,5645,-4,0,79,12,113960,0
113967,38,-2043,273,-43,0,-18,14248,16,1,142,48,35647,-100,34,127,0,0,3810,21,0,9660,-1069,47,5655,-4,0,79,12,113960,0
113977,85,-2038,268,-32,3,-17,14248,-9,5,154,40,35652,-95,33,127,0,0,3810,10,0,9660,-1069,47,5665,-4,0,79,12,113960,0
113987,58,-2041,266,-33,14,-3,14250,7,3,159,40,35647,-94,34,127,0,0,3810,0,0,9660,-1069,47,5675,-4,0,79,12,113976,0
113997,76,-2037,280,-33,-24,72,14250,3,5,191,80,35644,-106,34,127,0,0,3814,43,0,9660,-1069,47,5685,-4,0,79,12,113991,0
