state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
278993,82,-2022,340,-29,-9,-41,13858,-10,0,291,72,35827,-56,32,127,0,0,3741,21,0,23114,11459,93,11705,-4,0,71,0,279035,0
279003,76,-2025,347,-32,-6,-42,13860,10,4,318,104,35835,-57,32,127,0,0,3739,-21,0,23114,11459,93,11715,-4,0,71,0,279035,0
279013,73,-2028,348,-40,-5,-41,13860,-1,-3,307,72,35844,-59,32,127,0,0,3739,-21,0,23114,11459,93,11725,-4,0,71,0,279035,0
279023,87,-2024,342,-38,-9,-41,13859,0,-3,289,72,35838,-58,32,127,0,0,3741,21,0,23114,11459,93,11735,-4,0,71,0,279035,0
279033,102,-2025,346,-39,-9,-39,13859,-4,5,305,72,35834,-64,32,127,0,0,3739,0,0,23114,11459,93,11745,-4,0,71,0,279035,0
279043,82,-2023,342,-36,-9,-45,13859,-2,-2,292,80,35846,-60,32,127,0,0,3739,10,0,23114,11459,93,11755,-4,0,71,0,279035,0
279053,97,-2025,333,-38,-9,-42,13859,-7,0,298,72,35857,-56,32,127,0,0,3739,0,0,23114,11459,93,11765,-4,0,71,0,279066,0
279063,88,-2021,345,-35,-7,-45,13859,1,2,292,72,35852,-54,32,127,0,0,3741,10,0,23114,11459,93,11775,-4,0,71,0,279066,0
279073,83,-2023,346,-35,-11,-41,13859,9,-2,287,72,35843,-56,31,127,0,0,3737,-21,0,23114,11459,93,11785,-4,0,71,0,279066,0
279083,105,-2027,343,-40,-9,-50,13857,-7,-6,265,80,35838,-61,31,127,0,0,3739,-10,0,23114,11459,93,11795,-4,0,71,0,279066,0
279093,71,-2027,350,-38,-15,-41,13859,-1,3,273,40,35851,-52,31,127,0,0,3739,-10,0,23114,11459,93,11805,-4,0,71,0,279082,0
279103,53,-2022,349,-37,-10,-47,13857,2,0,285,72,35850,-50,32,127,0,0,3741,21,0,23114,11459,93,11815,-4,0,71,0,279191,0
279113,102,-2024,346,-40,-10,-53,13860,1,6,302,72,35841,-48,32,127,0,0,3739,0,0,23114,11459,93,11825,-4,0,71,0,279191,0
279123,89,-2030,337,-35,-13,-53,13858,-7,0,258,48,35833,-48,32,127,0,0,3739,0,0,23114,11459,93,11835,-4,0,71,0,279207,0
279133,85,-2028,352,-39,-10,-53,13858,16,-5,282,72,35835,-43,32,127,0,0,3739,-10,0,23114,11459,93,11845,-4,0,71,0,279207,0
279143,69,-2027,353,-37,-11,-59,13857,-5,3,281,40,35836,-50,32,127,0,0,3737,-32,0,23114,11459,93,11855,-4,0,71,0,279207,0
279153,68,-2028,346,-45,-14,-61,13858,10,-3,272,40,35827,-55,32,127,0,0,3739,0,0,23114,11459,93,11865,-4,0,71,0,279207,0
279163,73,-2025,342,-42,-15,-61,13858,-8,4,275,88,35827,-55,32,127,0,0,3739,10,0,23114,11459,93,11875,-4,0,71,0,279207,0
279173,83,-2031,337,-45,-12,-77,13858,-1,-3,281,40,35831,-57,32,127,0,0,3739,0,0,23114,11459,93,11885,-4,0,71,0,279207,0
279183,77,-2029,333,-35,-6,-86,13858,-2,2,255,48,35834,-55,32,127,0,0,3737,0,0,23114,11459,93,11895,-4,0,71,0,279207,0
279193,74,-2026,334,-38,0,-99,13857,-2,-1,232,56,35829,-57,32,127,0,0,3733,-43,0,23114,11459,93,11905,-4,0,71,0,279207,0
279203,108,-2030,335,-37,-3,-94,13853,-18,-7,171,24,35825,-61,32,127,0,0,3733,-32,0,23114,11459,93,11915,-4,0,71,0,279207,0
279213,109,-2025,349,-37,-5,-90,13851,-5,-6,100,16,35828,-57,32,127,0,0,3733,-21,0,23114,11459,93,11925,-4,0,71,0,279207,0
279223,105,-2027,346,-38,-12,-84,13847,-8,4,73,-8,35835,-65,32,127,0,0,3728,-65,0,23114,11459,93,11935,-4,0,71,0,279207,0
279233,95,-2020,344,-37,-8,-79,13841,-7,-11,0,-24,35849,-50,32,127,0,0,3730,-10,0,23114,11459,93,11945,-4,0,71,0,279222,0
279243,101,-2023,341,-36,-11,-66,13842,0,8,-27,-8,35871,-58,32,127,0,0,3728,0,0,23114,11459,93,11955,-4,0,71,0,279238,0
279253,104,-2027,342,-32,-8,-55,13839,-5,1,-43,-8,35875,-53,32,127,0,0,3728,0,0,23114,11459,93,11965,-4,0,71,0,279253,0
279263,103,-2026,341,-30,-5,-51,13841,5,7,-60,-32,35860,-60,32,127,0,0,3728,10,0,23114,11459,93,11975,-4,0,71,0,279253,0
279273,101,-2031,335,-32,-12,-46,13840,4,6,-19,-40,35836,-54,32,127,0,0,3728,0,0,23114,11459,93,11985,-4,0,71,0,279253,0
279283,90,-2028,341,-30,-10,-37,13839,2,4,-3,-16,35832,-50,31,127,0,0,3728,-10,0,23114,11459,93,11995,-4,0,71,0,279285,0
279293,79,-2027,335,-25,-9,-38,13837,-6,-1,-19,-40,35836,-52,32,127,0,0,3728,-10,0,23114,11459,93,12005,-4,0,71,0,279285,0
279303,63,-2023,334,-21,-12,-32,13838,5,0,-25,-40,35842,-61,32,127,0,0,3728,0,0,23114,11459,93,12015,-4,0,71,0,279285,0
279313,110,-2019,341,-22,-8,-35,13838,7,5,-3,0,35835,-58,32,127,0,0,3728,0,0,23114,11459,93,12025,-4,0,71,0,279300,0
279323,97,-2025,344,-17,-11,-38,13837,-1,-3,-45,-24,35847,-51,32,127,0,0,3726,-10,0,23114,11459,93,12035,-4,0,71,0,279316,0
279333,118,-2027,337,-15,-3,-33,13837,-4,-1,-40,0,35844,-61,31,127,0,0,3728,-10,0,23114,11459,93,12045,-4,0,71,0,279316,0
279343,85,-2020,348,-19,-8,-26,13837,-1,1,-45,0,35851,-60,32,127,0,0,3728,21,0,23114,11459,93,12055,-4,0,71,0,279331,0
279353,89,-2020,353,-21,-9,-24,13838,-3,1,-11,0,35836,-43,31,127,0,0,3728,0,0,23114,11459,93,12065,-4,0,71,0,279331,0
279363,88,-2022,352,-21,-12,-25,13837,-1,-7,-5,0,35831,-50,31,127,0,0,3728,0,0,23114,11459,93,12075,-4,0,71,0,279363,0
279373,89,-2023,347,-24,-12,-30,13837,-5,-3,-13,0,35823,-54,32,127,0,0,3728,10,0,23114,11459,93,12085,-4,0,71,0,279363,0
279383,94,-2030,343,-26,-14,-25,13838,-4,-2,-5,0,35831,-66,32,127,0,0,3728,0,0,23114,11459,93,12095,-4,0,71,0,279363,0
279393,78,-2016,348,-23,-15,-36,13839,4,5,-10,-8,35842,-65,32,127,0,0,3728,10,0,23114,11459,93,12105,-4,0,71,0,279410,0
279403,86,-2024,341,-26,-15,-40,13840,2,6,26,-8,35834,-65,32,127,0,0,3726,-65,0,23114,11459,93,12115,-4,0,71,0,279410,0
279413,81,-2030,343,-31,-12,-41,13837,-1,-8,-15,0,35825,-62,32,127,0,0,3728,0,0,23114,11459,93,12125,-4,0,71,0,279410,0
