state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
581171,68,-2058,352,-86,34,126,13426,-12,-3,202,40,35508,-12,34,127,0,0,3658,21,0,9588,-821,242,4739,-4,0,11,0,581237,0
581181,66,-2050,358,-96,31,128,13427,0,2,203,24,35507,-16,34,127,0,0,3656,-10,0,9588,-821,242,4749,-4,0,11,0,581237,0
581191,42,-2059,365,-96,39,124,13426,6,-1,199,24,35513,-5,34,127,0,0,3658,10,0,9588,-821,242,4759,-4,0,11,0,581237,0
581201,50,-2058,351,-99,35,126,13427,7,0,235,24,35513,-12,34,127,0,0,3656,-32,0,9588,-821,242,4769,-4,0,11,0,581237,0
581211,42,-2058,350,-92,44,126,13425,2,3,182,40,35518,-23,34,127,0,0,3656,0,0,9588,-821,242,4779,-4,0,11,0,581237,0
581221,58,-2064,351,-92,36,118,13426,-4,-1,180,40,35516,-26,34,127,0,0,3656,0,0,9588,-821,242,4789,-4,0,11,0,581237,0
581231,49,-2060,350,-96,38,125,13427,3,4,199,24,35512,-28,34,127,0,0,3656,-10,0,9588,-821,242,4799,-4,0,11,0,581237,0
581241,34,-2056,357,-95,35,125,13426,0,4,180,40,35507,-18,34,127,0,0,3656,0,0,9588,-821,242,4809,-4,0,11,0,581237,0
581251,43,-2059,359,-99,31,125,13426,-3,1,198,24,35514,-9,34,127,0,0,3656,-10,0,9588,-821,242,4819,-4,0,11,0,581237,0
581261,46,-2058,355,-98,48,126,13426,1,0,180,40,35514,-3,34,127,0,0,3656,0,0,9588,-821,242,4829,-4,0,11,0,581237,0
581271,53,-2057,352,-101,36,119,13425,-1,2,193,72,35521,4,34,127,0,0,3656,-10,0,9588,-821,242,4839,-4,0,11,0,581252,0
581281,56,-2060,346,-98,35,114,13425,-3,0,188,72,35517,-9,34,127,0,0,3656,10,0,9588,-821,242,4849,-4,0,11,0,581252,0
581291,75,-2058,352,-100,36,117,13426,-11,0,184,40,35510,-18,34,127,0,0,3656,0,0,9588,-821,242,4859,-4,0,11,0,581268,0
581301,41,-2054,356,-99,42,120,13426,1,2,186,40,35515,3,34,127,0,0,3656,-21,0,9588,-821,242,4869,-4,0,11,0,581283,0
581311,53,-2058,357,-100,42,123,13426,2,-3,179,40,35515,-6,34,127,0,0,3656,10,0,9588,-821,242,4879,-4,0,11,0,581299,0
581321,54,-2066,342,-98,30,112,13426,-3,2,188,40,35519,-2,34,127,0,0,3656,0,0,9588,-821,242,4889,-4,0,11,0,581315,0
581331,58,-2066,346,-102,41,118,13426,1,3,179,40,35514,-18,34,127,0,0,3656,0,0,9588,-821,242,4899,-4,0,11,0,581315,0
581341,55,-2060,352,-101,39,123,13426,-2,-3,180,40,35503,-15,34,127,0,0,3656,0,0,9588,-821,242,4909,-4,0,11,0,581315,0
581351,45,-2067,347,-104,37,120,13427,0,-2,182,40,35508,-7,34,127,0,0,3656,-10,0,9588,-821,242,4919,-4,0,11,0,581330,0
581361,34,-2059,352,-103,35,126,13427,12,-1,157,40,35508,-13,34,127,0,0,3654,-21,0,9588,-821,242,4929,-4,0,11,0,581330,0
