state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
317454,1,-2060,330,-86,30,110,14004,-6,-4,-8,8,35707,12,33,127,0,0,3761,43,0,2328,445,120,4582,-4,0,78,16,317429,0
317464,-1,-2067,328,-84,36,111,14004,-14,-3,-15,-16,35708,11,32,127,0,0,3762,16,0,2328,445,120,4592,-4,0,78,16,317460,0
317474,-6,-2070,328,-85,32,115,14006,0,-1,22,8,35709,5,33,127,0,0,3761,0,0,2328,445,120,4602,-4,0,78,16,317460,0
317484,-21,-2073,321,-87,34,110,14004,-4,-3,-35,-8,35706,9,33,127,0,0,3762,43,0,2328,445,120,4612,-4,0,78,16,317476,0
317494,-1,-2067,328,-86,39,113,14006,-3,3,4,8,35714,5,32,127,0,0,3761,5,0,2328,445,120,4622,-4,0,78,16,317476,0
317504,-18,-2059,328,-85,34,114,14005,-4,1,-26,-40,35702,6,33,127,0,0,3763,10,0,2328,445,120,4632,-4,0,78,16,317492,0
317514,-14,-2065,322,-81,36,122,14006,15,-2,0,-16,35709,-7,33,127,0,0,3762,27,0,2328,445,120,4642,-4,0,78,16,317507,0
317524,-40,-2062,330,-83,30,119,14006,5,0,26,8,35706,-7,33,127,0,0,3758,-16,0,2328,445,120,4652,-4,0,78,16,317507,0
317534,-8,-2064,326,-84,35,117,14004,1,-2,-45,-8,35710,-6,32,127,0,0,3759,0,0,2328,445,120,4662,-4,0,78,16,317523,0
317544,-7,-2063,325,-84,37,121,14005,0,4,-13,8,35715,-17,32,127,0,0,3761,21,0,2328,445,120,4672,-4,0,78,16,317539,0
317554,2,-2062,332,-84,36,120,14005,-3,3,-2,-16,35714,-21,33,127,0,0,3759,-5,0,2328,445,120,4682,-4,0,78,16,317539,0
