state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
149969,-86,-2074,252,-78,41,96,15172,-26,-16,-367,-104,35434,-92,34,127,0,0,3970,-10,0,18138,6730,65,8129,-4,0,90,16,149980,0
149979,-82,-2075,247,-80,41,100,15155,-37,-24,-277,-88,35446,-85,34,127,0,0,3970,-10,0,18138,6730,65,8139,-4,0,90,16,149980,0
149989,-73,-2076,236,-78,38,111,15144,-5,2,-253,-32,35442,-66,34,127,0,0,3966,-10,0,18138,6730,65,8149,-4,0,90,16,149980,0
149999,-59,-2083,234,-83,35,110,15145,-7,32,-296,-72,35441,-58,34,127,0,0,3966,-32,0,18138,6730,65,8159,-4,0,90,16,149980,0
150009,-91,-2077,253,-78,41,129,15145,4,14,-320,-104,35444,-48,34,127,0,0,3966,-10,0,18138,6730,65,8169,-4,0,90,16,150011,0
150019,-101,-2083,254,-84,45,126,15144,2,2,-299,-64,35443,-47,34,127,0,0,3966,-32,0,18138,6730,65,8179,-4,0,90,16,150011,0
150029,-93,-2072,247,-84,32,135,15142,0,3,-322,-48,35447,-47,34,127,0,0,3968,10,0,18138,6730,65,8189,-4,0,90,16,150027,0
150039,-78,-2073,247,-84,32,133,15144,-5,1,-267,-64,35440,-50,34,127,0,0,3966,-32,0,18138,6730,65,8199,-4,0,90,16,150027,0
150049,-117,-2076,240,-83,34,124,15143,1,3,-343,-88,35437,-51,34,127,0,0,3968,21,0,18138,6730,65,8209,-4,0,90,16,150027,0
150059,-117,-2073,236,-80,37,124,15144,0,3,-296,-24,35436,-56,34,127,0,0,3970,21,0,18138,6730,65,8219,-4,0,90,16,150042,0
150069,-80,-2080,241,-85,30,119,15143,-3,3,-288,-88,35450,-40,34,127,0,0,3966,0,0,18138,6730,65,8229,-4,0,90,16,150058,0
150079,-85,-2074,240,-83,39,115,15143,5,-3,-317,-88,35457,-39,34,127,0,0,3966,-21,0,18138,6730,65,8239,-4,0,90,16,150074,0
150089,-83,-2082,240,-79,31,117,15143,5,1,-338,-88,35451,-44,34,127,0,0,3966,0,0,18138,6730,65,8249,-4,0,90,16,150074,0
150099,-83,-2080,236,-76,36,110,15145,13,7,-292,-96,35441,-48,34,127,0,0,3968,-21,0,18138,6730,65,8259,-4,0,90,16,150089,0
150109,-55,-2070,243,-81,29,117,15143,6,1,-285,-136,35443,-42,34,127,0,0,3963,-10,0,18138,6730,65,8269,-4,0,90,16,150089,0
150119,-44,-2072,242,-82,33,113,15142,1,3,-300,-40,35443,-50,34,127,0,0,3968,10,0,18138,6730,65,8279,-4,0,90,16,150105,0
150129,-113,-2081,235,-77,28,108,15143,5,4,-253,-104,35445,-48,34,127,0,0,3968,0,0,18138,6730,65,8289,-4,0,90,16,150105,0
150140,-111,-2075,242,-72,31,116,15142,0,-4,-284,-88,35440,-50,34,127,0,0,3969,16,0,18138,6730,65,8300,-4,0,90,16,150136,0
150150,-76,-2070,243,-71,34,109,15143,5,1,-258,-112,35440,-52,34,127,0,0,3970,5,0,18138,6730,65,8310,-4,0,90,16,150136,0
150160,-104,-2077,242,-73,36,110,15142,-3,1,-253,-88,35437,-47,34,127,0,0,3972,38,0,18138,6730,65,8320,-4,0,90,16,150136,0
150170,-99,-2081,242,-69,34,109,15142,-2,3,-223,-88,35432,-53,34,127,0,0,3969,-5,0,18138,6730,65,8330,-4,0,90,16,150167,0
150180,-113,-2071,241,-76,39,99,15141,1,-3,-329,-88,35436,-60,34,127,0,0,3969,65,0,18138,6730,65,8340,-4,0,90,16,150167,0
150190,-70,-2063,241,-69,33,103,15140,-9,-1,-326,-80,35435,-62,34,127,0,0,3962,10,0,18138,6730,65,8350,-4,0,90,16,150167,0
150200,-87,-2074,242,-70,35,105,15139,-1,0,-385,-104,35439,-68,34,127,0,0,3963,0,0,18138,6730,65,8360,-4,0,90,16,150183,0
150210,-79,-2072,244,-67,38,100,15137,-9,0,-403,-104,35436,-59,34,127,0,0,3963,27,0,18138,6730,65,8370,-4,0,90,16,150183,0
150220,-87,-2074,238,-65,35,101,15139,8,0,-395,-104,35433,-57,34,127,0,0,3960,-32,0,18138,6730,65,8380,-4,0,90,16,150230,0
150230,-84,-2081,244,-63,41,100,15138,7,-4,-399,-128,35436,-48,34,127,0,0,3964,-16,0,18138,6730,65,8390,-4,0,90,16,150230,0
150240,-88,-2078,249,-60,35,95,15137,0,3,-388,-104,35435,-48,34,127,0,0,3960,-32,0,18138,6730,65,8400,-4,0,90,16,150230,0
150250,-97,-2082,254,-68,34,103,15137,4,0,-408,-104,35427,-44,34,127,0,0,3963,-5,0,18138,6730,65,8410,-4,0,90,16,150230,0
150260,-82,-2075,253,-67,34,102,15136,4,1,-387,-104,35421,-51,34,127,0,0,3963,5,0,18138,6730,65,8420,-4,0,90,16,150246,0
150270,-77,-2075,237,-67,35,110,15135,-9,5,-390,-120,35428,-44,34,127,0,0,3964,10,0,18138,6730,65,8430,-4,0,90,16,150261,0
150280,-85,-2073,239,-69,34,110,15135,0,1,-443,-120,35440,-48,34,127,0,0,3961,32,0,18138,6730,65,8440,-4,0,90,16,150261,0
