state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
192442,-44,-2054,368,-82,34,113,14742,3,3,-195,-64,35796,-36,31,127,0,0,3900,76,0,1120,25,57,6934,-4,0,54,12,192444,0
192452,-79,-2056,372,-78,34,121,14742,-4,-4,-157,-64,35790,-40,31,127,0,0,3893,-21,0,1120,25,57,6944,-4,0,54,12,192444,0
192462,-74,-2060,370,-86,41,124,14742,14,-2,-179,-56,35795,-30,31,127,0,0,3893,-27,0,1120,25,57,6954,-4,0,54,12,192459,0
192472,-71,-2059,377,-81,30,122,14743,7,7,-150,-56,35793,-30,31,127,0,0,3893,-54,0,1120,25,57,6964,-4,0,54,12,192459,0
192482,-69,-2059,372,-80,34,124,14742,8,1,-149,-56,35780,-24,31,127,0,0,3896,-16,0,1120,25,57,6974,-4,0,54,12,192459,0
192492,-79,-2055,370,-78,36,126,14742,9,3,-158,-32,35786,-19,31,127,0,0,3892,0,0,1120,25,57,6984,-4,0,54,12,192491,0
192502,-67,-2060,372,-83,30,120,14741,-6,3,-183,-56,35797,-14,31,127,0,0,3893,-16,0,1120,25,57,6994,-4,0,54,12,192491,0
192512,-73,-2054,369,-86,37,124,14742,-1,2,-173,-32,35792,-18,31,127,0,0,3892,0,0,1120,25,57,7004,-4,0,54,12,192491,0
192522,-68,-2061,369,-81,36,122,14739,-12,-5,-223,-56,35796,-18,31,127,0,0,3896,49,0,1120,25,57,7014,-4,0,54,12,192506,0
192532,-66,-2056,367,-89,40,125,14744,5,6,-164,-16,35784,-19,31,127,0,0,3891,-5,0,1120,25,57,7024,-4,0,54,12,192522,0
192542,-54,-2063,371,-86,32,113,14741,-8,-2,-147,-56,35796,-25,31,127,0,0,3896,-21,0,1120,25,57,7034,-4,0,54,12,192537,0
192552,-69,-2062,369,-81,36,112,14741,-5,-12,-143,-56,35797,-52,31,127,0,0,3893,-10,0,1120,25,57,7044,-4,0,54,12,192537,0
192562,-89,-2057,368,-86,28,131,14741,-1,-1,-188,-56,35788,-60,31,127,0,0,3893,-27,0,1120,25,57,7054,-4,0,54,12,192553,0
192572,-75,-2057,365,-84,36,118,14742,2,7,-174,-16,35794,-46,31,127,0,0,3894,16,0,1120,25,57,7064,-4,0,54,12,192569,0
192582,-41,-2057,369,-82,39,111,14741,-6,2,-186,-56,35788,-37,31,127,0,0,3900,32,0,1120,25,57,7074,-4,0,54,12,192569,0
192592,-91,-2055,369,-84,24,121,14742,-6,0,-172,-40,35797,-31,31,127,0,0,3892,27,0,1120,25,57,7084,-4,0,54,12,192584,0
192602,-68,-2065,365,-79,36,120,14743,11,1,-149,-32,35796,-25,31,127,0,0,3892,-43,0,1120,25,57,7094,-4,0,54,12,192584,0
192613,-71,-2055,369,-83,40,123,14742,3,-2,-167,-64,35785,-15,31,127,0,0,3893,-10,0,1120,25,57,7105,-4,0,54,12,192616,0
192623,-65,-2063,374,-81,33,120,14742,-2,0,-176,-24,35784,-16,31,127,0,0,3893,0,0,1120,25,57,7115,-4,0,54,12,192616,0
192633,-76,-2057,374,-85,31,119,14742,0,6,-151,-32,35779,-17,31,127,0,0,3893,-10,0,1120,25,57,7125,-4,0,54,12,192631,0
192643,-79,-2059,378,-84,27,119,14739,-14,-5,-194,-56,35782,-10,31,127,0,0,3893,0,0,1120,25,57,7135,-4,0,54,12,192647,0
192653,-56,-2059,372,-87,32,124,14740,-9,-5,-201,-56,35772,-18,31,127,0,0,3893,0,0,1120,25,57,7145,-4,0,54,12,192647,0
192663,-65,-2058,371,-82,37,125,14742,2,6,-202,-56,35767,-32,31,127,0,0,3897,43,0,1120,25,57,7155,-4,0,54,12,192662,0
192673,-38,-2051,377,-82,33,128,14744,7,4,-104,0,35769,-33,31,127,0,0,3895,10,0,1120,25,57,7165,-4,0,54,12,192662,0
192683,-30,-2049,371,-87,34,126,14740,-22,-10,-186,-56,35776,-22,31,127,0,0,3895,10,0,1120,25,57,7175,-4,0,54,12,192694,0
192693,-53,-2061,372,-80,39,126,14744,6,0,-154,-40,35779,-21,31,127,0,0,3893,-21,0,1120,25,57,7185,-4,0,54,12,192694,0
192703,-65,-2051,366,-81,39,126,14742,10,2,-152,-32,35778,-34,31,127,0,0,3895,0,0,1120,25,57,7195,-4,0,54,12,192694,0
192713,-107,-2061,367,-85,31,129,14744,8,1,-108,-88,35781,-36,31,127,0,0,3895,-43,0,1120,25,57,7205,-4,0,54,12,192709,0
192723,-116,-2054,360,-86,39,130,14743,14,-1,-127,-72,35788,-36,31,127,0,0,3895,-32,0,1120,25,57,7215,-4,0,54,12,192709,0
192733,-55,-2053,372,-81,34,128,14741,-6,2,-161,-56,35790,-26,31,127,0,0,3895,0,0,1120,25,57,7225,-4,0,54,12,192709,0
192743,-69,-2050,380,-81,34,126,14742,2,-1,-151,-24,35791,-28,31,127,0,0,3893,0,0,1120,25,57,7235,-4,0,54,12,192741,0
192753,-64,-2070,371,-84,32,117,14741,-4,-3,-189,-64,35786,-34,31,127,0,0,3893,-10,0,1120,25,57,7245,-4,0,54,12,192741,0
192763,-55,-2063,368,-86,33,123,14743,8,0,-160,-32,35785,-23,31,127,0,0,3895,0,0,1120,25,57,7255,-4,0,54,12,192756,0
192773,-59,-2056,367,-88,41,116,14741,-13,-3,-171,-24,35799,-34,31,127,0,0,3897,43,0,1120,25,57,7265,-4,0,54,12,192772,0
192783,-82,-2076,373,-87,31,120,14743,-3,-6,-140,-64,35797,-22,31,127,0,0,3895,21,0,1120,25,57,7275,-4,0,54,12,192772,0
192793,-37,-2064,374,-88,31,111,14742,-5,-1,-156,-40,35799,-27,31,127,0,0,3893,-10,0,1120,25,57,7285,-4,0,54,12,192772,0
192803,-38,-2055,375,-87,32,113,14742,-7,-3,-208,-56,35800,-20,31,127,0,0,3893,21,0,1120,25,57,7295,-4,0,54,12,192803,0
192813,-66,-2063,370,-88,36,111,14743,-3,-2,-191,-64,35795,-20,31,127,0,0,3893,-21,0,1120,25,57,7305,-4,0,54,12,192803,0
192823,-77,-2054,371,-87,32,105,14743,17,0,-186,-56,35788,-19,31,127,0,0,3895,0,0,1120,25,57,7315,-4,0,54,12,192803,0
192833,-66,-2050,370,-89,35,112,14742,8,-2,-153,-24,35784,-18,31,127,0,0,3893,-10,0,1120,25,57,7325,-4,0,54,12,192834,0
192843,-54,-2054,374,-88,32,108,14741,3,-3,-187,-56,35788,-24,31,127,0,0,3893,-21,0,1120,25,57,7335,-4,0,54,12,192834,0
192853,-75,-2054,373,-96,19,104,14742,4,-3,-175,-24,35794,-35,31,127,0,0,3895,10,0,1120,25,57,7345,-4,0,54,12,192834,0
192864,-69,-2054,375,-95,40,100,14741,-8,-4,-179,-56,35791,-36,31,127,0,0,3900,49,0,1120,25,57,7356,-4,0,54,12,192850,0
192874,-62,-2045,367,-102,30,106,14742,-10,-1,-167,-88,35775,-30,31,127,0,0,3894,-10,0,1120,25,57,7366,-4,0,54,12,192881,0
192884,-87,-2056,369,-96,34,92,14741,10,-2,-215,-56,35785,-40,31,127,0,0,3893,0,0,1120,25,57,7376,-4,0,54,12,192881,0
192894,-61,-2054,365,-87,34,96,14740,-6,-1,-245,-56,35790,-37,31,127,0,0,3890,16,0,1120,25,57,7386,-4,0,54,12,192881,0
192904,-56,-2050,370,-98,31,104,14737,-17,-10,-306,-72,35790,-31,31,127,0,0,3891,32,0,1120,25,57,7396,-4,0,54,12,192944,0
192914,-50,-2053,370,-89,30,101,14740,9,5,-258,-80,35782,-24,31,127,0,0,3891,0,0,1120,25,57,7406,-4,0,54,12,192944,0
192924,-66,-2052,376,-94,34,100,14736,-3,-2,-323,-120,35783,-12,31,127,0,0,3886,-27,0,1120,25,57,7416,-4,0,54,12,192948,0
192934,-55,-2057,376,-92,35,104,14730,-16,-15,-342,-112,35782,-23,31,127,0,0,3886,-5,0,1120,25,57,7426,-4,0,54,12,192948,0
