state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
506088,164,-2047,381,-78,42,130,6502,1,2,232,48,35659,-31,33,127,0,0,2232,-5,0,1121,0,201,25216,-4,0,9,0,506068,0
506098,169,-2035,384,-80,42,124,6501,-2,-4,218,64,35668,-47,33,127,0,0,2228,-27,0,1121,0,201,25226,-4,0,9,0,506083,0
506108,199,-2043,382,-83,38,128,6500,-12,-5,168,32,35670,-33,33,127,0,0,2236,54,0,1121,0,201,25236,-4,0,9,0,506099,0
506118,176,-2026,391,-80,38,138,6500,-7,-2,187,72,35669,-31,33,127,0,0,2234,65,0,1121,0,201,25246,-4,0,9,0,506115,0
506128,171,-2063,381,-87,32,147,6501,-5,3,193,48,35659,-29,33,127,0,0,2232,10,0,1121,0,201,25256,-4,0,9,0,506130,0
506139,180,-2051,382,-87,34,137,6502,0,-5,181,48,35665,-35,33,127,0,0,2234,43,0,1121,0,201,25267,-4,0,9,0,506130,0
506149,181,-2046,389,-89,45,140,6501,-1,-3,233,80,35669,-41,33,127,0,0,2232,0,0,1121,0,201,25277,-4,0,9,0,506130,0
506159,170,-2049,379,-89,33,125,6502,3,-3,227,40,35662,-22,33,127,0,0,2232,-10,0,1121,0,201,25287,-4,0,9,0,506130,0
506169,151,-2062,377,-85,43,131,6501,-1,-3,247,64,35655,-3,33,127,0,0,2232,0,0,1121,0,201,25297,-4,0,9,0,506161,0
506179,180,-2034,380,-81,41,129,6501,-23,-3,191,48,35658,-8,34,127,0,0,2232,10,0,1121,0,201,25307,-4,0,9,0,506161,0
506189,181,-2037,386,-86,38,126,6504,10,2,227,32,35658,-3,34,127,0,0,2234,-10,0,1121,0,201,25317,-4,0,9,0,506161,0
506199,156,-2051,380,-84,44,133,6503,2,5,237,32,35667,-21,34,127,0,0,2234,21,0,1121,0,201,25327,-4,0,9,0,506177,0
506209,185,-2054,376,-84,35,128,6502,-1,-6,207,48,35668,-20,33,127,0,0,2232,0,0,1121,0,201,25337,-4,0,9,0,506193,0
506219,170,-2059,380,-85,33,133,6503,5,4,200,40,35668,-43,33,127,0,0,2232,10,0,1121,0,201,25347,-4,0,9,0,506193,0
506229,175,-2040,387,-83,33,128,6501,0,1,207,48,35665,-51,33,127,0,0,2234,32,0,1121,0,201,25357,-4,0,9,0,506208,0
506239,171,-2052,386,-82,40,133,6503,1,2,250,72,35665,-51,33,127,0,0,2234,10,0,1121,0,201,25367,-4,0,9,0,506224,0
506249,174,-2052,385,-84,35,136,6503,2,3,231,40,35662,-39,33,127,0,0,2234,10,0,1121,0,201,25377,-4,0,9,0,506240,0
506259,155,-2058,379,-85,36,136,6504,12,4,292,80,35661,-40,33,127,0,0,2234,0,0,1121,0,201,25387,-4,0,9,0,506240,0
506269,170,-2036,381,-85,35,126,6506,-9,5,254,48,35657,-42,33,127,0,0,2234,-10,0,1121,0,201,25397,-4,0,9,0,506240,0
506279,169,-2036,388,-81,33,126,6505,0,-10,272,112,35662,-48,33,127,0,0,2236,21,0,1121,0,201,25407,-4,0,9,0,506255,0
506289,172,-2035,384,-79,41,131,6509,-5,5,275,72,35664,-55,34,127,0,0,2234,-21,0,1121,0,201,25417,-4,0,9,0,506286,0
506299,174,-2051,379,-81,36,134,6507,0,-5,240,112,35666,-45,34,127,0,0,2236,32,0,1121,0,201,25427,-4,0,9,0,506286,0
