state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
554759,-103,-2078,206,-93,47,150,15211,8,-1,150,48,35319,-71,35,127,0,0,3988,-43,0,1498,456,236,9247,-4,0,25,0,554736,0
554769,-107,-2080,214,-94,42,153,15210,7,7,145,16,35317,-88,35,127,0,0,3990,-21,0,1498,456,236,9257,-4,0,25,0,554736,0
554779,-57,-2097,213,-95,42,146,15210,-12,0,123,40,35312,-92,35,127,0,0,3988,-21,0,1498,456,236,9267,-4,0,25,0,554752,0
554789,-71,-2084,217,-94,39,158,15211,4,4,101,72,35310,-98,35,127,0,0,3994,43,0,1498,456,236,9277,-4,0,25,0,554752,0
554799,-76,-2074,212,-95,34,161,15212,0,5,217,48,35317,-93,35,127,0,0,3994,21,0,1498,456,236,9287,-4,0,25,0,554783,0
554809,-83,-2073,211,-92,31,156,15212,3,4,235,80,35324,-94,35,127,0,0,3994,0,0,1498,456,236,9297,-4,0,25,0,554783,0
554819,-88,-2079,214,-90,42,154,15212,3,-3,232,80,35319,-89,35,127,0,0,3994,10,0,1498,456,236,9307,-4,0,25,0,554783,0
554829,-83,-2076,210,-93,39,157,15215,11,4,268,64,35315,-94,35,127,0,0,3994,-21,0,1498,456,236,9317,-4,0,25,0,554798,0
554839,-80,-2078,209,-92,42,152,15214,10,7,265,96,35313,-89,35,127,0,0,3996,21,0,1498,456,236,9327,-4,0,25,0,554798,0
554849,-76,-2078,215,-94,37,153,15216,1,0,316,88,35322,-97,35,127,0,0,3999,32,0,1498,456,236,9337,-4,0,25,0,554830,0
554859,-79,-2072,215,-94,35,148,15217,6,6,364,104,35326,-100,35,127,0,0,3999,0,0,1498,456,236,9347,-4,0,25,0,554830,0
554869,-92,-2082,212,-94,39,151,15218,4,-3,386,104,35321,-96,35,127,0,0,3999,-21,0,1498,456,236,9357,-4,0,25,0,554830,0
554879,-91,-2081,209,-89,41,148,15218,3,-4,371,136,35315,-86,35,127,0,0,3999,0,0,1498,456,236,9367,-4,0,25,0,554861,0
554889,-85,-2085,211,-98,39,145,15217,-7,0,364,136,35322,-87,35,127,0,0,4001,21,0,1498,456,236,9377,-4,0,25,0,554861,0
554899,-90,-2079,214,-90,35,144,15218,-4,4,375,136,35318,-93,35,127,0,0,4001,21,0,1498,456,236,9387,-4,0,25,0,554877,0
554909,-88,-2078,206,-95,34,146,15219,-2,2,400,120,35319,-95,35,127,0,0,4001,0,0,1498,456,236,9397,-4,0,25,0,554877,0
554919,-86,-2085,203,-94,36,134,15219,5,2,423,120,35314,-98,35,127,0,0,4001,-21,0,1498,456,236,9407,-4,0,25,0,554877,0
554929,-76,-2083,201,-89,41,133,15219,0,-1,452,104,35324,-102,35,127,0,0,4001,-21,0,1498,456,236,9417,-4,0,25,0,554908,0
554939,-82,-2084,210,-89,35,130,15222,-1,0,405,120,35326,-105,35,127,0,0,4001,0,0,1498,456,236,9427,-4,0,25,0,554908,0
554949,-88,-2083,221,-93,37,139,15221,1,-1,413,120,35320,-98,35,127,0,0,4001,-21,0,1498,456,236,9437,-4,0,25,0,554923,0
554960,-95,-2076,206,-96,32,132,15223,13,5,429,112,35315,-92,35,127,0,0,4004,-10,0,1498,456,236,9448,-4,0,25,0,554923,0
554970,-100,-2078,209,-88,39,133,15223,2,-1,463,136,35321,-87,35,127,0,0,4000,-21,0,1498,456,236,9458,-4,0,25,0,554939,0
554980,-70,-2080,204,-91,37,121,15224,-7,4,441,136,35328,-86,35,127,0,0,4000,-21,0,1498,456,236,9468,-4,0,25,0,554955,0
