state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
513396,139,-2080,162,-87,37,122,12369,0,2,119,24,35055,63,36,127,0,0,3453,21,0,19553,7881,239,25644,-4,0,47,0,513365,0
513406,149,-2074,162,-93,33,121,12368,-3,-3,125,48,35060,58,35,127,0,0,3451,65,0,19553,7881,239,25654,-4,0,47,0,513365,0
513417,115,-2083,163,-87,42,115,12369,-6,3,170,40,35066,69,35,127,0,0,3447,-65,0,19553,7881,239,25665,-4,0,47,0,513396,0
513427,123,-2080,164,-90,36,110,12368,2,-7,105,48,35062,76,36,127,0,0,3447,-21,0,19553,7881,239,25675,-4,0,47,0,513396,0
513437,90,-2082,159,-92,37,120,12368,-14,-2,139,8,35057,55,36,127,0,0,3447,-65,0,19553,7881,239,25685,-4,0,47,0,513396,0
513447,104,-2077,157,-87,47,114,12367,-5,-2,38,32,35064,56,35,127,0,0,3449,0,0,19553,7881,239,25695,-4,0,47,0,513412,0
513457,135,-2078,160,-89,35,126,12368,6,2,60,64,35071,45,35,127,0,0,3451,32,0,19553,7881,239,25705,-4,0,47,0,513412,0
513467,148,-2083,160,-91,34,119,12371,14,8,177,40,35070,56,35,127,0,0,3451,0,0,19553,7881,239,25715,-4,0,47,0,513443,0
513477,128,-2083,163,-91,40,126,12369,0,1,189,40,35060,65,36,127,0,0,3447,-65,0,19553,7881,239,25725,-4,0,47,0,513443,0
513487,131,-2077,157,-84,38,116,12369,11,-4,152,32,35053,70,35,127,0,0,3451,-10,0,19553,7881,239,25735,-4,0,47,0,513443,0
513497,97,-2079,153,-86,38,130,12371,-8,6,176,8,35057,81,35,127,0,0,3451,0,0,19553,7881,239,25745,-4,0,47,0,513474,0
513507,107,-2082,166,-87,38,128,12370,0,1,112,64,35062,98,36,127,0,0,3451,43,0,19553,7881,239,25755,-4,0,47,0,513474,0
