state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
219111,198,-2032,176,-38,-10,-34,12918,-10,-6,-395,-96,35401,-88,35,127,0,0,3546,21,0,15422,4790,86,57879,-4,0,0,0,219110,0
219121,190,-2024,187,-33,-10,-32,12919,-11,3,-394,-48,35400,-78,35,127,0,0,3546,10,0,15422,4790,86,57889,-4,0,0,0,219110,0
219131,186,-2044,178,-36,-7,-36,12919,2,-1,-408,-96,35396,-67,35,127,0,0,3546,0,0,15422,4790,86,57899,-4,0,0,0,219125,0
219141,165,-2036,183,-33,-7,-23,12919,6,4,-376,-64,35397,-82,35,127,0,0,3548,10,0,15422,4790,86,57909,-4,0,0,0,219125,0
219151,177,-2041,177,-31,-9,-17,12919,-9,-1,-331,-72,35400,-88,35,127,0,0,3546,0,0,15422,4790,86,57919,-4,0,0,0,219157,0
219161,156,-2033,181,-28,-5,-33,12919,-5,-6,-375,-64,35392,-74,35,127,0,0,3546,10,0,15422,4790,86,57929,-4,0,0,0,219157,0
219171,193,-2030,187,-35,-7,-31,12920,0,3,-338,-88,35390,-58,34,127,0,0,3550,32,0,15422,4790,86,57939,-4,0,0,0,219157,0
219181,166,-2033,198,-30,-11,-22,12920,0,1,-315,-80,35388,-59,34,127,0,0,3548,0,0,15422,4790,86,57949,-4,0,0,0,219157,0
219191,159,-2042,187,-31,-2,-20,12919,2,-3,-336,-32,35394,-87,35,127,0,0,3548,10,0,15422,4790,86,57959,-4,0,0,0,219188,0
219201,156,-2047,184,-37,-4,-21,12920,-7,-2,-334,-64,35413,-95,35,127,0,0,3546,-32,0,15422,4790,86,57969,-4,0,0,0,219188,0
219211,171,-2037,185,-34,-9,-17,12919,-2,-3,-344,-72,35406,-83,35,127,0,0,3546,-21,0,15422,4790,86,57979,-4,0,0,0,219188,0
219221,153,-2051,179,-31,-12,-22,12920,-4,3,-346,-72,35406,-89,35,127,0,0,3548,0,0,15422,4790,86,57989,-4,0,0,0,219203,0
219231,170,-2035,193,-37,-4,-19,12922,9,7,-263,-88,35392,-65,35,127,0,0,3550,0,0,15422,4790,86,57999,-4,0,0,0,219203,0
219241,178,-2035,192,-38,-6,-16,12921,3,3,-258,-56,35411,-71,35,127,0,0,3548,0,0,15422,4790,86,58009,-4,0,0,0,219235,0
219251,196,-2042,187,-42,-6,-17,12922,4,-3,-246,-56,35411,-63,35,127,0,0,3550,-21,0,15422,4790,86,58019,-4,0,0,0,219235,0
219261,163,-2039,178,-44,-10,-18,12922,-4,1,-229,-56,35404,-74,35,127,0,0,3552,21,0,15422,4790,86,58029,-4,0,0,0,219235,0
219271,159,-2033,179,-43,-8,-11,12923,7,-1,-205,-24,35398,-87,35,127,0,0,3552,10,0,15422,4790,86,58039,-4,0,0,0,219344,0
