state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
292557,137,-2083,130,-95,40,100,11843,-6,3,-468,-152,35192,25,35,127,0,0,3333,10,0,1410,453,141,11213,-4,0,7,0,292537,0
292567,138,-2078,132,-92,37,98,11840,-9,4,-420,-120,35190,20,35,127,0,0,3331,-21,0,1410,453,141,11223,-4,0,7,0,292552,0
292577,147,-2084,137,-90,35,106,11835,-14,-5,-460,-136,35187,8,35,127,0,0,3331,0,0,1410,453,141,11233,-4,0,7,0,292552,0
292587,140,-2077,133,-84,32,118,11822,-30,-17,-352,-88,35184,14,35,127,0,0,3331,-10,0,1410,453,141,11243,-4,0,7,0,292552,0
292597,130,-2087,130,-80,43,119,11807,-30,-17,-278,-80,35191,27,35,127,0,0,3328,-21,0,1410,453,141,11253,-4,0,7,0,292568,0
292607,161,-2081,128,-75,40,119,11806,3,25,-302,-96,35199,41,35,127,0,0,3333,32,0,1410,453,141,11263,-4,0,7,0,292568,0
292617,156,-2076,129,-74,37,130,11808,9,33,-217,-56,35202,38,35,127,0,0,3333,0,0,1410,453,141,11273,-4,0,7,0,292599,0
292627,137,-2081,126,-69,41,139,11805,-7,-2,-237,-40,35198,10,35,127,0,0,3331,0,0,1410,453,141,11283,-4,0,7,0,292599,0
292637,133,-2084,130,-62,39,138,11806,2,-5,-235,-56,35191,5,34,127,0,0,3331,-21,0,1410,453,141,11293,-4,0,7,0,292599,0
292647,153,-2077,133,-52,40,143,11805,-5,-1,-236,-88,35196,24,35,127,0,0,3333,21,0,1410,453,141,11303,-4,0,7,0,292615,0
292658,147,-2074,146,-54,38,153,11806,0,-2,-214,-56,35201,40,35,127,0,0,3333,0,0,1410,453,141,11314,-4,0,7,0,292630,0
292668,137,-2079,141,-52,32,163,11808,11,5,-150,-8,35194,44,35,127,0,0,3334,-5,0,1410,453,141,11324,-4,0,7,0,292646,0
292678,134,-2081,149,-51,33,173,11806,-14,-4,-143,-8,35194,28,35,127,0,0,3337,38,0,1410,453,141,11334,-4,0,7,0,292646,0
