state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
532790,84,-2078,204,-92,36,115,12947,-4,-3,279,64,35048,63,35,127,0,0,3571,32,0,1639,916,246,7378,-4,0,-33,0,532769,0
532800,80,-2079,194,-96,42,112,12948,-4,-2,294,64,35058,61,35,127,0,0,3565,-21,0,1639,916,246,7388,-4,0,-33,0,532769,0
532810,87,-2083,183,-97,41,109,12948,1,0,260,64,35062,66,36,127,0,0,3568,-10,0,1639,916,246,7398,-4,0,-33,0,532769,0
532820,94,-2078,176,-97,39,113,12949,3,1,282,64,35067,70,36,127,0,0,3568,0,0,1639,916,246,7408,-4,0,-33,0,532785,0
532830,90,-2084,172,-88,39,112,12948,-1,-1,285,64,35066,75,35,127,0,0,3571,32,0,1639,916,246,7418,-4,0,-33,0,532801,0
532840,82,-2082,173,-86,35,123,12949,0,-2,295,80,35071,81,35,127,0,0,3570,49,0,1639,916,246,7428,-4,0,-33,0,532801,0
532850,105,-2082,183,-84,44,120,12950,0,-2,290,56,35082,88,35,127,0,0,3568,10,0,1639,916,246,7438,-4,0,-33,0,532816,0
532860,104,-2079,181,-87,40,117,12948,1,0,279,64,35077,97,35,127,0,0,3571,32,0,1639,916,246,7448,-4,0,-33,0,532816,0
532870,108,-2081,198,-82,34,119,12947,-16,-7,255,64,35069,86,36,127,0,0,3571,71,0,1639,916,246,7458,-4,0,-33,0,532847,0
532880,101,-2079,187,-89,42,128,12950,0,-2,267,56,35067,71,36,127,0,0,3568,10,0,1639,916,246,7468,-4,0,-33,0,532847,0
532890,79,-2086,168,-81,41,126,12949,2,0,280,64,35061,69,35,127,0,0,3571,32,0,1639,916,246,7478,-4,0,-33,0,532847,0
532900,75,-2078,171,-80,41,121,12950,-2,-3,326,56,35069,85,35,127,0,0,3565,-71,0,1639,916,246,7488,-4,0,-33,0,532863,0
532910,69,-2085,192,-76,39,115,12948,0,-2,257,64,35064,101,35,127,0,0,3568,-16,0,1639,916,246,7498,-4,0,-33,0,532879,0
532921,61,-2085,211,-85,36,122,12951,3,4,272,88,35063,92,36,127,0,0,3568,-21,0,1639,916,246,7509,-4,0,-33,0,532879,0
532931,80,-2079,204,-87,37,119,12949,-3,-3,243,64,35070,85,36,127,0,0,3568,10,0,1639,916,246,7519,-4,0,-33,0,532894,0
532941,99,-2082,188,-89,40,112,12950,-5,0,243,56,35075,76,35,127,0,0,3570,32,0,1639,916,246,7529,-4,0,-33,0,532910,0
532951,103,-2084,188,-88,35,120,12953,9,7,287,56,35080,107,35,127,0,0,3568,-10,0,1639,916,246,7539,-4,0,-33,0,532926,0
532961,101,-2082,188,-89,42,123,12952,2,2,273,24,35067,100,35,127,0,0,3568,-21,0,1639,916,246,7549,-4,0,-33,0,532926,0
