state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
534437,209,-2039,150,-12,-8,-27,12431,20,20,556,136,35258,-68,36,127,0,0,3476,0,0,2316,1492,245,7505,-4,0,115,-1,534450,0
534447,204,-2040,147,-13,-13,-33,12450,53,21,479,128,35262,-68,36,127,0,0,3476,10,0,2316,1492,245,7515,-4,0,115,-1,534450,0
534457,221,-2040,146,-14,-14,-39,12479,59,40,269,80,35263,-65,35,127,0,0,3476,-21,0,2316,1492,245,7525,-4,0,115,-1,534465,0
534467,216,-2037,142,-13,-8,-44,12478,-10,-44,303,72,35259,-77,36,127,0,0,3478,21,0,2316,1492,245,7535,-4,0,115,-1,534465,0
534477,221,-2040,139,-10,-8,-45,12479,3,-61,274,56,35249,-94,35,127,0,0,3476,10,0,2316,1492,245,7545,-4,0,115,-1,534465,0
534487,224,-2043,138,-9,-5,-49,12479,5,11,307,64,35245,-89,35,127,0,0,3476,-10,0,2316,1492,245,7555,-4,0,115,-1,534465,0
534497,206,-2038,147,-12,-16,-43,12477,-9,2,281,56,35246,-91,36,127,0,0,3478,10,0,2316,1492,245,7565,-4,0,115,-1,534465,0
534507,211,-2045,142,-10,-13,-48,12481,21,5,342,56,35256,-99,35,127,0,0,3476,-21,0,2316,1492,245,7575,-4,0,115,-1,534465,0
534517,221,-2042,142,-11,-8,-52,12479,-10,0,338,96,35269,-103,36,127,0,0,3478,-21,0,2316,1492,245,7585,-4,0,115,-1,534512,0
534527,213,-2036,150,-9,-9,-54,12479,0,-7,281,72,35275,-100,35,127,0,0,3476,0,0,2316,1492,245,7595,-4,0,115,-1,534512,0
