state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
97254,71,-2037,262,-38,-6,-25,14448,-1,1,300,88,35434,-97,34,127,0,0,3848,0,0,2720,126,46,4982,-4,0,34,0,97304,0
97264,82,-2036,266,-34,-2,-29,14448,5,-2,286,112,35437,-90,34,127,0,0,3850,-5,0,2720,126,46,4992,-4,0,34,0,97304,0
97274,71,-2042,262,-31,-3,-29,14447,-4,7,338,112,35434,-89,34,127,0,0,3854,16,0,2720,126,46,5002,-4,0,34,0,97304,0
97284,78,-2033,258,-35,-7,-23,14446,-9,-7,307,72,35420,-71,34,127,0,0,3856,54,0,2720,126,46,5012,-4,0,34,0,97319,0
97294,69,-2035,265,-40,-11,-14,14448,4,2,325,112,35417,-91,34,127,0,0,3854,49,0,2720,126,46,5022,-4,0,34,0,97319,0
97304,57,-2033,267,-37,-5,-17,14449,1,0,345,64,35419,-93,34,127,0,0,3852,-27,0,2720,126,46,5032,-4,0,34,0,97335,0
97314,43,-2039,271,-45,-1,-18,14449,17,-4,348,88,35416,-91,34,127,0,0,3851,-49,0,2720,126,46,5042,-4,0,34,0,97335,0
97324,58,-2042,279,-47,-7,-22,14448,2,0,348,112,35414,-92,34,127,0,0,3854,5,0,2720,126,46,5052,-4,0,34,0,97335,0
97334,50,-2036,272,-50,-8,-5,14448,-9,-2,359,112,35414,-96,34,127,0,0,3854,0,0,2720,126,46,5062,-4,0,34,0,97335,0
97344,72,-2043,266,-59,-18,5,14450,2,1,385,136,35417,-102,34,127,0,0,3856,10,0,2720,126,46,5072,-4,0,34,0,97335,0
97354,47,-2033,251,-54,-16,-6,14450,0,-1,420,160,35427,-82,34,127,0,0,3855,5,0,2720,126,46,5082,-4,0,34,0,97335,0
97364,40,-2033,253,-49,-5,-10,14451,0,1,446,104,35435,-69,34,127,0,0,3857,-27,0,2720,126,46,5092,-4,0,34,0,97351,0
97374,61,-2036,266,-52,-5,-23,14451,0,-3,451,176,35439,-83,34,127,0,0,3857,49,0,2720,126,46,5102,-4,0,34,0,97382,0
97384,74,-2041,269,-58,-8,-17,14455,-1,5,459,120,35430,-84,34,127,0,0,3859,5,0,2720,126,46,5112,-4,0,34,0,97382,0
97394,41,-2040,264,-56,-12,-24,14456,7,-2,494,144,35427,-83,34,127,0,0,3864,60,0,2720,126,46,5122,-4,0,34,0,97382,0
97404,39,-2042,263,-54,-9,-24,14461,10,0,562,184,35415,-76,34,127,0,0,3862,0,0,2720,126,46,5132,-4,0,34,0,97382,0
97414,49,-2035,264,-62,-12,-24,14460,-14,3,524,184,35415,-83,34,127,0,0,3862,32,0,2720,126,46,5142,-4,0,34,0,97413,0
97424,43,-2039,267,-67,-5,-27,14464,5,-11,540,176,35423,-93,34,127,0,0,3862,5,0,2720,126,46,5152,-4,0,34,0,97429,0
97434,38,-2037,267,-72,-12,-42,14466,7,-2,562,168,35427,-89,35,127,0,0,3862,0,0,2720,126,46,5162,-4,0,34,0,97429,0
97444,48,-2040,258,-71,-13,-42,14465,3,-5,562,128,35425,-85,34,127,0,0,3864,-10,0,2720,126,46,5172,-4,0,34,0,97429,0
97454,47,-2041,258,-64,-1,-44,14466,6,-5,557,168,35420,-68,34,127,0,0,3862,27,0,2720,126,46,5182,-4,0,34,0,97429,0
97464,56,-2031,254,-68,-9,-41,14467,4,4,555,168,35422,-65,34,127,0,0,3862,0,0,2720,126,46,5192,-4,0,34,0,97460,0
97474,74,-2042,256,-65,-8,-41,14467,-3,1,538,168,35427,-65,34,127,0,0,3862,27,0,2720,126,46,5202,-4,0,34,0,97460,0
97484,65,-2032,251,-69,-5,-39,14471,7,-1,541,112,35419,-59,34,127,0,0,3864,-10,0,2720,126,46,5212,-4,0,34,0,97460,0
97494,29,-2038,266,-69,-12,-37,14472,20,-1,559,160,35415,-85,34,127,0,0,3862,0,0,2720,126,46,5222,-4,0,34,0,97476,0
97504,47,-2035,270,-72,-10,-41,14472,-2,0,495,160,35418,-91,34,127,0,0,3862,0,0,2720,126,46,5232,-4,0,34,0,97491,0
97514,35,-2038,261,-65,-6,-36,14474,7,1,513,152,35424,-106,34,127,0,0,3856,-93,0,2720,126,46,5242,-4,0,34,0,97491,0
97524,60,-2037,259,-74,-10,-43,14475,2,2,462,152,35435,-93,34,127,0,0,3862,5,0,2720,126,46,5252,-4,0,34,0,97522,0
97534,29,-2032,259,-73,-13,-44,14480,15,5,489,144,35422,-86,34,127,0,0,3862,-27,0,2720,126,46,5262,-4,0,34,0,97522,0
97544,47,-2039,259,-75,-9,-49,14486,6,15,429,128,35415,-88,34,127,0,0,3859,-32,0,2720,126,46,5272,-4,0,34,0,97522,0
97554,40,-2040,262,-80,-11,-54,14492,21,0,393,120,35418,-78,34,127,0,0,3862,-10,0,2720,126,46,5282,-4,0,34,0,97538,0
