state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
131646,147,-2076,143,-89,37,85,11914,3,3,-352,-104,35212,42,35,127,0,0,3351,27,0,18431,6603,65,6886,-4,0,16,0,131647,0
131657,140,-2075,134,-87,32,87,11913,-13,0,-405,-96,35218,43,35,127,0,0,3348,10,0,18431,6603,65,6897,-4,0,16,0,131647,0
131667,146,-2078,140,-88,29,91,11912,-6,-10,-400,-128,35222,47,35,127,0,0,3348,0,0,18431,6603,65,6907,-4,0,16,0,131647,0
131677,139,-2082,141,-82,32,104,11913,1,-1,-424,-152,35227,43,35,127,0,0,3344,-43,0,18431,6603,65,6917,-4,0,16,0,131647,0
131687,138,-2085,145,-86,31,97,11909,1,-4,-452,-176,35230,49,35,127,0,0,3346,10,0,18431,6603,65,6927,-4,0,16,0,131678,0
131697,156,-2078,148,-91,32,106,11906,-5,0,-437,-136,35218,59,35,127,0,0,3344,0,0,18431,6603,65,6937,-4,0,16,0,131678,0
131707,143,-2083,148,-96,27,108,11905,-6,4,-485,-120,35213,52,35,127,0,0,3344,10,0,18431,6603,65,6947,-4,0,16,0,131678,0
131717,151,-2080,139,-88,30,109,11901,-6,-5,-457,-128,35219,51,35,127,0,0,3344,21,0,18431,6603,65,6957,-4,0,16,0,131694,0
131727,142,-2084,141,-91,39,114,11896,-16,-2,-435,-152,35222,66,35,127,0,0,3342,0,0,18431,6603,65,6967,-4,0,16,0,131709,0
131737,140,-2079,144,-91,39,117,11882,-36,-21,-350,-88,35222,73,35,127,0,0,3342,0,0,18431,6603,65,6977,-4,0,16,0,131709,0
131747,140,-2076,142,-90,35,116,11865,-34,-22,-267,-80,35220,82,35,127,0,0,3344,21,0,18431,6603,65,6987,-4,0,16,0,131725,0
131757,166,-2076,141,-93,35,118,11863,0,35,-254,-40,35219,47,34,127,0,0,3344,32,0,18431,6603,65,6997,-4,0,16,0,131725,0
131767,144,-2081,137,-91,31,119,11862,-3,36,-231,-80,35227,31,35,127,0,0,3342,0,0,18431,6603,65,7007,-4,0,16,0,131741,0
131777,122,-2092,145,-90,33,123,11863,4,-1,-218,-48,35221,19,35,127,0,0,3344,0,0,18431,6603,65,7017,-4,0,16,0,131756,0
131787,125,-2083,151,-91,33,116,11864,-1,2,-227,-56,35218,3,35,127,0,0,3342,0,0,18431,6603,65,7027,-4,0,16,0,131772,0
131797,133,-2087,146,-90,40,126,11862,0,-5,-249,-48,35225,24,35,127,0,0,3344,21,0,18431,6603,65,7037,-4,0,16,0,131772,0
131807,129,-2085,153,-90,33,126,11863,1,1,-214,-48,35227,20,35,127,0,0,3344,0,0,18431,6603,65,7047,-4,0,16,0,131772,0
131817,139,-2091,143,-93,39,126,11862,-2,-2,-214,-48,35225,28,35,127,0,0,3344,10,0,18431,6603,65,7057,-4,0,16,0,131803,0
131827,146,-2085,143,-92,39,126,11862,0,3,-193,-48,35211,19,35,127,0,0,3344,0,0,18431,6603,65,7067,-4,0,16,0,131803,0
131837,132,-2079,137,-91,38,130,11862,-3,-3,-251,-40,35212,17,35,127,0,0,3344,32,0,18431,6603,65,7077,-4,0,16,0,131803,0
