state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
533116,-30,-2084,222,-75,39,96,14794,-12,-3,-399,-120,35351,-68,35,127,0,0,3897,0,0,12794,3518,228,31660,-4,0,-1,0,533147,0
533126,-30,-2081,218,-76,41,94,14795,-8,0,-385,-120,35358,-67,35,127,0,0,3897,0,0,12794,3518,228,31670,-4,0,-1,0,533147,0
533136,-38,-2080,214,-78,38,91,14795,4,3,-368,-144,35366,-75,35,127,0,0,3895,-38,0,12794,3518,228,31680,-4,0,-1,0,533147,0
533146,-38,-2083,220,-85,40,86,14794,8,-1,-385,-120,35359,-69,35,127,0,0,3897,-10,0,12794,3518,228,31690,-4,0,-1,0,533147,0
533156,-32,-2085,219,-77,33,86,14794,2,-2,-364,-136,35369,-77,35,127,0,0,3899,-5,0,12794,3518,228,31700,-4,0,-1,0,533147,0
533166,-27,-2078,224,-76,36,93,14791,-5,5,-417,-160,35373,-68,35,127,0,0,3896,16,0,12794,3518,228,31710,-4,0,-1,0,533147,0
533176,-31,-2079,214,-76,35,81,14791,4,0,-415,-160,35379,-80,35,127,0,0,3893,-32,0,12794,3518,228,31720,-4,0,-1,0,533147,0
533186,-12,-2079,215,-73,37,87,14788,-6,-8,-416,-144,35377,-75,35,127,0,0,3893,-21,0,12794,3518,228,31730,-4,0,-1,0,533147,0
533197,-23,-2079,233,-73,38,99,14783,-20,-10,-440,-144,35371,-80,35,127,0,0,3893,-10,0,12794,3518,228,31741,-4,0,-1,0,533162,0
533207,-22,-2082,232,-75,36,103,14770,-36,-11,-429,-112,35383,-85,35,127,0,0,3891,21,0,12794,3518,228,31751,-4,0,-1,0,533178,0
533217,-24,-2081,224,-80,37,99,14743,-58,-44,-221,-56,35382,-84,35,127,0,0,3891,-43,0,12794,3518,228,31761,-4,0,-1,0,533178,0
533227,-34,-2076,212,-76,43,96,14728,-2,-3,-177,-56,35383,-89,35,127,0,0,3891,-21,0,12794,3518,228,31771,-4,0,-1,0,533209,0
533237,-24,-2084,216,-72,34,105,14729,-10,60,-201,-56,35374,-90,35,127,0,0,3889,-21,0,12794,3518,228,31781,-4,0,-1,0,533209,0
533247,-17,-2078,220,-73,35,109,14730,-4,14,-270,-40,35367,-87,35,127,0,0,3891,32,0,12794,3518,228,31791,-4,0,-1,0,533209,0
533257,-10,-2077,222,-78,36,112,14730,-4,4,-235,-48,35383,-75,35,127,0,0,3886,-54,0,12794,3518,228,31801,-4,0,-1,0,533225,0
533267,-7,-2082,219,-77,42,108,14725,-5,-3,-300,-80,35382,-80,35,127,0,0,3891,21,0,12794,3518,228,31811,-4,0,-1,0,533225,0
533277,6,-2082,224,-76,35,119,14726,-16,-4,-304,-96,35376,-75,35,127,0,0,3891,76,0,12794,3518,228,31821,-4,0,-1,0,533256,0
