state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
534009,9,-2043,221,-31,-3,-35,15689,-7,-2,-175,-32,35487,-24,35,127,0,0,4078,10,0,10590,2739,229,31825,-4,0,36,0,533989,0
534019,21,-2042,221,-41,-5,-31,15692,-3,0,-165,-40,35482,-23,35,127,0,0,4078,0,0,10590,2739,229,31835,-4,0,36,0,534036,0
534029,2,-2044,223,-38,-19,-37,15690,-1,-4,-170,-32,35488,-37,35,127,0,0,4075,-10,0,10590,2739,229,31845,-4,0,36,0,534036,0
534039,34,-2043,224,-38,-10,-36,15689,-12,-3,-185,-32,35482,-30,35,127,0,0,4075,-21,0,10590,2739,229,31855,-4,0,36,0,534036,0
534049,-20,-2040,228,-40,-15,-33,15690,2,1,-191,-32,35478,-24,35,127,0,0,4078,0,0,10590,2739,229,31865,-4,0,36,0,534051,0
534059,2,-2038,223,-34,-7,-37,15689,0,-3,-183,-32,35475,-29,35,127,0,0,4078,21,0,10590,2739,229,31875,-4,0,36,0,534051,0
534069,5,-2040,221,-32,-10,-39,15690,3,5,-183,-32,35480,-58,35,127,0,0,4078,21,0,10590,2739,229,31885,-4,0,36,0,534051,0
534079,7,-2038,230,-34,-13,-40,15690,3,1,-151,0,35487,-75,35,127,0,0,4078,0,0,10590,2739,229,31895,-4,0,36,0,534051,0
534089,-25,-2041,223,-37,-7,-41,15691,-4,3,-108,-16,35494,-40,34,127,0,0,4078,-10,0,10590,2739,229,31905,-4,0,36,0,534098,0
534099,-26,-2046,220,-35,-6,-45,15689,-3,-2,-132,0,35493,-27,34,127,0,0,4080,21,0,10590,2739,229,31915,-4,0,36,0,534098,0
534109,3,-2042,228,-37,-1,-38,15693,10,2,-81,-56,35491,-28,35,127,0,0,4078,-21,0,10590,2739,229,31925,-4,0,36,0,534098,0
534119,1,-2042,230,-37,-10,-38,15690,-6,-4,-131,-32,35486,-40,35,127,0,0,4078,-21,0,10590,2739,229,31935,-4,0,36,0,534098,0
534129,14,-2045,226,-41,-12,-38,15689,-1,-7,-175,-32,35479,-49,35,127,0,0,4078,0,0,10590,2739,229,31945,-4,0,36,0,534098,0
534139,13,-2038,217,-37,-6,-42,15691,8,4,-109,-56,35490,-42,35,127,0,0,4078,-21,0,10590,2739,229,31955,-4,0,36,0,534114,0
534149,-2,-2041,223,-35,-4,-32,15690,-12,-6,-122,-72,35505,-49,34,127,0,0,4080,21,0,10590,2739,229,31965,-4,0,36,0,534145,0
534159,2,-2039,218,-38,-9,-19,15693,1,4,-93,-8,35513,-45,35,127,0,0,4080,0,0,10590,2739,229,31975,-4,0,36,0,534145,0
534169,-16,-2041,223,-31,-12,-24,15691,14,2,-72,-48,35500,-43,34,127,0,0,4078,-32,0,10590,2739,229,31985,-4,0,36,0,534145,0
534179,-22,-2043,217,-24,-15,-26,15689,-10,-2,-159,-32,35487,-38,34,127,0,0,4080,21,0,10590,2739,229,31995,-4,0,36,0,534145,0
534189,32,-2044,226,-32,3,-31,15690,1,3,-157,-32,35498,-38,35,127,0,0,4080,65,0,10590,2739,229,32005,-4,0,36,0,534223,0
534199,24,-2036,229,-35,-2,-25,15695,10,15,-70,-64,35508,-58,35,127,0,0,4080,-10,0,10590,2739,229,32015,-4,0,36,0,534223,0
534209,14,-2041,226,-35,-7,-29,15690,-6,-11,-127,-32,35498,-58,35,127,0,0,4080,21,0,10590,2739,229,32025,-4,0,36,0,534223,0
534219,-5,-2033,231,-33,3,-24,15693,11,0,-88,32,35486,-53,34,127,0,0,4078,-21,0,10590,2739,229,32035,-4,0,36,0,534223,0
534229,-37,-2052,233,-44,-5,-27,15692,-7,5,-88,-48,35474,-48,34,127,0,0,4078,-21,0,10590,2739,229,32045,-4,0,36,0,534239,0
534239,-18,-2037,234,-44,-11,-35,15692,-2,-8,-137,-40,35480,-56,35,127,0,0,4080,10,0,10590,2739,229,32055,-4,0,36,0,534239,0
534249,37,-2044,236,-49,-5,-48,15691,-3,5,-148,-32,35481,-67,35,127,0,0,4078,32,0,10590,2739,229,32065,-4,0,36,0,534239,0
534259,21,-2049,229,-49,0,-45,15693,12,4,-125,-40,35479,-51,34,127,0,0,4078,-32,0,10590,2739,229,32075,-4,0,36,0,534239,0
534269,-6,-2038,225,-49,2,-45,15690,-7,-6,-79,-8,35494,-48,34,127,0,0,4078,-21,0,10590,2739,229,32085,-4,0,36,0,534239,0
534279,14,-2043,215,-44,-5,-48,15692,-3,-4,-79,-24,35512,-43,35,127,0,0,4078,-10,0,10590,2739,229,32095,-4,0,36,0,534254,0
534289,-19,-2039,222,-44,-16,-47,15691,-10,2,-137,-40,35515,-43,34,127,0,0,4078,-10,0,10590,2739,229,32105,-4,0,36,0,534270,0
534299,29,-2034,230,-44,-12,-47,15689,-7,-2,-171,-32,35494,-39,34,127,0,0,4078,10,0,10590,2739,229,32115,-4,0,36,0,534270,0
534309,-19,-2047,237,-48,-19,-47,15692,11,4,-122,-8,35482,-19,35,127,0,0,4078,-10,0,10590,2739,229,32125,-4,0,36,0,534286,0
534319,20,-2040,232,-50,-14,-49,15692,1,0,-132,-32,35491,-43,35,127,0,0,4078,-10,0,10590,2739,229,32135,-4,0,36,0,534286,0
534329,0,-2044,216,-55,-5,-45,15692,9,0,-145,-40,35504,-50,35,127,0,0,4078,-10,0,10590,2739,229,32145,-4,0,36,0,534317,0
534339,15,-2048,221,-54,-9,-48,15691,1,10,-79,-16,35501,-47,35,127,0,0,4078,-21,0,10590,2739,229,32155,-4,0,36,0,534317,0
534349,-6,-2037,217,-51,-8,-47,15688,-26,-13,-125,0,35491,-47,34,127,0,0,4078,0,0,10590,2739,229,32165,-4,0,36,0,534317,0
534359,26,-2048,219,-51,-4,-49,15695,20,3,-102,-48,35502,-42,35,127,0,0,4082,0,0,10590,2739,229,32175,-4,0,36,0,534333,0
534369,42,-2036,228,-52,-4,-40,15691,0,11,-55,-48,35509,-56,35,127,0,0,4080,-10,0,10590,2739,229,32185,-4,0,36,0,534348,0
534379,-2,-2043,221,-53,2,-46,15693,19,-2,-44,16,35507,-60,35,127,0,0,4080,0,0,10590,2739,229,32195,-4,0,36,0,534364,0
534389,18,-2048,227,-54,-11,-49,15688,-27,-3,-121,0,35489,-48,34,127,0,0,4080,43,0,10590,2739,229,32205,-4,0,36,0,534399,0
534399,9,-2047,226,-50,-4,-52,15691,1,-2,-87,-16,35485,-60,34,127,0,0,4078,-10,0,10590,2739,229,32215,-4,0,36,0,534399,0
