state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
295320,-94,-2070,282,-88,36,102,15523,-1,2,-193,-64,35455,-119,34,127,0,0,4042,0,0,993,20,139,1988,1,0,88,15,295308,0
295330,-108,-2065,269,-86,37,121,15523,-9,3,-192,-64,35455,-102,34,127,0,0,4042,0,0,993,20,139,1998,1,0,88,15,295308,0
295340,-106,-2079,270,-80,43,117,15521,-9,-3,-246,-56,35447,-125,34,127,0,0,4042,21,0,993,20,139,2008,1,0,88,15,295308,0
295350,-97,-2075,285,-80,43,114,15519,-1,-4,-212,-56,35454,-128,34,127,0,0,4039,-5,0,993,20,139,2018,1,0,88,15,295355,0
295360,-98,-2078,290,-80,41,118,15515,-6,1,-186,-48,35463,-145,34,127,0,0,4042,-10,0,993,20,139,2028,1,0,88,15,295355,0
295370,-117,-2071,286,-83,34,122,15513,-7,0,-150,-40,35449,-124,34,127,0,0,4042,0,0,993,20,139,2038,1,0,88,15,295371,0
295380,-121,-2077,280,-90,39,126,15505,-25,1,-155,-32,35455,-131,34,127,0,0,4042,43,0,993,20,139,2048,1,0,88,15,295371,0
295390,-131,-2069,271,-83,36,125,15501,-5,-13,-43,-16,35450,-129,34,127,0,0,4042,0,0,993,20,139,2058,1,0,88,15,295371,0
295400,-126,-2064,273,-79,41,122,15501,-2,12,-49,-40,35462,-127,34,127,0,0,4040,-38,0,993,20,139,2068,1,0,88,15,295371,0
295411,-135,-2073,278,-82,35,116,15495,-7,-5,-41,-8,35457,-122,34,127,0,0,4042,-10,0,993,20,139,2079,1,0,88,15,295386,0
295421,-140,-2063,286,-77,36,122,15494,0,0,-55,8,35436,-120,34,127,0,0,4042,10,0,993,20,139,2089,1,0,88,15,295418,0
295431,-116,-2061,279,-78,36,118,15495,-5,14,-9,-8,35448,-137,34,127,0,0,4040,-43,0,993,20,139,2099,1,0,88,15,295418,0
295441,-147,-2068,285,-82,42,112,15491,-5,-13,-52,8,35451,-147,34,127,0,0,4040,0,0,993,20,139,2109,1,0,88,15,295418,0
295451,-107,-2075,285,-83,30,111,15491,-9,5,-14,-32,35451,-132,34,127,0,0,4042,0,0,993,20,139,2119,1,0,88,15,295418,0
295461,-123,-2072,285,-82,38,115,15492,0,14,7,0,35445,-130,34,127,0,0,4038,-43,0,993,20,139,2129,1,0,88,15,295433,0
295471,-110,-2067,283,-84,37,110,15487,-14,-5,-57,-16,35447,-141,34,127,0,0,4038,-10,0,993,20,139,2139,1,0,88,15,295465,0
295481,-116,-2066,279,-83,35,107,15488,-15,-4,-93,-40,35455,-146,34,127,0,0,4038,-10,0,993,20,139,2149,1,0,88,15,295465,0
295491,-126,-2059,271,-85,36,109,15487,9,6,-62,-48,35446,-140,34,127,0,0,4040,-10,0,993,20,139,2159,1,0,88,15,295465,0
295501,-121,-2064,277,-79,43,111,15487,1,2,-77,-32,35439,-122,34,127,0,0,4040,0,0,993,20,139,2169,1,0,88,15,295480,0
295511,-137,-2065,278,-77,45,105,15486,8,7,-54,-80,35429,-120,34,127,0,0,4038,-32,0,993,20,139,2179,1,0,88,15,295543,0
295521,-136,-2064,290,-80,40,99,15484,3,3,-102,-32,35434,-142,34,127,0,0,4038,0,0,993,20,139,2189,1,0,88,15,295543,0
295531,-118,-2068,288,-84,34,101,15485,6,3,-122,-32,35440,-142,34,127,0,0,4036,-21,0,993,20,139,2199,1,0,88,15,295558,0
295541,-130,-2069,285,-85,36,97,15483,3,4,-135,-32,35429,-143,34,127,0,0,4038,-10,0,993,20,139,2209,1,0,88,15,295558,0
295551,-133,-2075,283,-79,39,96,15482,-7,-4,-162,-48,35427,-133,34,127,0,0,4036,10,0,993,20,139,2219,1,0,88,15,295558,0
295561,-135,-2067,287,-82,40,88,15483,-5,3,-152,-48,35434,-142,34,127,0,0,4036,-21,0,993,20,139,2229,1,0,88,15,295558,0
295571,-134,-2064,279,-80,39,82,15482,1,2,-150,-48,35446,-133,34,127,0,0,4036,-21,0,993,20,139,2239,1,0,88,15,295558,0
295581,-116,-2067,282,-79,37,74,15481,1,-6,-179,-80,35438,-129,34,127,0,0,4034,-10,0,993,20,139,2249,1,0,88,15,295574,0
295591,-115,-2070,270,-80,43,82,15477,-12,-3,-248,-48,35425,-126,34,127,0,0,4034,21,0,993,20,139,2259,1,0,88,15,295574,0
295601,-113,-2073,287,-79,35,85,15474,2,4,-235,-56,35426,-126,34,127,0,0,4034,21,0,993,20,139,2269,1,0,88,15,295574,0
295611,-110,-2066,292,-84,34,87,15472,-22,8,-263,-64,35457,-132,34,127,0,0,4031,10,0,993,20,139,2279,1,0,88,15,295590,0
295621,-116,-2073,286,-79,29,83,15471,4,-2,-261,-72,35465,-125,34,127,0,0,4029,-21,0,993,20,139,2289,1,0,88,15,295605,0
295631,-104,-2065,275,-87,38,84,15471,-4,-3,-309,-88,35465,-119,34,127,0,0,4029,-10,0,993,20,139,2299,1,0,88,15,295605,0
295641,-104,-2076,279,-80,39,87,15466,-3,-10,-349,-136,35440,-122,34,127,0,0,4027,10,0,993,20,139,2309,1,0,88,15,295621,0
295651,-112,-2071,284,-82,41,92,15459,-18,-6,-341,-112,35438,-137,34,127,0,0,4025,-21,0,993,20,139,2319,1,0,88,15,295621,0
295662,-113,-2072,281,-78,26,95,15445,-36,-17,-343,-88,35448,-139,34,127,0,0,4025,0,0,993,20,139,2330,1,0,88,15,295652,0
295672,-109,-2071,280,-77,38,93,15422,-45,-31,-172,-40,35454,-116,34,127,0,0,4025,0,0,993,20,139,2340,1,0,88,15,295652,0
295682,-108,-2061,273,-75,36,98,15419,20,24,-123,-56,35454,-109,34,127,0,0,4023,-32,0,993,20,139,2350,1,0,88,15,295668,0
295692,-98,-2062,280,-78,39,99,15418,10,44,-141,-48,35445,-100,34,127,0,0,4023,-21,0,993,20,139,2360,1,0,88,15,295668,0
295702,-117,-2072,285,-77,30,111,15414,-4,-1,-178,-48,35443,-96,34,127,0,0,4026,27,0,993,20,139,2370,1,0,88,15,295668,0
295712,-99,-2075,295,-77,45,118,15414,-16,2,-175,-24,35444,-85,34,127,0,0,4025,49,0,993,20,139,2380,1,0,88,15,295683,0
