state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
555444,69,-2029,319,-18,-16,-95,14291,-5,0,234,80,35468,-65,34,127,0,0,3817,5,0,1918,717,237,14540,-4,0,6,0,555458,0
555454,89,-2033,321,-37,-20,-100,14291,-2,-2,228,56,35469,-66,35,127,0,0,3822,32,0,1918,717,237,14550,-4,0,6,0,555458,0
555464,79,-2034,312,-44,-20,-92,14290,-7,1,236,56,35473,-71,34,127,0,0,3815,0,0,1918,717,237,14560,-4,0,6,0,555458,0
555474,79,-2039,300,-59,-18,-97,14290,2,-5,206,32,35469,-74,34,127,0,0,3816,-49,0,1918,717,237,14570,-4,0,6,0,555458,0
555484,96,-2041,308,-64,-20,-94,14286,-9,-4,150,32,35473,-90,35,127,0,0,3813,-54,0,1918,717,237,14580,-4,0,6,0,555458,0
555494,110,-2035,309,-76,-15,-81,14283,-7,-5,106,24,35478,-89,34,127,0,0,3817,16,0,1918,717,237,14590,-4,0,6,0,555473,0
555504,88,-2035,308,-83,-13,-70,14281,-3,5,122,8,35479,-81,35,127,0,0,3815,5,0,1918,717,237,14600,-4,0,6,0,555489,0
555514,109,-2027,307,-99,-15,-56,14275,-12,-3,109,40,35477,-76,34,127,0,0,3811,10,0,1918,717,237,14610,-4,0,6,0,555489,0
555524,131,-2031,306,-109,-9,-45,14270,-19,-8,52,24,35474,-71,34,127,0,0,3812,16,0,1918,717,237,14620,-4,0,6,0,555489,0
555534,115,-2033,292,-112,-14,-19,14269,10,5,120,48,35488,-85,35,127,0,0,3811,5,0,1918,717,237,14630,-4,0,6,0,555520,0
555544,141,-2025,282,-114,-9,-12,14269,-2,14,143,24,35492,-91,35,127,0,0,3808,-27,0,1918,717,237,14640,-4,0,6,0,555520,0
555554,31,-2026,274,-106,-15,13,14271,12,4,207,48,35480,-94,34,127,0,0,3811,-71,0,1918,717,237,14650,-4,0,6,0,555520,0
555564,82,-2026,270,-102,-10,10,14267,-11,-4,134,48,35483,-110,35,127,0,0,3817,43,0,1918,717,237,14660,-4,0,6,0,555551,0
555574,136,-2039,268,-103,7,23,14270,1,4,132,48,35487,-99,34,127,0,0,3817,76,0,1918,717,237,14670,-4,0,6,0,555551,0
555584,67,-2039,273,-98,6,30,14272,7,6,233,48,35494,-103,35,127,0,0,3814,5,0,1918,717,237,14680,-4,0,6,0,555551,0
555594,65,-2034,280,-95,-6,30,14270,-1,-14,227,72,35480,-90,35,127,0,0,3813,0,0,1918,717,237,14690,-4,0,6,0,555582,0
555604,85,-2034,272,-98,1,36,14276,15,8,283,88,35469,-88,35,127,0,0,3818,-16,0,1918,717,237,14700,-4,0,6,0,555582,0
555614,46,-2026,268,-93,-12,52,14280,3,12,303,96,35476,-98,35,127,0,0,3814,-10,0,1918,717,237,14710,-4,0,6,0,555582,0
555624,58,-2028,267,-97,-21,59,14281,3,-11,339,120,35494,-96,35,127,0,0,3823,43,0,1918,717,237,14720,-4,0,6,0,555614,0
555634,56,-2039,248,-89,-24,42,14292,22,16,344,128,35493,-91,35,127,0,0,3825,65,0,1918,717,237,14730,-4,0,6,0,555614,0
555644,38,-2038,242,-70,-15,32,14308,25,26,325,112,35481,-82,34,127,0,0,3827,38,0,1918,717,237,14740,-4,0,6,0,555614,0
555654,31,-2037,242,-50,-7,6,14315,9,-11,389,128,35468,-81,35,127,0,0,3829,38,0,1918,717,237,14750,-4,0,6,0,555645,0
555664,20,-2031,241,-43,-8,-10,14318,8,-18,414,96,35475,-82,34,127,0,0,3830,10,0,1918,717,237,14760,-4,0,6,0,555645,0
555674,21,-2034,252,-31,-6,-23,14317,7,-11,427,120,35478,-67,35,127,0,0,3829,0,0,1918,717,237,14770,-4,0,6,0,555661,0
555684,29,-2032,258,-22,-4,-39,14318,10,-1,449,136,35464,-61,34,127,0,0,3832,32,0,1918,717,237,14780,-4,0,6,0,555661,0
555694,46,-2036,255,-11,-10,-56,14321,0,7,428,128,35465,-75,34,127,0,0,3828,-27,0,1918,717,237,14790,-4,0,6,0,555661,0
555704,42,-2040,248,-10,-13,-60,14321,-3,-6,447,112,35485,-80,35,127,0,0,3829,-32,0,1918,717,237,14800,-4,0,6,0,555739,0
555714,36,-2038,239,10,-6,-67,14322,9,-4,437,128,35498,-74,34,127,0,0,3832,10,0,1918,717,237,14810,-4,0,6,0,555739,0
555724,59,-2028,241,18,-15,-68,14321,-11,2,418,112,35479,-57,34,127,0,0,3829,10,0,1918,717,237,14820,-4,0,6,0,555739,0
555734,46,-2033,257,34,-3,-71,14321,7,-2,426,104,35459,-63,35,127,0,0,3833,5,0,1918,717,237,14830,-4,0,6,0,555739,0
555744,59,-2045,282,39,-16,-65,14322,0,2,464,136,35457,-55,34,127,0,0,3828,-5,0,1918,717,237,14840,-4,0,6,0,555754,0
555754,62,-2036,286,39,-7,-72,14322,1,-1,407,128,35465,-66,35,127,0,0,3828,5,0,1918,717,237,14850,-4,0,6,0,555754,0
555764,76,-2037,288,35,-9,-66,14322,-5,1,399,104,35469,-69,34,127,0,0,3829,0,0,1918,717,237,14860,-4,0,6,0,555754,0
555774,36,-2036,294,44,-15,-76,14321,-5,2,408,128,35462,-64,34,127,0,0,3828,5,0,1918,717,237,14870,-4,0,6,0,555754,0
555784,47,-2032,296,36,-13,-85,14321,-12,1,380,88,35463,-73,35,127,0,0,3830,0,0,1918,717,237,14880,-4,0,6,0,555754,0
555794,45,-2033,308,26,-17,-98,14322,8,2,391,112,35484,-69,35,127,0,0,3833,60,0,1918,717,237,14890,-4,0,6,0,555770,0
555804,43,-2027,316,14,-17,-104,14322,-1,-4,385,112,35497,-66,35,127,0,0,3829,43,0,1918,717,237,14900,-4,0,6,0,555786,0
555814,73,-2029,346,-13,-15,-128,14320,-15,-6,325,88,35497,-51,34,127,0,0,3827,27,0,1918,717,237,14910,-4,0,6,0,555786,0
555824,65,-2029,350,-26,-16,-141,14320,-2,-2,286,88,35486,-52,34,127,0,0,3824,-10,0,1918,717,237,14920,-4,0,6,0,555801,0
555834,60,-2037,327,-44,1,-169,14318,0,-2,246,48,35487,-72,34,127,0,0,3819,-43,0,1918,717,237,14930,-4,0,6,0,555832,0
555844,67,-2037,310,-62,-7,-155,14310,-22,-19,77,16,35490,-61,35,127,0,0,3818,-16,0,1918,717,237,14940,-4,0,6,0,555832,0
555854,92,-2033,307,-75,-5,-148,14308,6,-3,10,-8,35481,-52,34,127,0,0,3816,-32,0,1918,717,237,14950,-4,0,6,0,555848,0
555864,96,-2039,314,-80,-10,-139,14303,-20,11,-72,-40,35472,-61,34,127,0,0,3815,5,0,1918,717,237,14960,-4,0,6,0,555848,0
555874,90,-2031,291,-92,-8,-126,14297,-16,-13,-154,-56,35478,-64,35,127,0,0,3806,-27,0,1918,717,237,14970,-4,0,6,0,555848,0
555884,116,-2034,275,-92,-4,-117,14284,-35,-15,-171,-48,35494,-71,34,127,0,0,3807,-16,0,1918,717,237,14980,-4,0,6,0,555848,0
555894,138,-2028,278,-95,-9,-90,14264,-43,-23,-58,-56,35497,-59,34,127,0,0,3806,-16,0,1918,717,237,14990,-4,0,6,0,555879,0
555904,126,-2035,285,-96,-14,-69,14251,-32,6,-144,16,35488,-83,35,127,0,0,3801,38,0,1918,717,237,15000,-4,0,6,0,555879,0
555914,167,-2032,286,-96,-12,-44,14254,-5,39,-198,-40,35481,-93,34,127,0,0,3800,-32,0,1918,717,237,15010,-4,0,6,0,555879,0
555924,133,-2035,284,-94,-5,-24,14252,5,14,-143,-8,35492,-87,35,127,0,0,3799,-54,0,1918,717,237,15020,-4,0,6,0,555911,0
555934,130,-2031,273,-94,1,-2,14252,-3,-8,-145,-32,35490,-86,34,127,0,0,3806,5,0,1918,717,237,15030,-4,0,6,0,555911,0
555944,97,-2035,257,-88,3,22,14253,-5,1,-164,-56,35480,-74,34,127,0,0,3807,38,0,1918,717,237,15040,-4,0,6,0,555926,0
555954,128,-2030,255,-77,11,42,14254,13,10,-87,-16,35470,-96,35,127,0,0,3808,49,0,1918,717,237,15050,-4,0,6,0,555926,0
555964,119,-2031,264,-76,12,63,14252,-11,0,-70,-32,35480,-108,34,127,0,0,3806,43,0,1918,717,237,15060,-4,0,6,0,555973,0
555974,106,-2034,267,-62,11,82,14254,5,-3,-33,-16,35495,-106,35,127,0,0,3805,-5,0,1918,717,237,15070,-4,0,6,0,555989,0
555984,103,-2034,278,-63,-9,115,14257,14,6,39,8,35482,-94,34,127,0,0,3814,38,0,1918,717,237,15080,-4,0,6,0,555989,0
555994,149,-2038,285,-67,-28,154,14262,20,14,244,112,35470,-101,34,127,0,0,3818,87,0,1918,717,237,15090,-4,0,6,0,555989,0
556004,55,-2031,260,-66,-31,177,14280,38,32,338,120,35473,-106,35,127,0,0,3826,60,0,1918,717,237,15100,-4,0,6,0,555989,0
556014,16,-2039,259,-51,-11,163,14310,85,44,341,136,35480,-91,34,127,0,0,3833,60,0,1918,717,237,15110,-4,0,6,0,555989,0
556024,75,-2038,278,-47,-11,149,14330,19,4,434,184,35480,-66,34,127,0,0,3838,82,0,1918,717,237,15120,-4,0,6,0,555989,0
556034,31,-2037,278,-50,-18,136,14339,19,-54,577,216,35494,-66,34,127,0,0,3843,82,0,1918,717,237,15130,-4,0,6,0,556020,0
556044,12,-2034,277,-46,-22,117,14375,100,33,411,168,35506,-56,35,127,0,0,3845,10,0,1918,717,237,15140,-4,0,6,0,556020,0
556054,29,-2038,272,-50,-20,81,14412,64,51,374,136,35513,-46,34,127,0,0,3856,49,0,1918,717,237,15150,-4,0,6,0,556020,0
556064,-34,-2036,261,-48,-10,61,14446,69,-10,320,120,35502,-23,34,127,0,0,3854,27,0,1918,717,237,15160,-4,0,6,0,556035,0
556074,-3,-2038,264,-31,0,17,14447,-4,-65,472,160,35492,-15,35,127,0,0,3858,10,0,1918,717,237,15170,-4,0,6,0,556114,0
556084,6,-2037,271,-37,3,8,14448,-10,-61,458,184,35494,-24,34,127,0,0,3860,71,0,1918,717,237,15180,-4,0,6,0,556114,0
556094,28,-2035,277,-31,-7,-17,14455,20,10,547,168,35494,-27,35,127,0,0,3863,5,0,1918,717,237,15190,-4,0,6,0,556114,0
556104,29,-2037,284,-29,-21,-23,14458,-2,1,545,184,35501,-12,35,127,0,0,3862,32,0,1918,717,237,15200,-4,0,6,0,556114,0
556114,34,-2038,280,-24,-7,-31,14459,0,-13,549,160,35500,1,35,127,0,0,3863,38,0,1918,717,237,15210,-4,0,6,0,556114,0
556124,30,-2037,264,-24,-10,-48,14462,3,0,568,176,35498,-17,35,127,0,0,3862,27,0,1918,717,237,15220,-4,0,6,0,556129,0
556134,50,-2032,250,-10,-6,-59,14461,-2,2,515,160,35498,-30,34,127,0,0,3863,54,0,1918,717,237,15230,-4,0,6,0,556129,0
556144,17,-2036,241,2,-8,-69,14463,5,4,532,152,35487,-19,35,127,0,0,3863,16,0,1918,717,237,15240,-4,0,6,0,556129,0
556154,48,-2033,255,11,-9,-76,14463,6,0,567,200,35485,-24,34,127,0,0,3858,-10,0,1918,717,237,15250,-4,0,6,0,556129,0
556164,70,-2031,276,13,-2,-95,14466,4,3,507,144,35488,-30,34,127,0,0,3860,-43,0,1918,717,237,15260,-4,0,6,0,556160,0
556174,27,-2036,306,11,-22,-95,14466,0,-5,530,168,35501,-44,35,127,0,0,3859,-38,0,1918,717,237,15270,-4,0,6,0,556160,0
556184,41,-2032,306,8,-26,-110,14468,0,-5,493,120,35511,-32,34,127,0,0,3861,-5,0,1918,717,237,15280,-4,0,6,0,556160,0
556194,17,-2045,313,-7,-28,-117,14468,2,0,433,128,35492,-20,34,127,0,0,3861,21,0,1918,717,237,15290,-4,0,6,0,556160,0
556204,16,-2035,307,-14,-26,-126,14466,5,1,453,120,35492,-34,35,127,0,0,3858,-32,0,1918,717,237,15300,-4,0,6,0,556192,0
