state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
433962,188,-2055,220,-75,45,148,5831,1,-2,-188,-56,35376,-74,34,127,0,0,2077,32,0,22384,10685,187,38770,-4,0,252,16,433945,0
433972,176,-2068,218,-72,47,142,5831,-6,-4,-133,-32,35370,-84,34,127,0,0,2076,0,0,22384,10685,187,38780,-4,0,252,16,433945,0
433982,177,-2067,227,-73,47,134,5830,-5,4,-161,-48,35380,-87,34,127,0,0,2077,10,0,22384,10685,187,38790,-4,0,252,16,433961,0
433992,189,-2067,235,-68,45,126,5833,1,1,-130,-40,35383,-91,35,127,0,0,2073,-5,0,22384,10685,187,38800,-4,0,252,16,433961,0
434002,196,-2066,237,-72,41,121,5832,1,0,-159,-32,35380,-82,34,127,0,0,2079,38,0,22384,10685,187,38810,-4,0,252,16,433976,0
434012,215,-2069,237,-78,38,126,5831,-6,3,-97,-32,35372,-73,34,127,0,0,2076,5,0,22384,10685,187,38820,-4,0,252,16,433992,0
434022,187,-2061,241,-77,43,120,5832,4,-4,-144,-32,35366,-77,34,127,0,0,2076,0,0,22384,10685,187,38830,-4,0,252,16,433992,0
434032,205,-2065,227,-82,35,125,5831,0,1,-154,-32,35376,-76,34,127,0,0,2076,0,0,22384,10685,187,38840,-4,0,252,16,434007,0
434042,218,-2060,235,-83,37,124,5831,4,2,-131,8,35388,-62,34,127,0,0,2074,21,0,22384,10685,187,38850,-4,0,252,16,434007,0
434052,223,-2061,235,-85,36,122,5833,0,-1,-109,-40,35384,-58,34,127,0,0,2083,32,0,22384,10685,187,38860,-4,0,252,16,434039,0
434062,212,-2064,224,-82,30,128,5832,-4,2,-55,-16,35380,-50,34,127,0,0,2075,-16,0,22384,10685,187,38870,-4,0,252,16,434039,0
434072,218,-2070,212,-87,33,128,5830,-11,-3,-164,-32,35381,-55,35,127,0,0,2076,0,0,22384,10685,187,38880,-4,0,252,16,434039,0
434082,201,-2058,231,-78,40,122,5832,7,1,-128,-32,35383,-66,35,127,0,0,2076,-5,0,22384,10685,187,38890,-4,0,252,16,434070,0
434092,204,-2054,229,-78,40,118,5832,0,4,-131,-16,35377,-54,35,127,0,0,2078,21,0,22384,10685,187,38900,-4,0,252,16,434086,0
434102,224,-2063,230,-84,33,111,5833,1,0,-53,8,35370,-82,34,127,0,0,2074,-16,0,22384,10685,187,38910,-4,0,252,16,434086,0
434112,208,-2059,237,-85,31,116,5832,2,0,-106,-32,35379,-77,34,127,0,0,2079,10,0,22384,10685,187,38920,-4,0,252,16,434101,0
434122,195,-2083,225,-83,29,126,5833,-3,1,-63,-40,35379,-77,34,127,0,0,2083,32,0,22384,10685,187,38930,-4,0,252,16,434101,0
434132,199,-2089,219,-84,31,118,5832,-1,8,-36,-32,35383,-72,34,127,0,0,2076,-27,0,22384,10685,187,38940,-4,0,252,16,434101,0
434142,199,-2079,220,-87,42,124,5832,4,1,-85,8,35373,-68,34,127,0,0,2080,27,0,22384,10685,187,38950,-4,0,252,16,434117,0
434152,257,-2070,222,-79,36,124,5834,-4,-2,-56,0,35380,-56,34,127,0,0,2074,-10,0,22384,10685,187,38960,-4,0,252,16,434132,0
434163,211,-2060,243,-88,34,119,5834,12,-5,-98,-56,35379,-64,34,127,0,0,2076,-21,0,22384,10685,187,38971,-4,0,252,16,434132,0
434173,172,-2082,227,-79,32,128,5834,17,0,-50,0,35386,-50,34,127,0,0,2076,-54,0,22384,10685,187,38981,-4,0,252,16,434148,0
434183,196,-2054,233,-78,39,116,5832,-2,-4,-116,-32,35385,-60,34,127,0,0,2076,-21,0,22384,10685,187,38991,-4,0,252,16,434164,0
434193,208,-2076,220,-84,39,107,5833,8,0,-112,-56,35380,-77,34,127,0,0,2080,43,0,22384,10685,187,39001,-4,0,252,16,434164,0
434203,181,-2057,238,-85,38,114,5833,-7,4,-46,24,35392,-84,34,127,0,0,2080,32,0,22384,10685,187,39011,-4,0,252,16,434179,0
434213,196,-2052,238,-89,30,111,5833,-3,2,-24,-48,35386,-80,35,127,0,0,2080,-10,0,22384,10685,187,39021,-4,0,252,16,434179,0
434223,168,-2077,228,-84,30,111,5833,0,-4,-74,-8,35384,-72,34,127,0,0,2076,-10,0,22384,10685,187,39031,-4,0,252,16,434211,0
434233,184,-2063,230,-91,41,109,5833,7,3,-102,-48,35384,-84,34,127,0,0,2078,-10,0,22384,10685,187,39041,-4,0,252,16,434211,0
434243,188,-2073,231,-88,35,109,5832,3,1,-92,24,35382,-90,35,127,0,0,2076,-10,0,22384,10685,187,39051,-4,0,252,16,434211,0
434253,194,-2054,227,-89,40,100,5831,-6,1,-144,24,35395,-85,34,127,0,0,2078,21,0,22384,10685,187,39061,-4,0,252,16,434226,0
434263,206,-2056,240,-89,37,100,5833,0,0,-71,-56,35384,-66,34,127,0,0,2076,-21,0,22384,10685,187,39071,-4,0,252,16,434226,0
434273,235,-2073,219,-92,37,110,5832,7,1,-128,-48,35386,-72,34,127,0,0,2080,32,0,22384,10685,187,39081,-4,0,252,16,434242,0
434283,185,-2063,233,-94,32,115,5833,0,2,-105,-40,35389,-72,34,127,0,0,2076,0,0,22384,10685,187,39091,-4,0,252,16,434257,0
434293,220,-2073,223,-93,37,110,5832,1,-1,-163,-32,35388,-72,35,127,0,0,2076,0,0,22384,10685,187,39101,-4,0,252,16,434273,0
434303,203,-2071,219,-96,34,112,5833,12,1,-122,-32,35387,-51,34,127,0,0,2076,-21,0,22384,10685,187,39111,-4,0,252,16,434289,0
434313,238,-2070,211,-94,32,120,5832,0,-1,-118,-40,35373,-48,34,127,0,0,2078,0,0,22384,10685,187,39121,-4,0,252,16,434289,0
434323,195,-2071,226,-93,32,124,5832,4,5,-86,-48,35375,-60,34,127,0,0,2076,-10,0,22384,10685,187,39131,-4,0,252,16,434289,0
434333,215,-2076,223,-92,27,124,5833,9,-1,-124,-32,35391,-79,35,127,0,0,2076,-21,0,22384,10685,187,39141,-4,0,252,16,434304,0
434343,213,-2080,219,-94,33,126,5830,-6,1,-165,-32,35390,-59,34,127,0,0,2076,0,0,22384,10685,187,39151,-4,0,252,16,434304,0
434353,203,-2060,224,-93,35,121,5831,-6,3,-163,-32,35388,-58,34,127,0,0,2076,0,0,22384,10685,187,39161,-4,0,252,16,434351,0
434363,229,-2075,217,-87,34,121,5831,-1,3,-162,-32,35380,-61,34,127,0,0,2076,0,0,22384,10685,187,39171,-4,0,252,16,434351,0
434373,206,-2067,226,-90,39,122,5832,-5,-4,-149,-32,35378,-62,34,127,0,0,2076,0,0,22384,10685,187,39181,-4,0,252,16,434351,0
434383,200,-2061,236,-86,38,123,5832,2,-2,-163,-32,35382,-62,34,127,0,0,2080,43,0,22384,10685,187,39191,-4,0,252,16,434351,0
434393,252,-2075,226,-90,35,123,5831,-7,-1,-119,-40,35365,-43,34,127,0,0,2076,0,0,22384,10685,187,39201,-4,0,252,16,434382,0
434403,237,-2080,215,-93,34,124,5831,-2,1,-139,0,35374,-53,34,127,0,0,2076,10,0,22384,10685,187,39211,-4,0,252,16,434398,0
434413,187,-2057,224,-88,33,126,5832,-6,-1,-150,-32,35380,-54,34,127,0,0,2076,0,0,22384,10685,187,39221,-4,0,252,16,434398,0
434423,193,-2063,225,-90,32,118,5832,-2,-2,-151,-32,35377,-54,34,127,0,0,2076,0,0,22384,10685,187,39231,-4,0,252,16,434398,0
434434,202,-2074,218,-86,37,120,5831,2,1,-166,-16,35365,-50,35,127,0,0,2075,10,0,22384,10685,187,39242,-4,0,252,16,434398,0
434444,235,-2065,226,-93,33,119,5833,11,-4,-124,-32,35374,-64,34,127,0,0,2076,-10,0,22384,10685,187,39252,-4,0,252,16,434476,0
434454,146,-2053,236,-92,36,120,5832,-1,-1,-94,-32,35385,-80,34,127,0,0,2076,-43,0,22384,10685,187,39262,-4,0,252,16,434476,0
434464,164,-2059,240,-99,27,111,5831,-1,1,-154,-32,35386,-79,34,127,0,0,2073,-32,0,22384,10685,187,39272,-4,0,252,16,434476,0
434474,190,-2070,229,-96,38,93,5831,-5,0,-167,-32,35369,-81,34,127,0,0,2076,16,0,22384,10685,187,39282,-4,0,252,16,434507,0
434484,191,-2061,224,-103,30,91,5831,-9,0,-145,-32,35355,-73,34,127,0,0,2076,0,0,22384,10685,187,39292,-4,0,252,16,434507,0
434494,184,-2064,211,-109,23,72,5832,3,2,-162,-56,35354,-72,35,127,0,0,2077,27,0,22384,10685,187,39302,-4,0,252,16,434507,0
