state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
434300,234,-2036,209,-41,-3,-56,7240,1,0,-424,-112,35543,-74,34,127,0,0,2376,-32,0,9019,-336,188,38452,-4,0,104,12,434318,0
434310,204,-2033,229,-39,-6,-54,7238,0,-4,-418,-112,35539,-80,34,127,0,0,2382,21,0,9019,-336,188,38462,-4,0,104,12,434318,0
434320,200,-2037,225,-44,-9,-51,7240,-3,-2,-407,-112,35543,-76,34,127,0,0,2382,0,0,9019,-336,188,38472,-4,0,104,12,434318,0
434330,228,-2028,221,-44,-2,-54,7238,-9,-4,-424,-112,35553,-92,34,127,0,0,2379,38,0,9019,-336,188,38482,-4,0,104,12,434318,0
434340,219,-2030,214,-45,-4,-52,7238,-8,-4,-441,-112,35552,-79,34,127,0,0,2373,-49,0,9019,-336,188,38492,-4,0,104,12,434318,0
434350,199,-2024,227,-43,-4,-47,7238,5,-1,-466,-128,35547,-75,34,127,0,0,2384,27,0,9019,-336,188,38502,-4,0,104,12,434318,0
434360,197,-2038,211,-45,-8,-41,7238,4,3,-402,-112,35548,-82,34,127,0,0,2376,-21,0,9019,-336,188,38512,-4,0,104,12,434397,0
434370,191,-2037,216,-37,-5,-49,7237,-5,0,-435,-104,35560,-100,34,127,0,0,2379,5,0,9019,-336,188,38522,-4,0,104,12,434397,0
434380,215,-2038,210,-38,-6,-45,7237,-1,-5,-415,-112,35556,-101,34,127,0,0,2376,-43,0,9019,-336,188,38532,-4,0,104,12,434397,0
434390,208,-2034,223,-40,-7,-43,7236,2,0,-414,-104,35544,-79,34,127,0,0,2379,-10,0,9019,-336,188,38542,-4,0,104,12,434397,0
434400,209,-2031,225,-30,-5,-45,7238,3,-1,-398,-104,35536,-87,34,127,0,0,2379,0,0,9019,-336,188,38552,-4,0,104,12,434397,0
434410,225,-2029,219,-40,-8,-46,7236,1,0,-444,-88,35540,-88,34,127,0,0,2378,38,0,9019,-336,188,38562,-4,0,104,12,434412,0
