state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
77483,1,-2036,278,-83,-8,-28,14399,13,2,23,40,35685,7,33,127,0,0,3834,-10,0,2984,319,29,3227,-4,0,154,0,880640,0
77493,28,-2037,279,-91,-7,-48,14396,-12,-1,-17,8,35689,-8,33,127,0,0,3834,21,0,2984,319,29,3237,-4,0,154,0,77483,0
77503,54,-2044,277,-90,-13,-49,14400,10,6,-9,-40,35679,-30,33,127,0,0,3836,-10,0,2984,319,29,3247,-4,0,154,0,77483,0
77513,100,-2045,263,-88,-6,-44,14397,1,1,17,0,35667,-50,33,127,0,0,3834,21,0,2984,319,29,3257,-4,0,154,0,77514,0
77523,78,-2050,267,-81,-7,-51,14399,5,0,15,0,35663,-26,33,127,0,0,3832,-43,0,2984,319,29,3267,-4,0,154,0,77514,0
77533,37,-2042,248,-73,-9,-47,14396,-3,-3,-27,-32,35658,-27,33,127,0,0,3832,-10,0,2984,319,29,3277,-4,0,154,0,77530,0
77543,88,-2042,243,-58,-12,-41,14397,-6,-3,-74,-32,35657,-30,33,127,0,0,3836,32,0,2984,319,29,3287,-4,0,154,0,77530,0
77553,69,-2032,251,-54,-14,-30,14399,17,1,41,0,35662,-45,33,127,0,0,3836,0,0,2984,319,29,3297,-4,0,154,0,77561,0
77563,70,-2028,257,-52,-6,-29,14399,-7,-1,56,40,35665,-29,33,127,0,0,3832,-54,0,2984,319,29,3307,-4,0,154,0,77561,0
77573,33,-2033,269,-45,-16,-29,14394,-12,-21,-34,8,35660,-27,33,127,0,0,3834,10,0,2984,319,29,3317,-4,0,154,0,77561,0
77583,51,-2039,269,-41,-11,-24,14399,14,13,40,24,35658,-40,33,127,0,0,3836,21,0,2984,319,29,3327,-4,0,154,0,77592,0
77593,59,-2034,280,-43,-3,-13,14401,-7,16,9,-8,35664,-27,33,127,0,0,3836,-10,0,2984,319,29,3337,-4,0,154,0,77592,0
77603,3,-2035,273,-46,-7,-20,14400,14,-15,90,-8,35670,-28,33,127,0,0,3836,-10,0,2984,319,29,3347,-4,0,154,0,77592,0
77613,26,-2035,281,-47,-5,-18,14401,1,6,83,24,35672,-26,33,127,0,0,3836,-32,0,2984,319,29,3357,-4,0,154,0,77623,0
77623,19,-2049,278,-48,-7,-26,14400,5,-2,97,56,35667,-28,33,127,0,0,3836,0,0,2984,319,29,3367,-4,0,154,0,77623,0
77633,32,-2044,282,-56,-11,-34,14402,-4,5,54,104,35668,-29,33,127,0,0,3836,10,0,2984,319,29,3377,-4,0,154,0,77623,0
77643,56,-2038,273,-56,-6,-46,14400,-8,-5,30,-16,35667,-26,33,127,0,0,3840,43,0,2984,319,29,3387,-4,0,154,0,77623,0
77653,67,-2027,280,-67,-11,-45,14406,23,7,154,32,35662,-26,33,127,0,0,3836,-32,0,2984,319,29,3397,-4,0,154,0,77655,0
77663,68,-2043,275,-73,-11,-53,14404,-14,-2,45,-32,35666,-29,33,127,0,0,3836,-10,0,2984,319,29,3407,-4,0,154,0,77655,0
77673,49,-2035,278,-66,-15,-55,14403,3,-18,70,0,35667,-34,33,127,0,0,3838,10,0,2984,319,29,3417,-4,0,154,0,77655,0
77683,47,-2037,286,-73,-7,-52,14407,8,14,135,80,35669,-47,33,127,0,0,3836,-43,0,2984,319,29,3427,-4,0,154,0,77670,0
77693,36,-2041,277,-77,-10,-56,14406,-7,-5,73,32,35667,-41,34,127,0,0,3836,0,0,2984,319,29,3437,-4,0,154,0,77702,0
77703,61,-2036,268,-77,-16,-54,14405,-12,-8,-7,24,35665,-40,33,127,0,0,3836,10,0,2984,319,29,3447,-4,0,154,0,77702,0
77713,58,-2020,254,-72,-17,-60,14405,2,7,29,16,35668,-39,33,127,0,0,3836,21,0,2984,319,29,3457,-4,0,154,0,77702,0
77723,37,-2021,247,-69,-17,-56,14407,3,5,58,48,35670,-42,33,127,0,0,3836,0,0,2984,319,29,3467,-4,0,154,0,77733,0
77733,39,-2013,249,-62,-11,-59,14404,-5,-4,43,16,35667,-23,33,127,0,0,3836,0,0,2984,319,29,3477,-4,0,154,0,77733,0
77743,50,-2019,258,-57,-8,-57,14404,-5,-3,21,24,35662,-24,33,127,0,0,3838,32,0,2984,319,29,3487,-4,0,154,0,77748,0
77753,88,-2009,275,-54,-6,-59,14406,7,5,75,40,35663,-33,33,127,0,0,3834,-21,0,2984,319,29,3497,-4,0,154,0,77764,0
77763,95,-2017,278,-62,-9,-52,14404,-9,-2,63,40,35667,-40,33,127,0,0,3836,-10,0,2984,319,29,3507,-4,0,154,0,77764,0
77773,67,-2026,269,-60,-11,-38,14405,-7,-8,-1,-16,35665,-32,33,127,0,0,3836,10,0,2984,319,29,3517,-4,0,154,0,77780,0
77783,72,-2043,267,-54,-5,-44,14407,15,5,86,0,35669,-32,33,127,0,0,3836,-32,0,2984,319,29,3527,-4,0,154,0,77780,0
77793,60,-2047,274,-57,-10,-37,14404,-9,-5,45,16,35662,-24,33,127,0,0,3836,-10,0,2984,319,29,3537,-4,0,154,0,77780,0
77803,44,-2052,269,-54,-2,-30,14405,2,-5,59,48,35675,-41,33,127,0,0,3838,21,0,2984,319,29,3547,-4,0,154,0,77795,0
77813,66,-2055,271,-56,-10,-26,14407,-4,11,48,8,35679,-28,33,127,0,0,3836,0,0,2984,319,29,3557,-4,0,154,0,77811,0
77823,46,-2063,259,-59,-6,-30,14404,-2,-7,60,48,35671,-33,33,127,0,0,3836,0,0,2984,319,29,3567,-4,0,154,0,77811,0
77833,30,-2061,269,-52,-7,-36,14405,-15,-2,11,24,35673,-41,33,127,0,0,3838,32,0,2984,319,29,3577,-4,0,154,0,77842,0
77843,28,-2059,258,-56,-9,-38,14406,6,-1,73,0,35667,-47,33,127,0,0,3836,-10,0,2984,319,29,3587,-4,0,154,0,77842,0
77853,18,-2050,264,-43,-9,-42,14404,-7,-2,43,16,35675,-52,33,127,0,0,3836,0,0,2984,319,29,3597,-4,0,154,0,77842,0
77863,40,-2050,261,-43,-11,-48,14407,11,-2,43,8,35679,-39,33,127,0,0,3838,21,0,2984,319,29,3607,-4,0,154,0,77842,0
77873,67,-2054,269,-45,-10,-50,14407,1,12,58,16,35673,-34,33,127,0,0,3836,0,0,2984,319,29,3617,-4,0,154,0,77905,0
77883,55,-2053,273,-45,-10,-53,14407,6,-2,79,0,35680,-38,33,127,0,0,3836,-32,0,2984,319,29,3627,-4,0,154,0,77905,0
77893,37,-2034,283,-49,-10,-41,14405,-1,-3,34,24,35683,-31,33,127,0,0,3836,0,0,2984,319,29,3637,-4,0,154,0,77920,0
77903,78,-2007,274,-52,-16,-49,14406,0,4,33,8,35681,-28,33,127,0,0,3834,-21,0,2984,319,29,3647,-4,0,154,0,77920,0
77913,19,-2020,266,-53,-19,-40,14404,-8,1,-15,-8,35666,-21,33,127,0,0,3836,10,0,2984,319,29,3657,-4,0,154,0,77920,0
