state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
113170,-64,-2076,258,-83,32,131,14610,-4,3,377,112,35473,-77,34,127,0,0,3888,32,0,16390,6293,46,6038,-4,0,266,4,113227,0
113180,-75,-2079,255,-82,36,135,14609,-7,4,403,112,35470,-76,34,127,0,0,3884,10,0,16390,6293,46,6048,-4,0,266,4,113227,0
113190,-66,-2074,260,-84,40,128,14611,-5,6,376,112,35454,-68,34,127,0,0,3888,32,0,16390,6293,46,6058,-4,0,266,4,113227,0
113200,-77,-2079,258,-81,38,131,14612,-3,-1,418,80,35450,-67,34,127,0,0,3885,0,0,16390,6293,46,6068,-4,0,266,4,113227,0
113210,-68,-2072,263,-78,33,132,14612,0,4,377,128,35465,-85,34,127,0,0,3886,38,0,16390,6293,46,6078,-4,0,266,4,113227,0
113220,-67,-2074,262,-82,39,136,14612,-1,0,405,104,35463,-73,34,127,0,0,3888,38,0,16390,6293,46,6088,-4,0,266,4,113227,0
113230,-64,-2075,256,-78,40,135,14615,16,-1,423,104,35469,-68,34,127,0,0,3888,27,0,16390,6293,46,6098,-4,0,266,4,113227,0
113240,-82,-2069,256,-80,39,134,14614,1,2,411,104,35462,-73,34,127,0,0,3891,60,0,16390,6293,46,6108,-4,0,266,4,113227,0
113250,-51,-2071,259,-82,40,140,14616,0,-1,441,120,35461,-60,34,127,0,0,3886,10,0,16390,6293,46,6118,-4,0,266,4,113227,0
113260,-62,-2071,259,-79,38,135,14616,1,1,438,144,35459,-68,34,127,0,0,3889,16,0,16390,6293,46,6128,-4,0,266,4,113259,0
113270,-50,-2074,257,-85,35,141,14618,8,4,443,144,35464,-61,34,127,0,0,3885,16,0,16390,6293,46,6138,-4,0,266,4,113259,0
113280,-61,-2069,264,-80,36,136,14618,-3,-3,440,144,35465,-71,34,127,0,0,3889,10,0,16390,6293,46,6148,-4,0,266,4,113259,0
113290,-64,-2073,260,-85,33,136,14619,0,2,475,136,35463,-76,34,127,0,0,3889,27,0,16390,6293,46,6158,-4,0,266,4,113274,0
113300,-73,-2070,265,-87,35,142,14623,7,-2,496,112,35458,-74,34,127,0,0,3893,27,0,16390,6293,46,6168,-4,0,266,4,113290,0
113310,-69,-2078,255,-85,34,134,14623,-3,-2,477,160,35463,-65,34,127,0,0,3888,27,0,16390,6293,46,6178,-4,0,266,4,113290,0
113320,-73,-2075,253,-90,39,134,14625,-1,-3,467,152,35462,-77,34,127,0,0,3891,21,0,16390,6293,46,6188,-4,0,266,4,113305,0
113330,-53,-2074,263,-88,36,130,14627,-2,2,443,120,35467,-88,34,127,0,0,3885,5,0,16390,6293,46,6198,-4,0,266,4,113305,0
113340,-67,-2080,267,-88,39,128,14630,11,-1,425,144,35462,-102,34,127,0,0,3888,-5,0,16390,6293,46,6208,-4,0,266,4,113321,0
113350,-63,-2078,263,-91,35,129,14630,0,-7,411,96,35464,-100,34,127,0,0,3893,54,0,16390,6293,46,6218,-4,0,266,4,113337,0
113360,-97,-2077,258,-90,37,128,14630,6,4,452,144,35461,-84,34,127,0,0,3888,16,0,16390,6293,46,6228,-4,0,266,4,113337,0
113370,-66,-2080,261,-97,37,125,14631,1,-1,430,136,35462,-72,34,127,0,0,3894,65,0,16390,6293,46,6238,-4,0,266,4,113352,0
113380,-75,-2072,259,-88,37,131,14637,14,4,427,128,35472,-82,34,127,0,0,3891,49,0,16390,6293,46,6248,-4,0,266,4,113368,0
113391,-80,-2080,258,-91,35,128,14655,44,30,331,104,35468,-94,34,127,0,0,3893,43,0,16390,6293,46,6259,-4,0,266,4,113384,0
113401,-58,-2069,263,-92,40,136,14671,21,23,213,72,35457,-106,34,127,0,0,3891,10,0,16390,6293,46,6269,-4,0,266,4,113384,0
113411,-93,-2076,256,-95,40,131,14669,0,-32,248,56,35449,-95,34,127,0,0,3891,0,0,16390,6293,46,6279,-4,0,266,4,113384,0
