state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
580784,53,-2021,371,-32,-4,-42,15119,0,-2,-299,-80,35665,-27,34,127,0,0,3961,-16,0,2965,122,234,4312,-4,0,-13,0,580815,0
580794,40,-2014,374,-34,-16,-35,15120,-2,-2,-313,-80,35665,-28,34,127,0,0,3961,0,0,2965,122,234,4322,-4,0,-13,0,580815,0
580804,45,-2019,367,-36,-9,-44,15120,4,-4,-316,-80,35668,-27,34,127,0,0,3964,32,0,2965,122,234,4332,-4,0,-13,0,580815,0
580814,40,-2016,364,-34,-12,-46,15123,15,10,-249,-88,35687,-32,34,127,0,0,3961,-32,0,2965,122,234,4342,-4,0,-13,0,580815,0
580824,31,-2019,358,-33,-13,-47,15119,0,-3,-279,-80,35687,-33,34,127,0,0,3961,-16,0,2965,122,234,4352,-4,0,-13,0,580815,0
580834,40,-2026,375,-32,-12,-48,15119,-3,-4,-310,-80,35690,-40,34,127,0,0,3961,0,0,2965,122,234,4362,-4,0,-13,0,580846,0
580844,47,-2023,372,-35,-16,-52,15120,6,7,-295,-64,35682,-14,34,127,0,0,3957,-43,0,2965,122,234,4372,-4,0,-13,0,580862,0
580854,34,-2022,376,-37,-15,-58,15119,0,-1,-326,-80,35682,-12,34,127,0,0,3961,-10,0,2965,122,234,4382,-4,0,-13,0,580862,0
580864,47,-2025,368,-35,-13,-56,15120,2,-5,-319,-80,35678,-19,34,127,0,0,3961,0,0,2965,122,234,4392,-4,0,-13,0,580862,0
580874,50,-2020,370,-38,-13,-62,15119,1,5,-316,-80,35671,-38,34,127,0,0,3961,0,0,2965,122,234,4402,-4,0,-13,0,580877,0
580884,51,-2017,368,-39,-16,-62,15119,8,-1,-318,-104,35675,-43,34,127,0,0,3959,-38,0,2965,122,234,4412,-4,0,-13,0,580877,0
580894,44,-2023,369,-38,0,-70,15115,-13,-16,-381,-72,35676,-38,34,127,0,0,3961,71,0,2965,122,234,4422,-4,0,-13,0,580877,0
580904,31,-2013,370,-41,-11,-72,15116,6,2,-343,-96,35674,-37,34,127,0,0,3959,10,0,2965,122,234,4432,-4,0,-13,0,580877,0
580914,47,-2025,366,-32,-4,-73,15114,3,3,-366,-96,35676,-29,34,127,0,0,3959,0,0,2965,122,234,4442,-4,0,-13,0,580924,0
580924,52,-2017,365,-33,-9,-70,15113,-13,-8,-381,-120,35682,-15,34,127,0,0,3960,38,0,2965,122,234,4452,-4,0,-13,0,580924,0
580934,53,-2017,367,-34,-10,-67,15111,-8,1,-395,-112,35690,-2,34,127,0,0,3960,43,0,2965,122,234,4462,-4,0,-13,0,580924,0
580944,37,-2023,370,-28,-5,-71,15111,-2,-1,-379,-112,35693,-5,34,127,0,0,3957,10,0,2965,122,234,4472,-4,0,-13,0,580924,0
580954,73,-2023,373,-34,-7,-68,15109,-2,-3,-399,-136,35685,-19,34,127,0,0,3958,10,0,2965,122,234,4482,-4,0,-13,0,580940,0
580964,48,-2022,373,-31,-2,-66,15103,-17,-14,-392,-96,35683,-32,34,127,0,0,3953,5,0,2965,122,234,4492,-4,0,-13,0,580940,0
580974,48,-2017,377,-35,-5,-69,15095,-20,-8,-358,-80,35685,-47,34,127,0,0,3947,-65,0,2965,122,234,4502,-4,0,-13,0,580971,0
580984,70,-2019,373,-42,-11,-72,15080,-47,-23,-312,-72,35702,-55,34,127,0,0,3955,-27,0,2965,122,234,4512,-4,0,-13,0,580971,0
580994,60,-2018,368,-35,-10,-73,15063,-42,-25,-235,-40,35704,-63,34,127,0,0,3948,10,0,2965,122,234,4522,-4,0,-13,0,580971,0
581004,50,-2018,367,-35,-7,-80,15061,4,26,-277,-80,35694,-52,34,127,0,0,3950,-32,0,2965,122,234,4532,-4,0,-13,0,580987,0
581014,54,-2021,368,-41,-8,-75,15059,-7,29,-307,-80,35679,-40,34,127,0,0,3947,-32,0,2965,122,234,4542,-4,0,-13,0,581002,0
581024,57,-2022,370,-42,-12,-77,15057,-4,-2,-313,-96,35686,-24,34,127,0,0,3951,-16,0,2965,122,234,4552,-4,0,-13,0,581002,0
581034,63,-2016,375,-39,-11,-79,15053,-19,1,-369,-88,35683,-24,34,127,0,0,3945,10,0,2965,122,234,4562,-4,0,-13,0,581002,0
581044,56,-2020,387,-45,-8,-80,15050,4,-4,-308,-64,35691,-28,34,127,0,0,3947,-38,0,2965,122,234,4572,-4,0,-13,0,581033,0
581054,75,-2022,388,-53,-14,-76,15048,-19,11,-370,-104,35690,-51,34,127,0,0,3946,10,0,2965,122,234,4582,-4,0,-13,0,581033,0
581064,46,-2020,376,-55,-16,-80,15041,-9,-8,-353,-88,35695,-50,34,127,0,0,3946,0,0,2965,122,234,4592,-4,0,-13,0,581033,0
581074,48,-2024,372,-61,-8,-88,15039,-1,0,-327,-88,35692,-48,34,127,0,0,3946,0,0,2965,122,234,4602,-4,0,-13,0,581112,0
581084,51,-2019,375,-58,-10,-92,15033,-15,10,-355,-96,35684,-42,34,127,0,0,3947,16,0,2965,122,234,4612,-4,0,-13,0,581112,0
581094,50,-2020,372,-62,-22,-96,15016,-38,-26,-211,-88,35683,-44,34,127,0,0,3938,-76,0,2965,122,234,4622,-4,0,-13,0,581112,0
581104,64,-2021,368,-62,-12,-105,14992,-44,-33,-208,-40,35678,-30,34,127,0,0,3938,-38,0,2965,122,234,4632,-4,0,-13,0,581112,0
581114,59,-2023,363,-55,-6,-98,14996,5,42,-272,-72,35682,-44,34,127,0,0,3939,-27,0,2965,122,234,4642,-4,0,-13,0,581127,0
581124,72,-2021,375,-55,-13,-114,14993,12,36,-257,-88,35681,-45,34,127,0,0,3934,-71,0,2965,122,234,4652,-4,0,-13,0,581127,0
581134,75,-2025,376,-54,-15,-102,14984,-29,-16,-384,-72,35682,-54,34,127,0,0,3934,5,0,2965,122,234,4662,-4,0,-13,0,581127,0
581144,43,-2013,376,-58,-12,-100,14987,5,1,-372,-120,35682,-58,34,127,0,0,3933,-54,0,2965,122,234,4672,-4,0,-13,0,581127,0
581154,67,-2025,380,-62,-15,-110,14983,-2,1,-425,-136,35686,-56,34,127,0,0,3927,-82,0,2965,122,234,4682,-4,0,-13,0,581127,0
581164,79,-2020,376,-64,-13,-108,14973,-14,-19,-432,-120,35689,-45,34,127,0,0,3930,-43,0,2965,122,234,4692,-4,0,-13,0,581174,0
581174,67,-2020,361,-61,-19,-101,14969,-15,1,-485,-136,35706,-41,34,127,0,0,3928,-10,0,2965,122,234,4702,-4,0,-13,0,581174,0
