state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
279468,-82,-2055,352,-76,23,116,14876,0,0,245,72,35636,34,32,127,0,0,3927,0,0,2126,414,96,2852,-4,0,93,13,279457,0
279478,-84,-2062,350,-81,31,119,14876,0,-1,235,48,35643,48,32,127,0,0,3932,5,0,2126,414,96,2862,-4,0,93,13,279457,0
279488,-93,-2066,358,-82,26,122,14876,1,4,237,72,35642,64,32,127,0,0,3927,16,0,2126,414,96,2872,-4,0,93,13,279472,0
279498,-77,-2066,353,-79,32,117,14875,-3,1,233,72,35647,60,32,127,0,0,3927,-21,0,2126,414,96,2882,-4,0,93,13,279488,0
279508,-66,-2056,353,-80,30,121,14875,3,-6,237,88,35638,37,32,127,0,0,3933,49,0,2126,414,96,2892,-4,0,93,13,279488,0
279518,-41,-2054,348,-80,40,123,14879,0,6,297,64,35635,33,32,127,0,0,3930,-16,0,2126,414,96,2902,-4,0,93,13,279503,0
279528,-68,-2057,342,-78,35,125,14875,0,-7,238,48,35640,25,32,127,0,0,3928,-16,0,2126,414,96,2912,-4,0,93,13,279519,0
279538,-72,-2059,353,-83,35,123,14875,-3,-5,237,48,35645,31,32,127,0,0,3928,-16,0,2126,414,96,2922,-4,0,93,13,279519,0
279548,-85,-2062,348,-85,31,124,14875,-1,-1,237,88,35662,28,32,127,0,0,3926,-16,0,2126,414,96,2932,-4,0,93,13,279535,0
279558,-60,-2063,351,-79,33,123,14876,-5,1,269,96,35658,39,32,127,0,0,3933,38,0,2126,414,96,2942,-4,0,93,13,279535,0
279568,-43,-2063,346,-82,30,126,14877,-4,-2,297,64,35659,39,32,127,0,0,3930,5,0,2126,414,96,2952,-4,0,93,13,279566,0
279578,-79,-2066,346,-83,34,126,14877,9,-6,261,88,35655,29,32,127,0,0,3926,-10,0,2126,414,96,2962,-4,0,93,13,279566,0
279588,-78,-2062,356,-77,34,126,14878,3,5,273,48,35651,31,32,127,0,0,3928,-76,0,2126,414,96,2972,-4,0,93,13,279566,0
279598,-91,-2053,355,-79,35,130,14877,11,0,246,72,35654,45,32,127,0,0,3930,-5,0,2126,414,96,2982,-4,0,93,13,279582,0
279608,-83,-2062,355,-81,32,134,14876,0,5,285,48,35647,42,32,127,0,0,3932,-32,0,2126,414,96,2992,-4,0,93,13,279597,0
279618,-98,-2057,360,-81,36,131,14878,7,5,288,64,35645,42,32,127,0,0,3930,-27,0,2126,414,96,3002,-4,0,93,13,279597,0
279629,-56,-2057,353,-86,35,124,14876,0,-4,263,32,35650,42,32,127,0,0,3933,43,0,2126,414,96,3013,-4,0,93,13,279613,0
279639,-84,-2062,357,-83,35,133,14876,-3,-4,285,64,35657,53,32,127,0,0,3928,-32,0,2126,414,96,3023,-4,0,93,13,279628,0
279649,-82,-2065,352,-87,32,125,14876,6,-1,266,104,35661,59,32,127,0,0,3930,10,0,2126,414,96,3033,-4,0,93,13,279644,0
279659,-84,-2067,351,-87,38,120,14874,-16,-10,270,120,35659,42,32,127,0,0,3930,21,0,2126,414,96,3043,-4,0,93,13,279644,0
279669,-95,-2057,349,-86,34,126,14877,-5,-1,282,72,35650,34,32,127,0,0,3930,-21,0,2126,414,96,3053,-4,0,93,13,279660,0
279679,-82,-2058,356,-88,33,131,14877,11,4,256,72,35656,21,32,127,0,0,3930,0,0,2126,414,96,3063,-4,0,93,13,279660,0
279689,-64,-2054,350,-84,29,126,14875,-5,-1,272,104,35648,34,32,127,0,0,3930,21,0,2126,414,96,3073,-4,0,93,13,279691,0
279699,-56,-2059,348,-88,32,129,14876,-5,-3,253,32,35653,41,32,127,0,0,3930,10,0,2126,414,96,3083,-4,0,93,13,279691,0
279709,-77,-2058,352,-85,37,134,14876,1,-3,245,48,35647,38,32,127,0,0,3928,-10,0,2126,414,96,3093,-4,0,93,13,279691,0
279719,-71,-2052,354,-86,32,131,14877,4,2,274,56,35655,37,32,127,0,0,3928,-32,0,2126,414,96,3103,-4,0,93,13,279738,0
279729,-103,-2063,356,-91,32,133,14875,0,-8,257,72,35657,41,32,127,0,0,3928,-21,0,2126,414,96,3113,-4,0,93,13,279738,0
279739,-74,-2060,355,-86,41,131,14876,-4,1,284,96,35651,56,32,127,0,0,3933,43,0,2126,414,96,3123,-4,0,93,13,279738,0
279749,-82,-2063,356,-85,33,132,14876,-9,-1,293,104,35652,56,32,127,0,0,3930,0,0,2126,414,96,3133,-4,0,93,13,279753,0
279759,-67,-2055,354,-86,40,129,14878,15,-3,283,16,35648,60,32,127,0,0,3933,-10,0,2126,414,96,3143,-4,0,93,13,279753,0
279769,-50,-2053,351,-92,33,135,14876,0,2,270,120,35639,53,32,127,0,0,3930,43,0,2126,414,96,3153,-4,0,93,13,279753,0
279779,-50,-2060,352,-85,38,130,14877,-10,-4,298,104,35646,37,32,127,0,0,3933,0,0,2126,414,96,3163,-4,0,93,13,279753,0
279789,-78,-2056,349,-89,32,140,14879,10,-1,335,96,35642,55,32,127,0,0,3930,-43,0,2126,414,96,3173,-4,0,93,13,279785,0
279799,-93,-2056,352,-87,35,134,14875,-3,-6,269,120,35664,51,32,127,0,0,3933,43,0,2126,414,96,3183,-4,0,93,13,279785,0
279809,-66,-2064,353,-93,35,129,14877,-4,-3,298,16,35657,62,32,127,0,0,3930,-32,0,2126,414,96,3193,-4,0,93,13,279785,0
279819,-94,-2059,358,-83,45,135,14878,18,5,301,96,35651,61,32,127,0,0,3930,-10,0,2126,414,96,3203,-4,0,93,13,279816,0
279829,-99,-2059,361,-89,39,128,14876,-8,-2,311,96,35654,53,32,127,0,0,3935,43,0,2126,414,96,3213,-4,0,93,13,279816,0
279839,-86,-2059,355,-89,40,136,14879,3,2,360,72,35653,35,32,127,0,0,3933,-10,0,2126,414,96,3223,-4,0,93,13,279816,0
279849,-92,-2054,353,-90,38,128,14880,6,8,343,40,35663,22,32,127,0,0,3935,-21,0,2126,414,96,3233,-4,0,93,13,279831,0
279859,-123,-2055,348,-95,34,140,14879,6,-4,365,80,35646,28,32,127,0,0,3935,32,0,2126,414,96,3243,-4,0,93,13,279847,0
279869,-82,-2063,356,-87,33,129,14879,-1,-1,386,112,35650,35,32,127,0,0,3935,0,0,2126,414,96,3253,-4,0,93,13,279863,0
279880,-102,-2063,349,-89,33,126,14878,-4,-4,344,112,35680,29,32,127,0,0,3932,32,0,2126,414,96,3264,-4,0,93,13,279863,0
279890,-65,-2060,352,-92,24,123,14878,-7,0,324,112,35685,37,32,127,0,0,3932,5,0,2126,414,96,3274,-4,0,93,13,279878,0
279900,-71,-2057,351,-90,28,139,14877,-7,-5,302,112,35670,47,32,127,0,0,3932,49,0,2126,414,96,3284,-4,0,93,13,279894,0
279910,-58,-2059,347,-89,36,129,14877,-10,-7,347,88,35651,51,32,127,0,0,3933,-5,0,2126,414,96,3294,-4,0,93,13,279894,0
279920,-73,-2066,347,-93,35,131,14880,3,-4,374,104,35661,47,32,127,0,0,3932,-43,0,2126,414,96,3304,-4,0,93,13,279910,0
279930,-107,-2059,355,-89,37,126,14880,4,-3,371,88,35653,44,32,127,0,0,3933,-49,0,2126,414,96,3314,-4,0,93,13,279910,0
279940,-81,-2066,349,-95,39,123,14878,2,-4,353,112,35663,58,32,127,0,0,3932,-21,0,2126,414,96,3324,-4,0,93,13,279925,0
279950,-77,-2068,352,-89,29,124,14880,7,7,319,88,35659,45,32,127,0,0,3933,0,0,2126,414,96,3334,-4,0,93,13,279925,0
279960,-79,-2062,352,-86,35,129,14879,-3,6,326,112,35666,39,32,127,0,0,3935,38,0,2126,414,96,3344,-4,0,93,13,279988,0
279970,-69,-2062,355,-90,40,126,14879,-8,-1,355,88,35665,32,32,127,0,0,3933,-32,0,2126,414,96,3354,-4,0,93,13,279988,0
279980,-91,-2062,354,-91,35,126,14879,7,-5,320,112,35655,48,32,127,0,0,3935,38,0,2126,414,96,3364,-4,0,93,13,279988,0
279990,-62,-2059,355,-91,35,131,14878,-12,-2,350,112,35651,54,32,127,0,0,3932,-10,0,2126,414,96,3374,-4,0,93,13,279988,0
280000,-66,-2056,351,-93,33,139,14879,-1,-4,324,112,35645,53,32,127,0,0,3932,5,0,2126,414,96,3384,-4,0,93,13,279988,0
280010,-73,-2061,353,-91,28,134,14881,5,5,360,88,35650,46,32,127,0,0,3936,-10,0,2126,414,96,3394,-4,0,93,13,280003,0
280020,-94,-2059,357,-91,35,140,14880,7,-4,376,112,35658,33,32,127,0,0,3935,27,0,2126,414,96,3404,-4,0,93,13,280003,0
280030,-74,-2060,355,-97,36,133,14880,0,-6,376,112,35667,19,32,127,0,0,3935,27,0,2126,414,96,3414,-4,0,93,13,280035,0
280040,-71,-2055,356,-91,36,143,14879,-10,-4,363,112,35677,15,32,127,0,0,3935,5,0,2126,414,96,3424,-4,0,93,13,280035,0
280050,-95,-2052,354,-97,35,145,14884,12,2,405,80,35676,26,32,127,0,0,3936,-32,0,2126,414,96,3434,-4,0,93,13,280050,0
280060,-95,-2058,349,-88,42,133,14883,18,7,479,104,35672,40,32,127,0,0,3935,-54,0,2126,414,96,3444,-4,0,93,13,280050,0
280070,-87,-2060,352,-94,35,133,14883,-1,-6,419,152,35679,43,32,127,0,0,3939,71,0,2126,414,96,3454,-4,0,93,13,280050,0
280080,-74,-2054,352,-95,38,138,14888,0,0,404,96,35672,52,32,127,0,0,3935,-10,0,2126,414,96,3464,-4,0,93,13,280097,0
280090,-106,-2058,350,-91,30,140,14887,7,1,417,120,35676,50,32,127,0,0,3940,10,0,2126,414,96,3474,-4,0,93,13,280097,0
280100,-94,-2060,346,-91,33,134,14886,1,-4,428,120,35659,47,32,127,0,0,3937,-10,0,2126,414,96,3484,-4,0,93,13,280097,0
280110,-75,-2060,355,-96,29,137,14887,2,0,422,120,35654,43,32,127,0,0,3934,-49,0,2126,414,96,3494,-4,0,93,13,280113,0
280120,-88,-2060,357,-97,36,132,14887,5,0,422,96,35647,63,32,127,0,0,3941,0,0,2126,414,96,3504,-4,0,93,13,280128,0
280131,-95,-2061,350,-96,37,135,14889,5,4,482,136,35652,47,32,127,0,0,3939,0,0,2126,414,96,3515,-4,0,93,13,280128,0
280141,-75,-2060,350,-98,35,130,14888,0,-2,472,104,35648,42,32,127,0,0,3939,10,0,2126,414,96,3525,-4,0,93,13,280128,0
280151,-85,-2061,356,-92,34,142,14891,9,2,486,136,35665,42,32,127,0,0,3941,0,0,2126,414,96,3535,-4,0,93,13,280128,0
280161,-85,-2058,348,-96,30,145,14892,7,3,495,136,35667,31,32,127,0,0,3939,-21,0,2126,414,96,3545,-4,0,93,13,280144,0
280171,-85,-2060,350,-95,40,145,14891,0,-3,489,120,35682,24,33,127,0,0,3939,-10,0,2126,414,96,3555,-4,0,93,13,280175,0
280181,-95,-2061,349,-97,45,147,14893,11,4,502,152,35676,22,32,127,0,0,3941,0,0,2126,414,96,3565,-4,0,93,13,280175,0
280191,-79,-2060,343,-95,42,145,14892,-5,1,484,152,35666,41,32,127,0,0,3939,-32,0,2126,414,96,3575,-4,0,93,13,280175,0
280201,-94,-2059,348,-96,42,148,14892,2,-5,499,152,35650,49,32,127,0,0,3939,-21,0,2126,414,96,3585,-4,0,93,13,280191,0
280211,-81,-2065,347,-97,43,149,14892,0,4,504,192,35660,45,32,127,0,0,3941,0,0,2126,414,96,3595,-4,0,93,13,280191,0
280221,-77,-2056,336,-94,35,155,14896,9,11,519,136,35667,31,32,127,0,0,3941,-32,0,2126,414,96,3605,-4,0,93,13,280206,0
280231,-77,-2064,349,-89,40,153,14899,10,1,537,168,35662,40,32,127,0,0,3941,-32,0,2126,414,96,3615,-4,0,93,13,280222,0
280241,-81,-2058,347,-90,32,153,14904,11,4,548,144,35643,60,32,127,0,0,3946,32,0,2126,414,96,3625,-4,0,93,13,280222,0
280251,-93,-2065,345,-89,40,158,14922,56,34,468,144,35642,75,32,127,0,0,3946,0,0,2126,414,96,3635,-4,0,93,13,280253,0
280261,-67,-2056,339,-84,41,170,14957,81,63,260,96,35650,54,32,127,0,0,3946,-10,0,2126,414,96,3645,-4,0,93,13,280253,0
280271,-67,-2049,336,-81,40,158,14959,-17,-35,317,88,35650,42,32,127,0,0,3948,10,0,2126,414,96,3655,-4,0,93,13,280253,0
280281,-86,-2058,341,-78,45,166,14961,9,-67,329,88,35655,25,32,127,0,0,3950,0,0,2126,414,96,3665,-4,0,93,13,280269,0
280291,-104,-2057,340,-79,37,158,14962,20,11,373,72,35660,28,32,127,0,0,3952,21,0,2126,414,96,3675,-4,0,93,13,280269,0
280301,-99,-2051,356,-75,46,161,14962,0,-3,394,112,35660,34,32,127,0,0,3952,21,0,2126,414,96,3685,-4,0,93,13,280300,0
280311,-110,-2060,364,-82,39,157,14964,10,3,434,128,35652,15,32,127,0,0,3955,43,0,2126,414,96,3695,-4,0,93,13,280300,0
280321,-103,-2061,358,-88,37,149,14968,16,11,475,144,35648,19,32,127,0,0,3955,0,0,2126,414,96,3705,-4,0,93,13,280300,0
280331,-102,-2066,358,-93,39,144,14977,12,15,422,128,35647,17,32,127,0,0,3955,0,0,2126,414,96,3715,-4,0,93,13,280331,0
280341,-110,-2062,360,-95,45,142,14985,17,3,367,112,35651,15,32,127,0,0,3955,10,0,2126,414,96,3725,-4,0,93,13,280331,0
280351,-114,-2066,360,-96,34,130,14998,30,8,303,80,35652,0,32,127,0,0,3952,-43,0,2126,414,96,3735,-4,0,93,13,280331,0
280361,-104,-2063,352,-96,36,113,15004,-4,-5,244,72,35661,-15,32,127,0,0,3955,0,0,2126,414,96,3745,-4,0,93,13,280347,0
280371,-117,-2060,348,-102,33,112,15004,3,-26,262,72,35656,-2,32,127,0,0,3952,-21,0,2126,414,96,3755,-4,0,93,13,280378,0
280382,-114,-2055,350,-102,31,103,15004,5,-4,255,72,35652,-2,32,127,0,0,3955,-10,0,2126,414,96,3766,-4,0,93,13,280378,0
280392,-96,-2061,346,-101,36,98,15005,1,6,281,72,35644,0,32,127,0,0,3951,-49,0,2126,414,96,3776,-4,0,93,13,280378,0
280402,-110,-2058,349,-104,30,94,15003,0,-1,234,72,35636,-10,32,127,0,0,3951,0,0,2126,414,96,3786,-4,0,93,13,280378,0
280412,-77,-2060,347,-105,31,86,15003,-10,1,223,56,35636,0,32,127,0,0,3956,38,0,2126,414,96,3796,-4,0,93,13,280409,0
280422,-101,-2064,350,-106,21,87,15004,-2,4,230,24,35635,2,32,127,0,0,3953,-21,0,2126,414,96,3806,-4,0,93,13,280409,0
280432,-115,-2064,343,-110,33,80,15004,8,6,217,48,35638,0,32,127,0,0,3952,0,0,2126,414,96,3816,-4,0,93,13,280425,0
280442,-95,-2062,348,-108,24,78,15002,-5,-5,216,24,35639,-9,32,127,0,0,3953,-5,0,2126,414,96,3826,-4,0,93,13,280425,0
280452,-98,-2067,348,-107,35,72,15003,2,-3,181,0,35647,-7,32,127,0,0,3948,-49,0,2126,414,96,3836,-4,0,93,13,280456,0
280462,-112,-2068,346,-111,41,66,15001,-3,-1,94,8,35648,-2,32,127,0,0,3948,-54,0,2126,414,96,3846,-4,0,93,13,280456,0
280472,-79,-2061,346,-107,43,72,15000,0,0,43,8,35644,-2,32,127,0,0,3945,-32,0,2126,414,96,3856,-4,0,93,13,280472,0
280482,-67,-2064,353,-115,37,77,14996,-20,-2,-42,-8,35641,8,32,127,0,0,3946,5,0,2126,414,96,3866,-4,0,93,13,280488,0
280492,-82,-2060,347,-113,34,83,14995,0,-2,-36,-24,35644,4,32,127,0,0,3944,-21,0,2126,414,96,3876,-4,0,93,13,280488,0
