state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
358696,118,-2019,331,-41,-6,-39,13141,-7,-1,281,48,35838,-66,32,127,0,0,3606,16,0,8777,-1140,143,8592,-4,0,65,-6,358682,0
358706,130,-2018,334,-33,-5,-41,13142,-5,-4,249,48,35839,-71,32,127,0,0,3606,0,0,8777,-1140,143,8602,-4,0,65,-6,358713,0
358716,109,-2019,341,-35,-9,-43,13143,12,4,288,72,35846,-61,32,127,0,0,3602,-65,0,8777,-1140,143,8612,-4,0,65,-6,358713,0
358726,122,-2020,329,-38,-7,-47,13140,-8,-11,233,72,35846,-56,32,127,0,0,3609,21,0,8777,-1140,143,8622,-4,0,65,-6,358713,0
358736,128,-2028,344,-39,-11,-45,13144,0,1,259,88,35839,-53,32,127,0,0,3604,-10,0,8777,-1140,143,8632,-4,0,65,-6,358713,0
358746,166,-2025,339,-42,2,-56,13142,-3,3,236,48,35831,-62,32,127,0,0,3606,21,0,8777,-1140,143,8642,-4,0,65,-6,358744,0
358756,138,-2034,341,-45,-8,-51,13141,-12,-8,187,48,35828,-70,32,127,0,0,3606,71,0,8777,-1140,143,8652,-4,0,65,-6,358744,0
358766,146,-2028,341,-49,-13,-46,13143,1,6,232,48,35832,-79,32,127,0,0,3610,27,0,8777,-1140,143,8662,-4,0,65,-6,358744,0
358776,126,-2027,325,-44,-10,-48,13144,4,4,274,64,35837,-74,32,127,0,0,3605,-16,0,8777,-1140,143,8672,-4,0,65,-6,358776,0
358786,156,-2039,325,-42,-7,-46,13142,-3,-10,191,96,35840,-72,32,127,0,0,3601,38,0,8777,-1140,143,8682,-4,0,65,-6,358776,0
358796,169,-2032,334,-45,-8,-45,13143,-2,3,192,48,35841,-57,32,127,0,0,3606,0,0,8777,-1140,143,8692,-4,0,65,-6,358776,0
358806,130,-2024,330,-36,-18,-42,13143,8,1,241,48,35842,-45,32,127,0,0,3610,32,0,8777,-1140,143,8702,-4,0,65,-6,358791,0
358816,107,-2028,331,-34,-13,-40,13144,5,0,259,88,35864,-57,32,127,0,0,3604,21,0,8777,-1140,143,8712,-4,0,65,-6,358807,0
358826,155,-2018,326,-46,-1,-46,13143,-1,-2,256,72,35854,-47,32,127,0,0,3605,-5,0,8777,-1140,143,8722,-4,0,65,-6,358807,0
358836,157,-2023,341,-41,-7,-46,13142,-11,-2,230,96,35850,-59,32,127,0,0,3604,43,0,8777,-1140,143,8732,-4,0,65,-6,358822,0
358846,121,-2010,344,-41,-17,-37,13144,1,8,234,64,35842,-55,32,127,0,0,3609,10,0,8777,-1140,143,8742,-4,0,65,-6,358838,0
358856,86,-2024,338,-47,-14,-40,13144,9,2,254,24,35851,-29,32,127,0,0,3607,5,0,8777,-1140,143,8752,-4,0,65,-6,358854,0
358866,114,-2024,334,-47,-8,-47,13144,13,-4,252,48,35844,-19,32,127,0,0,3603,-10,0,8777,-1140,143,8762,-4,0,65,-6,358854,0
358876,135,-2016,337,-42,-10,-58,13143,0,5,230,48,35836,-29,32,127,0,0,3606,-10,0,8777,-1140,143,8772,-4,0,65,-6,358854,0
358886,125,-2030,339,-51,-14,-49,13143,-3,7,234,72,35840,-82,32,127,0,0,3605,-10,0,8777,-1140,143,8782,-4,0,65,-6,358885,0
358896,130,-2029,338,-49,-17,-51,13142,-7,-1,204,24,35841,-69,32,127,0,0,3607,27,0,8777,-1140,143,8792,-4,0,65,-6,358901,0
358906,121,-2034,331,-51,-16,-52,13142,0,-3,190,72,35840,-62,32,127,0,0,3602,5,0,8777,-1140,143,8802,-4,0,65,-6,358901,0
358916,161,-2026,331,-51,-17,-59,13141,-8,5,173,72,35839,-49,32,127,0,0,3602,-5,0,8777,-1140,143,8812,-4,0,65,-6,358916,0
358926,172,-2034,338,-51,-16,-63,13141,-6,-4,148,72,35844,-42,32,127,0,0,3602,49,0,8777,-1140,143,8822,-4,0,65,-6,358916,0
358936,164,-2030,326,-52,-11,-59,13145,8,4,223,48,35849,-36,32,127,0,0,3600,-76,0,8777,-1140,143,8832,-4,0,65,-6,358916,0
358946,116,-2024,330,-51,-14,-63,13140,0,-2,205,72,35857,-61,32,127,0,0,3605,-16,0,8777,-1140,143,8842,-4,0,65,-6,358947,0
358956,150,-2021,328,-50,-14,-55,13141,-20,-8,173,24,35873,-80,32,127,0,0,3604,32,0,8777,-1140,143,8852,-4,0,65,-6,358947,0
358966,151,-2018,331,-49,-15,-54,13141,2,0,130,24,35868,-91,32,127,0,0,3601,10,0,8777,-1140,143,8862,-4,0,65,-6,358963,0
