state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
601354,142,-2020,348,-42,-11,-51,13952,6,6,-372,-112,35700,-70,34,127,0,0,3739,-32,0,1678,890,242,10322,-4,0,301,-37,601368,0
601364,132,-2022,347,-45,-10,-51,13951,-3,-1,-393,-104,35699,-73,34,127,0,0,3739,0,0,1678,890,242,10332,-4,0,301,-37,601368,0
601374,149,-2024,347,-43,-11,-54,13949,-9,0,-405,-112,35700,-73,34,127,0,0,3743,32,0,1678,890,242,10342,-4,0,301,-37,601368,0
601384,141,-2019,346,-42,-10,-56,13950,-9,3,-374,-112,35703,-89,34,127,0,0,3739,-10,0,1678,890,242,10352,-4,0,301,-37,601368,0
601394,146,-2016,352,-44,-6,-58,13950,-1,-5,-399,-136,35703,-85,34,127,0,0,3740,-5,0,1678,890,242,10362,-4,0,301,-37,601368,0
601404,143,-2019,351,-39,-8,-56,13949,-4,-7,-408,-80,35714,-72,34,127,0,0,3741,38,0,1678,890,242,10372,-4,0,301,-37,601477,0
601414,140,-2022,344,-38,-9,-56,13950,-7,12,-385,-112,35720,-66,34,127,0,0,3739,-16,0,1678,890,242,10382,-4,0,301,-37,601477,0
601424,124,-2018,347,-40,-7,-59,13949,-1,-3,-400,-104,35716,-71,34,127,0,0,3739,0,0,1678,890,242,10392,-4,0,301,-37,601477,0
601434,142,-2023,352,-41,-10,-69,13947,-7,-6,-426,-104,35713,-71,34,127,0,0,3739,27,0,1678,890,242,10402,-4,0,301,-37,601477,0
601444,141,-2026,355,-46,-3,-69,13949,0,6,-408,-128,35707,-75,34,127,0,0,3740,-5,0,1678,890,242,10412,-4,0,301,-37,601477,0
601454,145,-2021,354,-50,0,-75,13946,-10,2,-416,-104,35710,-79,34,127,0,0,3739,27,0,1678,890,242,10422,-4,0,301,-37,601493,0
601464,135,-2016,355,-47,-11,-74,13944,-12,-3,-450,-120,35699,-83,34,127,0,0,3737,10,0,1678,890,242,10432,-4,0,301,-37,601493,0
601474,133,-2028,353,-44,-9,-82,13941,-6,-3,-444,-144,35694,-86,34,127,0,0,3735,-38,0,1678,890,242,10442,-4,0,301,-37,601493,0
601484,143,-2022,348,-53,-11,-88,13930,-34,-15,-461,-104,35690,-80,34,127,0,0,3734,10,0,1678,890,242,10452,-4,0,301,-37,601493,0
601494,145,-2023,358,-51,-8,-98,13908,-70,-43,-333,-120,35694,-77,34,127,0,0,3734,5,0,1678,890,242,10462,-4,0,301,-37,601493,0
601504,127,-2026,355,-49,1,-107,13889,-11,-19,-233,-104,35694,-76,34,127,0,0,3728,-71,0,1678,890,242,10472,-4,0,301,-37,601493,0
601514,164,-2016,352,-50,-7,-108,13889,5,49,-344,-104,35697,-70,34,127,0,0,3728,-21,0,1678,890,242,10482,-4,0,301,-37,601493,0
601524,161,-2022,350,-59,-12,-105,13888,0,27,-360,-104,35696,-54,34,127,0,0,3728,0,0,1678,890,242,10492,-4,0,301,-37,601508,0
601534,149,-2021,348,-49,-1,-101,13885,-3,3,-381,-104,35706,-32,34,127,0,0,3722,-54,0,1678,890,242,10502,-4,0,301,-37,601508,0
601544,165,-2016,343,-47,-10,-100,13877,-28,-13,-430,-128,35714,-33,34,127,0,0,3724,-5,0,1678,890,242,10512,-4,0,301,-37,601540,0
601554,174,-2021,358,-52,-8,-85,13857,-56,-38,-362,-120,35720,-44,34,127,0,0,3725,38,0,1678,890,242,10522,-4,0,301,-37,601540,0
601564,163,-2017,351,-55,-10,-83,13834,-38,-38,-188,-64,35707,-55,34,127,0,0,3722,-16,0,1678,890,242,10532,-4,0,301,-37,601540,0
601574,193,-2021,350,-51,-9,-71,13835,5,42,-275,-64,35704,-60,34,127,0,0,3722,54,0,1678,890,242,10542,-4,0,301,-37,601571,0
601584,183,-2026,349,-54,-11,-64,13833,-9,45,-307,-112,35707,-67,34,127,0,0,3721,0,0,1678,890,242,10552,-4,0,301,-37,601571,0
601594,145,-2026,352,-53,-17,-59,13830,3,-6,-325,-80,35710,-62,34,127,0,0,3716,-16,0,1678,890,242,10562,-4,0,301,-37,601571,0
601604,158,-2020,348,-54,-14,-59,13829,-2,4,-348,-104,35703,-53,34,127,0,0,3717,-16,0,1678,890,242,10572,-4,0,301,-37,601602,0
601614,142,-2017,341,-49,-6,-66,13830,0,2,-364,-104,35693,-51,34,127,0,0,3717,0,0,1678,890,242,10582,-4,0,301,-37,601602,0
601624,144,-2014,344,-55,-9,-69,13829,0,2,-394,-128,35694,-53,34,127,0,0,3718,16,0,1678,890,242,10592,-4,0,301,-37,601602,0
601634,136,-2015,350,-58,-3,-66,13826,-8,-2,-406,-120,35700,-59,34,127,0,0,3715,0,0,1678,890,242,10602,-4,0,301,-37,601618,0
601644,145,-2019,350,-57,-11,-71,13824,-5,-4,-421,-120,35703,-75,34,127,0,0,3715,0,0,1678,890,242,10612,-4,0,301,-37,601618,0
601654,152,-2020,356,-65,-12,-79,13823,-3,5,-429,-136,35709,-68,34,127,0,0,3713,-38,0,1678,890,242,10622,-4,0,301,-37,601649,0
601664,162,-2020,357,-63,-9,-76,13820,-3,-4,-403,-128,35706,-60,34,127,0,0,3716,-16,0,1678,890,242,10632,-4,0,301,-37,601649,0
601674,164,-2018,353,-59,-10,-75,13820,-12,1,-430,-152,35700,-62,34,127,0,0,3714,0,0,1678,890,242,10642,-4,0,301,-37,601649,0
601684,154,-2024,345,-62,-9,-81,13818,-1,-1,-418,-152,35697,-64,34,127,0,0,3711,-38,0,1678,890,242,10652,-4,0,301,-37,601680,0
601694,159,-2011,337,-65,-9,-72,13815,-5,0,-438,-144,35699,-82,34,127,0,0,3711,-43,0,1678,890,242,10662,-4,0,301,-37,601680,0
601704,169,-2011,341,-64,-8,-69,13810,-9,-4,-443,-160,35695,-70,34,127,0,0,3712,-32,0,1678,890,242,10672,-4,0,301,-37,601680,0
601714,158,-2015,339,-60,-15,-68,13797,-36,-16,-399,-160,35693,-69,34,127,0,0,3710,-10,0,1678,890,242,10682,-4,0,301,-37,601680,0
601724,159,-2016,344,-59,-13,-70,13775,-47,-35,-320,-112,35696,-65,34,127,0,0,3706,-32,0,1678,890,242,10692,-4,0,301,-37,601712,0
601734,165,-2018,347,-50,-7,-64,13765,-10,10,-377,-96,35694,-40,34,127,0,0,3706,5,0,1678,890,242,10702,-4,0,301,-37,601712,0
601744,180,-2014,344,-50,-13,-58,13769,13,58,-340,-104,35700,-42,34,127,0,0,3706,-32,0,1678,890,242,10712,-4,0,301,-37,601727,0
601754,161,-2015,336,-52,-7,-52,13766,-5,11,-374,-96,35693,-46,34,127,0,0,3706,0,0,1678,890,242,10722,-4,0,301,-37,601727,0
601764,172,-2018,335,-47,-10,-45,13767,-1,-2,-389,-96,35704,-64,34,127,0,0,3703,-32,0,1678,890,242,10732,-4,0,301,-37,601758,0
601774,166,-2021,345,-44,1,-42,13767,4,6,-396,-120,35700,-43,34,127,0,0,3704,-49,0,1678,890,242,10742,-4,0,301,-37,601758,0
601784,178,-2011,342,-43,-7,-32,13765,-4,-2,-386,-96,35700,-38,34,127,0,0,3703,-43,0,1678,890,242,10752,-4,0,301,-37,601758,0
601794,166,-2016,345,-41,-4,-24,13765,-6,0,-404,-112,35699,-45,34,127,0,0,3707,-10,0,1678,890,242,10762,-4,0,301,-37,601837,0
601804,153,-2016,343,-39,-3,-16,13766,10,4,-346,-96,35706,-51,34,127,0,0,3706,0,0,1678,890,242,10772,-4,0,301,-37,601837,0
601814,168,-2022,335,-39,-4,-8,13763,-12,-3,-414,-64,35708,-54,34,127,0,0,3705,43,0,1678,890,242,10782,-4,0,301,-37,601837,0
601824,165,-2017,344,-38,-3,3,13766,13,2,-369,-96,35706,-53,34,127,0,0,3706,0,0,1678,890,242,10792,-4,0,301,-37,601837,0
601834,156,-2025,342,-37,1,5,13765,1,6,-337,-112,35694,-78,34,127,0,0,3707,-5,0,1678,890,242,10802,-4,0,301,-37,601837,0
601844,158,-2022,342,-37,-5,5,13765,-1,-5,-346,-96,35692,-82,34,127,0,0,3703,-27,0,1678,890,242,10812,-4,0,301,-37,601852,0
601854,166,-2015,342,-37,1,9,13763,-7,-1,-391,-88,35698,-80,34,127,0,0,3706,21,0,1678,890,242,10822,-4,0,301,-37,601852,0
601864,159,-2016,353,-38,1,19,13765,-5,-1,-363,-96,35701,-80,34,127,0,0,3710,38,0,1678,890,242,10832,-4,0,301,-37,601852,0
601874,160,-2017,349,-41,-4,32,13768,16,7,-255,-48,35705,-69,34,127,0,0,3711,16,0,1678,890,242,10842,-4,0,301,-37,601852,0
601884,180,-2026,349,-43,-6,47,13768,-21,3,-199,-48,35712,-59,34,127,0,0,3711,-5,0,1678,890,242,10852,-4,0,301,-37,601883,0
601894,151,-2022,347,-35,-9,50,13771,10,-11,-163,-8,35724,-49,34,127,0,0,3712,-5,0,1678,890,242,10862,-4,0,301,-37,601883,0
