state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
439255,95,-2071,320,-79,37,182,9440,4,-60,407,88,35690,46,33,127,0,0,2876,0,0,1553,-18,180,39407,-4,0,-9,0,439250,0
439265,99,-2061,320,-78,50,174,9441,-2,-3,437,96,35687,44,33,127,0,0,2876,10,0,1553,-18,180,39417,-4,0,-9,0,439250,0
439275,108,-2064,326,-75,48,167,9445,8,5,455,120,35683,36,33,127,0,0,2878,10,0,1553,-18,180,39427,-4,0,-9,0,439250,0
439285,114,-2069,327,-80,46,164,9446,5,10,474,144,35676,28,33,127,0,0,2880,32,0,1553,-18,180,39437,-4,0,-9,0,439266,0
439295,104,-2067,331,-75,42,161,9452,17,7,485,152,35683,22,33,127,0,0,2882,10,0,1553,-18,180,39447,-4,0,-9,0,439282,0
439305,119,-2064,327,-78,41,164,9463,25,17,463,152,35680,12,33,127,0,0,2882,43,0,1553,-18,180,39457,-4,0,-9,0,439282,0
439315,112,-2063,321,-83,47,164,9492,82,41,276,104,35683,23,33,127,0,0,2882,10,0,1553,-18,180,39467,-4,0,-9,0,439297,0
439325,164,-2054,325,-76,38,180,9510,0,7,191,88,35689,24,33,127,0,0,2882,32,0,1553,-18,180,39477,-4,0,-9,0,439329,0
439335,105,-2068,318,-75,38,182,9510,9,-65,281,80,35681,20,33,127,0,0,2885,10,0,1553,-18,180,39487,-4,0,-9,0,439329,0
439345,124,-2051,322,-80,37,179,9510,-1,-21,327,96,35677,26,33,127,0,0,2887,21,0,1553,-18,180,39497,-4,0,-9,0,439329,0
439355,124,-2060,319,-80,36,186,9510,-4,-4,366,128,35674,8,33,127,0,0,2887,10,0,1553,-18,180,39507,-4,0,-9,0,439329,0
439365,143,-2066,323,-79,41,179,9513,0,2,352,112,35681,-7,33,127,0,0,2891,65,0,1553,-18,180,39517,-4,0,-9,0,439344,0
439376,113,-2070,329,-76,34,189,9519,26,8,413,120,35692,1,33,127,0,0,2894,32,0,1553,-18,180,39528,-4,0,-9,0,439360,0
439386,91,-2060,325,-76,41,185,9533,44,27,427,120,35697,2,32,127,0,0,2897,0,0,1553,-18,180,39538,-4,0,-9,0,439375,0
439396,93,-2064,332,-75,32,184,9560,68,43,274,88,35687,4,32,127,0,0,2895,0,0,1553,-18,180,39548,-4,0,-9,0,439391,0
439406,116,-2051,322,-74,33,181,9566,-5,-24,292,88,35680,3,33,127,0,0,2898,-5,0,1553,-18,180,39558,-4,0,-9,0,439391,0
439416,67,-2060,329,-81,38,172,9567,2,-52,364,112,35675,11,33,127,0,0,2900,-10,0,1553,-18,180,39568,-4,0,-9,0,439391,0
439426,80,-2054,321,-79,35,162,9568,1,-4,370,112,35684,-8,33,127,0,0,2903,32,0,1553,-18,180,39578,-4,0,-9,0,439407,0
439436,86,-2053,327,-80,42,157,9573,19,3,452,120,35684,-17,33,127,0,0,2902,-43,0,1553,-18,180,39588,-4,0,-9,0,439407,0
439446,82,-2063,328,-83,35,153,9575,14,13,479,136,35688,-21,33,127,0,0,2904,-38,0,1553,-18,180,39598,-4,0,-9,0,439438,0
439456,95,-2053,325,-79,41,147,9576,-4,-3,450,136,35674,-21,33,127,0,0,2904,5,0,1553,-18,180,39608,-4,0,-9,0,439438,0
439466,95,-2070,326,-86,35,142,9577,3,-3,472,160,35676,-19,33,127,0,0,2906,21,0,1553,-18,180,39618,-4,0,-9,0,439438,0
439476,103,-2062,320,-83,39,146,9578,-3,3,472,152,35682,-30,33,127,0,0,2906,27,0,1553,-18,180,39628,-4,0,-9,0,439454,0
439486,105,-2065,323,-81,34,136,9578,-3,-7,453,152,35682,-24,33,127,0,0,2906,43,0,1553,-18,180,39638,-4,0,-9,0,439469,0
439496,112,-2064,322,-89,38,143,9582,10,3,504,144,35685,-34,33,127,0,0,2906,-32,0,1553,-18,180,39648,-4,0,-9,0,439485,0
439506,104,-2068,326,-82,35,140,9588,12,10,479,160,35668,-25,33,127,0,0,2909,21,0,1553,-18,180,39658,-4,0,-9,0,439485,0
439516,103,-2055,328,-82,36,131,9597,20,11,456,120,35677,-27,33,127,0,0,2910,21,0,1553,-18,180,39668,-4,0,-9,0,439516,0
439526,122,-2061,330,-83,38,135,9620,58,40,259,80,35672,-19,33,127,0,0,2913,104,0,1553,-18,180,39678,-4,0,-9,0,439516,0
439536,110,-2066,324,-85,38,144,9638,20,11,214,56,35671,-13,33,127,0,0,2912,43,0,1553,-18,180,39688,-4,0,-9,0,439516,0
439546,101,-2062,323,-92,33,142,9635,-9,-61,221,56,35673,-1,33,127,0,0,2909,16,0,1553,-18,180,39698,-4,0,-9,0,439532,0
439556,94,-2066,329,-93,33,140,9638,14,-23,238,56,35665,9,33,127,0,0,2915,49,0,1553,-18,180,39708,-4,0,-9,0,439532,0
439566,111,-2073,324,-88,31,146,9639,-3,11,299,72,35675,15,33,127,0,0,2914,43,0,1553,-18,180,39718,-4,0,-9,0,439578,0
439576,96,-2061,327,-89,36,147,9638,-6,-6,285,56,35667,4,33,127,0,0,2919,98,0,1553,-18,180,39728,-4,0,-9,0,439610,0
439586,100,-2064,319,-91,34,150,9641,6,3,355,64,35665,-5,33,127,0,0,2917,49,0,1553,-18,180,39738,-4,0,-9,0,439610,0
439596,95,-2060,320,-89,33,145,9644,7,5,311,104,35658,-7,33,127,0,0,2915,43,0,1553,-18,180,39748,-4,0,-9,0,439610,0
439606,114,-2062,320,-92,34,142,9646,0,-2,339,80,35659,-25,33,127,0,0,2913,16,0,1553,-18,180,39758,-4,0,-9,0,439610,0
439616,108,-2063,327,-88,37,142,9650,6,2,349,96,35662,-22,33,127,0,0,2915,5,0,1553,-18,180,39768,-4,0,-9,0,439610,0
439626,106,-2058,329,-89,37,142,9655,7,7,326,80,35665,-16,33,127,0,0,2915,0,0,1553,-18,180,39778,-4,0,-9,0,439610,0
439637,104,-2066,325,-92,32,141,9665,23,8,288,64,35667,-14,33,127,0,0,2917,32,0,1553,-18,180,39789,-4,0,-9,0,439625,0
439647,95,-2061,322,-94,29,142,9683,51,22,191,64,35663,3,33,127,0,0,2917,10,0,1553,-18,180,39799,-4,0,-9,0,439625,0
439657,114,-2062,318,-90,28,149,9691,7,-3,170,32,35668,7,33,127,0,0,2917,0,0,1553,-18,180,39809,-4,0,-9,0,439641,0
439667,87,-2062,318,-85,34,144,9692,10,-35,185,32,35675,11,33,127,0,0,2917,-21,0,1553,-18,180,39819,-4,0,-9,0,439657,0
439677,92,-2065,321,-85,40,145,9691,-4,-13,187,32,35673,21,33,127,0,0,2920,10,0,1553,-18,180,39829,-4,0,-9,0,439657,0
439687,103,-2062,319,-85,36,150,9691,0,-3,206,56,35668,20,33,127,0,0,2920,21,0,1553,-18,180,39839,-4,0,-9,0,439672,0
439697,118,-2060,321,-82,38,155,9691,0,1,230,40,35667,16,33,127,0,0,2922,21,0,1553,-18,180,39849,-4,0,-9,0,439688,0
439707,109,-2057,316,-75,30,161,9691,-6,-3,230,80,35662,15,33,127,0,0,2922,32,0,1553,-18,180,39859,-4,0,-9,0,439688,0
439717,107,-2063,326,-78,35,161,9694,-2,5,260,104,35670,18,33,127,0,0,2922,21,0,1553,-18,180,39869,-4,0,-9,0,439703,0
439727,112,-2069,319,-80,34,164,9698,7,3,262,88,35663,17,33,127,0,0,2926,54,0,1553,-18,180,39879,-4,0,-9,0,439703,0
439737,105,-2076,329,-80,34,161,9703,10,6,328,56,35661,15,33,127,0,0,2926,10,0,1553,-18,180,39889,-4,0,-9,0,439719,0
439747,90,-2066,325,-85,34,162,9705,0,-8,358,112,35668,23,33,127,0,0,2928,21,0,1553,-18,180,39899,-4,0,-9,0,439735,0
439757,84,-2058,330,-80,32,158,9707,10,-7,387,112,35670,18,33,127,0,0,2928,-21,0,1553,-18,180,39909,-4,0,-9,0,439735,0
439767,93,-2061,322,-79,34,152,9708,1,0,380,136,35673,11,33,127,0,0,2933,54,0,1553,-18,180,39919,-4,0,-9,0,439750,0
439777,98,-2066,319,-78,39,152,9711,6,-2,393,120,35669,5,33,127,0,0,2931,32,0,1553,-18,180,39929,-4,0,-9,0,439766,0
439787,102,-2064,322,-85,35,147,9717,10,8,388,96,35661,19,33,127,0,0,2933,10,0,1553,-18,180,39939,-4,0,-9,0,439766,0
439797,86,-2061,321,-76,30,143,9725,21,10,398,80,35664,24,33,127,0,0,2933,0,0,1553,-18,180,39949,-4,0,-9,0,439782,0
439807,79,-2059,323,-84,37,134,9746,60,35,292,64,35662,18,33,127,0,0,2935,21,0,1553,-18,180,39959,-4,0,-9,0,439782,0
439817,113,-2067,327,-83,30,146,9764,20,16,161,8,35669,12,33,127,0,0,2933,-10,0,1553,-18,180,39969,-4,0,-9,0,439813,0
439827,59,-2065,318,-83,31,139,9762,21,-46,242,64,35667,10,33,127,0,0,2935,0,0,1553,-18,180,39979,-4,0,-9,0,439813,0
439837,86,-2053,318,-87,40,133,9761,-2,-16,241,64,35664,13,33,127,0,0,2935,0,0,1553,-18,180,39989,-4,0,-9,0,439813,0
439847,107,-2069,332,-81,35,133,9760,-8,-2,231,96,35673,10,33,127,0,0,2935,0,0,1553,-18,180,39999,-4,0,-9,0,439828,0
439857,104,-2063,333,-85,37,132,9761,-6,-1,240,96,35667,16,33,127,0,0,2937,32,0,1553,-18,180,40009,-4,0,-9,0,439844,0
439867,107,-2071,323,-87,35,141,9763,-1,2,311,80,35675,15,33,127,0,0,2939,32,0,1553,-18,180,40019,-4,0,-9,0,439844,0
439878,112,-2062,321,-86,27,137,9761,-11,-7,301,104,35683,7,33,127,0,0,2939,65,0,1553,-18,180,40030,-4,0,-9,0,439860,0
439888,99,-2068,318,-86,33,145,9764,-7,-4,329,80,35688,3,33,127,0,0,2941,38,0,1553,-18,180,40040,-4,0,-9,0,439875,0
439898,101,-2064,319,-91,31,140,9764,-1,-7,338,112,35683,10,33,127,0,0,2938,49,0,1553,-18,180,40050,-4,0,-9,0,439891,0
439908,97,-2067,319,-81,33,146,9767,4,-1,368,112,35669,14,33,127,0,0,2942,21,0,1553,-18,180,40060,-4,0,-9,0,439891,0
439918,89,-2056,330,-85,34,139,9766,0,-7,360,96,35667,16,33,127,0,0,2943,38,0,1553,-18,180,40070,-4,0,-9,0,439907,0
439928,86,-2059,332,-87,32,137,9767,1,-4,420,136,35667,3,33,127,0,0,2944,32,0,1553,-18,180,40080,-4,0,-9,0,439907,0
439938,88,-2060,331,-94,33,128,9773,8,10,417,120,35665,-3,33,127,0,0,2941,-32,0,1553,-18,180,40090,-4,0,-9,0,439922,0
439948,94,-2056,324,-86,37,125,9772,-6,-5,403,104,35668,-20,33,127,0,0,2945,-10,0,1553,-18,180,40100,-4,0,-9,0,439922,0
439958,78,-2059,322,-87,40,123,9773,0,-10,413,104,35666,-6,33,127,0,0,2945,0,0,1553,-18,180,40110,-4,0,-9,0,439938,0
439968,60,-2064,320,-85,37,122,9773,-5,1,385,104,35672,2,33,127,0,0,2942,-10,0,1553,-18,180,40120,-4,0,-9,0,439969,0
439978,97,-2066,315,-90,39,114,9774,17,-1,403,120,35669,1,33,127,0,0,2941,-16,0,1553,-18,180,40130,-4,0,-9,0,439985,0
439988,104,-2066,322,-89,37,117,9774,4,3,424,120,35669,3,33,127,0,0,2944,-10,0,1553,-18,180,40140,-4,0,-9,0,440000,0
439998,93,-2060,330,-82,34,114,9775,0,0,439,120,35666,-13,33,127,0,0,2944,0,0,1553,-18,180,40150,-4,0,-9,0,440016,0
440008,100,-2058,328,-85,37,121,9774,-8,-5,416,120,35666,6,33,127,0,0,2944,27,0,1553,-18,180,40160,-4,0,-9,0,440016,0
