state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
438997,84,-2022,317,-37,-10,-35,11061,-7,-3,284,136,35836,-51,32,127,0,0,3208,32,0,12929,5530,172,48281,-4,0,-20,0,439078,0
439007,75,-2028,317,-40,-6,-38,11066,13,4,325,88,35841,-51,32,127,0,0,3205,10,0,12929,5530,172,48291,-4,0,-20,0,439078,0
439017,88,-2030,318,-37,-5,-41,11064,-1,3,337,128,35841,-53,32,127,0,0,3205,0,0,12929,5530,172,48301,-4,0,-20,0,439078,0
439027,97,-2032,315,-37,0,-40,11062,-20,1,311,96,35834,-49,32,127,0,0,3205,21,0,12929,5530,172,48311,-4,0,-20,0,439078,0
439037,74,-2035,314,-36,-5,-45,11066,17,2,327,24,35833,-49,32,127,0,0,3205,-32,0,12929,5530,172,48321,-4,0,-20,0,439094,0
439047,45,-2029,316,-36,-8,-46,11066,12,-3,324,128,35836,-46,32,127,0,0,3205,-10,0,12929,5530,172,48331,-4,0,-20,0,439094,0
439057,80,-2033,310,-44,-17,-46,11065,-5,1,307,56,35836,-44,32,127,0,0,3208,32,0,12929,5530,172,48341,-4,0,-20,0,439094,0
439067,81,-2037,307,-44,-7,-44,11068,6,0,340,80,35836,-48,32,127,0,0,3205,0,0,12929,5530,172,48351,-4,0,-20,0,439094,0
439077,86,-2029,302,-38,-10,-44,11065,1,1,302,88,35833,-43,32,127,0,0,3208,43,0,12929,5530,172,48361,-4,0,-20,0,439094,0
439087,85,-2035,310,-42,-12,-45,11068,7,7,337,120,35837,-45,32,127,0,0,3205,10,0,12929,5530,172,48371,-4,0,-20,0,439094,0
439097,102,-2029,303,-37,-5,-43,11066,-11,-3,281,64,35840,-52,32,127,0,0,3208,65,0,12929,5530,172,48381,-4,0,-20,0,439094,0
439107,100,-2039,311,-26,-6,-39,11072,24,8,362,104,35840,-53,33,127,0,0,3205,-21,0,12929,5530,172,48391,-4,0,-20,0,439094,0
439117,94,-2023,317,-40,-6,-39,11072,-12,10,297,80,35847,-53,32,127,0,0,3208,10,0,12929,5530,172,48401,-4,0,-20,0,439094,0
439127,66,-2027,317,-37,-8,-39,11072,14,-15,334,72,35857,-53,33,127,0,0,3208,-21,0,12929,5530,172,48411,-4,0,-20,0,439110,0
439137,79,-2032,317,-42,-14,-31,11073,6,3,313,80,35874,-62,32,127,0,0,3205,-10,0,12929,5530,172,48421,-4,0,-20,0,439125,0
439147,92,-2030,327,-42,-14,-27,11073,-1,3,338,64,35871,-57,32,127,0,0,3208,-10,0,12929,5530,172,48431,-4,0,-20,0,439125,0
439157,70,-2032,313,-41,-11,-31,11073,1,0,359,104,35863,-52,32,127,0,0,3208,-10,0,12929,5530,172,48441,-4,0,-20,0,439172,0
