state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang,ank_vel,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,movement,speed,incline,sys_time,eventFlags
147701,71,-2024,323,-38,-9,-74,14225,-63,-21,-189,-72,35998,-48,30,127,0,0,3799,21,0,7915,-493,41,9349,-4,0,-22,0,162231,0
147711,31,-2026,332,-37,-1,-73,14226,24,8,-50,-32,36003,-54,30,127,0,0,3799,-21,0,7915,-493,41,9359,-4,0,-22,0,147701,0
147721,65,-2024,340,-39,-13,-71,14221,-11,39,-169,-80,35996,-58,30,127,0,0,3796,-10,0,7915,-493,41,9369,-4,0,-22,0,147732,0
147731,45,-2031,345,-37,-4,-76,14220,12,-4,-210,-56,35987,-54,30,127,0,0,3794,-10,0,7915,-493,41,9379,-4,0,-22,0,147732,0
147741,60,-2029,347,-36,-4,-71,14218,-1,17,-190,-104,35989,-53,30,127,0,0,3792,-54,0,7915,-493,41,9389,-4,0,-22,0,147732,0
147751,62,-2027,343,-37,-10,-68,14213,-18,-7,-302,-40,35984,-35,30,127,0,0,3792,10,0,7915,-493,41,9399,-4,0,-22,0,147732,0
147761,83,-2035,342,-37,-9,-69,14214,-10,1,-354,-96,35981,-51,30,127,0,0,3792,32,0,7915,-493,41,9409,-4,0,-22,0,147763,0
147771,53,-2021,336,-36,-2,-73,14213,14,5,-273,-72,35982,-36,30,127,0,0,3792,-21,0,7915,-493,41,9419,-4,0,-22,0,147779,0
147781,69,-2031,341,-42,-13,-67,14212,-2,2,-282,-64,35984,-37,30,127,0,0,3790,-21,0,7915,-493,41,9429,-4,0,-22,0,147779,0
147791,90,-2027,337,-37,-2,-69,14211,0,-6,-343,-88,35983,-35,30,127,0,0,3790,0,0,7915,-493,41,9439,-4,0,-22,0,147779,0
147801,83,-2030,336,-30,-3,-58,14211,0,1,-354,-88,35986,-31,30,127,0,0,3790,0,0,7915,-493,41,9449,-4,0,-22,0,147826,0
147811,77,-2031,339,-35,-11,-50,14208,-12,3,-366,-88,35994,-23,30,127,0,0,3790,21,0,7915,-493,41,9459,-4,0,-22,0,147826,0
147821,82,-2024,340,-33,-12,-47,14210,2,4,-357,-88,35997,-30,30,127,0,0,3792,21,0,7915,-493,41,9469,-4,0,-22,0,147826,0
147831,64,-2018,339,-36,-9,-43,14211,0,5,-317,-136,35993,-42,30,127,0,0,3790,-10,0,7915,-493,41,9479,-4,0,-22,0,147841,0
147841,77,-2024,339,-27,-10,-35,14207,-10,-5,-383,-104,35981,-63,30,127,0,0,3790,21,0,7915,-493,41,9489,-4,0,-22,0,147841,0
147851,65,-2021,335,-30,-6,-41,14209,10,3,-360,-88,35973,-57,30,127,0,0,3788,-32,0,7915,-493,41,9499,-4,0,-22,0,147841,0
147861,52,-2026,344,-29,-8,-39,14206,3,7,-382,-120,35978,-50,30,127,0,0,3788,-10,0,7915,-493,41,9509,-4,0,-22,0,147857,0
147871,57,-2023,340,-29,-9,-39,14206,-3,-4,-381,-80,35989,-45,30,127,0,0,3790,10,0,7915,-493,41,9519,-4,0,-22,0,147857,0
147881,54,-2026,340,-29,-15,-42,14207,-1,3,-359,-80,35994,-49,30,127,0,0,3790,10,0,7915,-493,41,9529,-4,0,-22,0,147872,0
147891,80,-2024,346,-27,-9,-38,14208,-6,2,-364,-72,35991,-55,30,127,0,0,3785,-32,0,7915,-493,41,9539,-4,0,-22,0,147872,0
147901,42,-2031,338,-32,-10,-44,14207,4,-1,-380,-80,35989,-48,30,127,0,0,3790,0,0,7915,-493,41,9549,-4,0,-22,0,147904,0
147911,43,-2028,343,-33,-16,-38,14205,-8,-2,-352,-80,35995,-37,30,127,0,0,3790,10,0,7915,-493,41,9559,-4,0,-22,0,147904,0
147921,78,-2026,342,-35,-10,-50,14205,-5,-3,-314,-88,36001,-42,30,127,0,0,3790,-10,0,7915,-493,41,9569,-4,0,-22,0,147904,0
147931,49,-2033,338,-30,-13,-48,14206,-7,-1,-347,-80,35998,-45,30,127,0,0,3790,-21,0,7915,-493,41,9579,-4,0,-22,0,147935,0
147941,61,-2024,336,-28,-9,-42,14206,5,-3,-361,-80,35999,-44,30,127,0,0,3788,-21,0,7915,-493,41,9589,-4,0,-22,0,147935,0
147951,81,-2020,334,-26,-7,-44,14204,-11,-1,-379,-112,35999,-42,30,127,0,0,3788,0,0,7915,-493,41,9599,-4,0,-22,0,147951,0
147961,63,-2023,342,-28,-11,-44,14206,0,1,-362,-80,36001,-46,30,127,0,0,3788,-21,0,7915,-493,41,9609,-4,0,-22,0,147951,0
147971,82,-2023,335,-25,-11,-44,14205,2,4,-366,-80,35990,-50,30,127,0,0,3790,0,0,7915,-493,41,9619,-4,0,-22,0,147966,0
147981,89,-2031,331,-22,-4,-40,14206,-9,-1,-367,-120,35992,-56,30,127,0,0,3790,21,0,7915,-493,41,9629,-4,0,-22,0,147982,0
147991,77,-2025,339,-11,-2,-32,14205,4,0,-357,-80,35988,-54,30,127,0,0,3790,10,0,7915,-493,41,9639,-4,0,-22,0,147982,0
148001,66,-2029,340,-24,-8,-28,14205,3,0,-357,-112,35988,-62,30,127,0,0,3788,-21,0,7915,-493,41,9649,-4,0,-22,0,148013,0
148011,74,-2021,341,-15,-7,-21,14205,-1,-3,-376,-32,35998,-56,30,127,0,0,3788,10,0,7915,-493,41,9659,-4,0,-22,0,148013,0
148021,41,-2025,343,-16,-4,-26,14206,-1,-3,-364,-48,35994,-57,30,127,0,0,3792,10,0,7915,-493,41,9669,-4,0,-22,0,148013,0
148031,46,-2019,343,-11,-4,-22,14207,8,1,-335,-80,35993,-52,30,127,0,0,3790,0,0,7915,-493,41,9679,-4,0,-22,0,148029,0
148041,75,-2028,344,-20,0,-26,14205,1,-3,-355,-80,35980,-56,30,127,0,0,3792,21,0,7915,-493,41,9689,-4,0,-22,0,148029,0
148051,55,-2028,341,-18,1,-18,14206,-2,0,-326,-80,35990,-56,30,127,0,0,3790,0,0,7915,-493,41,9699,-4,0,-22,0,148044,0
148061,68,-2038,343,-16,-3,-22,14206,3,-1,-350,-80,35993,-61,30,127,0,0,3792,32,0,7915,-493,41,9709,-4,0,-22,0,148044,0
148071,62,-2031,341,-15,-1,-18,14209,8,10,-290,-88,35992,-62,30,127,0,0,3792,10,0,7915,-493,41,9719,-4,0,-22,0,148075,0
148081,83,-2030,350,-13,2,-24,14207,-1,-4,-273,-56,35993,-55,30,127,0,0,3790,-10,0,7915,-493,41,9729,-4,0,-22,0,148075,0
148091,80,-2027,351,-14,-2,-24,14205,-11,-11,-306,-56,35984,-49,30,127,0,0,3790,-10,0,7915,-493,41,9739,-4,0,-22,0,148075,0
148101,64,-2026,354,-18,-6,-25,14207,-5,0,-320,-56,35993,-46,30,127,0,0,3792,21,0,7915,-493,41,9749,-4,0,-22,0,148107,0
148111,71,-2026,350,-21,-8,-19,14209,-5,1,-274,-64,35987,-32,30,127,0,0,3792,0,0,7915,-493,41,9759,-4,0,-22,0,148107,0
148121,59,-2023,347,-24,-8,-14,14208,10,-4,-250,-64,35987,-28,30,127,0,0,3790,-21,0,7915,-493,41,9769,-4,0,-22,0,148107,0
148131,72,-2021,346,-26,-7,-22,14205,-15,-5,-267,-64,35982,-27,30,127,0,0,3794,43,0,7915,-493,41,9779,-4,0,-22,0,148122,0
148141,72,-2023,347,-23,-9,-21,14211,4,8,-234,-64,35976,-44,30,127,0,0,3792,0,0,7915,-493,41,9789,-4,0,-22,0,148154,0
148151,57,-2019,338,-22,-10,-25,14210,5,3,-229,-64,35988,-47,30,127,0,0,3794,21,0,7915,-493,41,9799,-4,0,-22,0,148154,0
148161,65,-2024,351,-28,-7,-33,14213,7,2,-152,-56,35987,-46,30,127,0,0,3794,-10,0,7915,-493,41,9809,-4,0,-22,0,148154,0
148171,48,-2024,351,-28,-2,-46,14209,-6,-7,-188,-8,35984,-51,30,127,0,0,3794,10,0,7915,-493,41,9819,-4,0,-22,0,148169,0
148181,63,-2023,353,-28,-11,-47,14211,-9,-3,-170,-88,35971,-59,30,127,0,0,3792,-43,0,7915,-493,41,9829,-4,0,-22,0,148169,0
148191,30,-2030,344,-24,-5,-50,14211,10,1,-156,-56,35982,-49,30,127,0,0,3794,-21,0,7915,-493,41,9839,-4,0,-22,0,148200,0
148201,41,-2032,360,-31,-8,-53,14213,-8,3,-124,-24,35991,-26,30,127,0,0,3796,0,0,7915,-493,41,9849,-4,0,-22,0,148200,0
148211,35,-2032,350,-34,-10,-63,14214,0,-2,-119,-96,35992,-31,30,127,0,0,3796,-10,0,7915,-493,41,9859,-4,0,-22,0,148200,0
148221,55,-2027,346,-35,-13,-68,14213,14,0,-111,-24,35980,-40,30,127,0,0,3796,-10,0,7915,-493,41,9869,-4,0,-22,0,148200,0
148231,22,-2028,347,-36,-15,-83,14210,-20,0,-147,16,35983,-64,30,127,0,0,3796,54,0,7915,-493,41,9879,-4,0,-22,0,148232,0
148241,47,-2027,354,-29,-18,-93,14217,2,12,-132,0,35990,-51,30,127,0,0,3796,0,0,7915,-493,41,9889,-4,0,-22,0,148232,0
148251,69,-2021,349,-32,-17,-92,14214,4,1,-126,-64,35994,-41,30,127,0,0,3796,-10,0,7915,-493,41,9899,-4,0,-22,0,148232,0
148261,46,-2026,358,-37,-10,-82,14213,1,-17,-156,-48,35989,-46,30,127,0,0,3794,-32,0,7915,-493,41,9909,-4,0,-22,0,148263,0
148271,61,-2017,356,-36,-16,-90,14211,4,-6,-209,-48,35986,-61,30,127,0,0,3794,-10,0,7915,-493,41,9919,-4,0,-22,0,148263,0
